n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Davion Mitchell OVER PRA 14.5 (GOBLIN) [id:10644489] | Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030] | De'Aaron Fox UNDER RA 10.5 (STANDARD) [id:10649865],0.09361276935139176,10.0,1.0,10.0,0.9361276935139176,10.0,atlas,0.5534017988149899,0.03134529586033709,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Davion Mitchell OVER PRA 14.5 (GOBLIN) [id:10644489] | Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030] | De'Aaron Fox UNDER RA 10.5 (STANDARD) [id:10649865],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9361276935139176,"['ryan kalkbrenner', 'davion mitchell', 'shai gilgeous-alexander', ""de'aaron fox""]",1,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583],Davion Mitchell OVER PRA 14.5 (GOBLIN) [id:10644489],Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030],De'Aaron Fox UNDER RA 10.5 (STANDARD) [id:10649865],0,
4,Ryan Kalkbrenner OVER PA 5.5 (GOBLIN) [id:10655296] | Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10652478] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271] | Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053],0.09345479851080568,10.0,1.0,10.0,0.9345479851080568,10.0,atlas,0.5545008440091875,0.06041195528495817,Ryan Kalkbrenner OVER PA 5.5 (GOBLIN) [id:10655296] | Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10652478] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271] | Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9345479851080568,"['ryan kalkbrenner', 'collin gillespie', 'grayson allen', 'moussa diabaté']",1,Ryan Kalkbrenner OVER PA 5.5 (GOBLIN) [id:10655296],Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10652478],Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053],0,
4,Grayson Allen OVER PTS 11.5 (GOBLIN) [id:10650230] | Devin Booker OVER PTS 23.5 (GOBLIN) [id:10652321] | Jett Howard UNDER PA 6.5 (STANDARD) [id:10648860] | Trendon Watford UNDER PR 12.5 (STANDARD) [id:10644892],0.09286498188806758,10.0,1.0,10.0,0.9286498188806758,10.0,atlas,0.5525647091765715,0.02560861022401392,Grayson Allen OVER PTS 11.5 (GOBLIN) [id:10650230] | Devin Booker OVER PTS 23.5 (GOBLIN) [id:10652321] | Jett Howard UNDER PA 6.5 (STANDARD) [id:10648860] | Trendon Watford UNDER PR 12.5 (STANDARD) [id:10644892],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9286498188806758,"['grayson allen', 'devin booker', 'jett howard', 'trendon watford']",1,Grayson Allen OVER PTS 11.5 (GOBLIN) [id:10650230],Devin Booker OVER PTS 23.5 (GOBLIN) [id:10652321],Jett Howard UNDER PA 6.5 (STANDARD) [id:10648860],Trendon Watford UNDER PR 12.5 (STANDARD) [id:10644892],0,
4,Bam Adebayo OVER PRA 32.5 (GOBLIN) [id:10645675] | Grayson Allen OVER PRA 19.5 (GOBLIN) [id:10650232] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496] | De'Aaron Fox UNDER RA 10.5 (STANDARD) [id:10649865],0.09146919225947148,10.0,1.0,10.0,0.9146919225947148,10.0,atlas,0.5503500264873677,0.039956855022831875,Bam Adebayo OVER PRA 32.5 (GOBLIN) [id:10645675] | Grayson Allen OVER PRA 19.5 (GOBLIN) [id:10650232] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496] | De'Aaron Fox UNDER RA 10.5 (STANDARD) [id:10649865],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9146919225947148,"['bam adebayo', 'grayson allen', ""royce o'neale"", ""de'aaron fox""]",1,Bam Adebayo OVER PRA 32.5 (GOBLIN) [id:10645675],Grayson Allen OVER PRA 19.5 (GOBLIN) [id:10650232],Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496],De'Aaron Fox UNDER RA 10.5 (STANDARD) [id:10649865],0,
4,Brandon Miller OVER PRA 26.5 (GOBLIN) [id:10645572] | Coby White OVER PRA 17.5 (GOBLIN) [id:10645581] | Karl-Anthony Towns UNDER PRA 35.5 (STANDARD) [id:10650141] | Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861],0.09094294923808975,10.0,1.0,10.0,0.9094294923808975,10.0,atlas,0.5496992116805833,0.040080070052890396,Brandon Miller OVER PRA 26.5 (GOBLIN) [id:10645572] | Coby White OVER PRA 17.5 (GOBLIN) [id:10645581] | Karl-Anthony Towns UNDER PRA 35.5 (STANDARD) [id:10650141] | Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9094294923808975,"['brandon miller', 'coby white', 'karl-anthony towns', 'jett howard']",1,Brandon Miller OVER PRA 26.5 (GOBLIN) [id:10645572],Coby White OVER PRA 17.5 (GOBLIN) [id:10645581],Karl-Anthony Towns UNDER PRA 35.5 (STANDARD) [id:10650141],Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861],0,
4,Brandon Miller OVER PRA 26.5 (GOBLIN) [id:10645572] | Grayson Allen OVER PA 16.5 (GOBLIN) [id:10652988] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | Donte DiVincenzo OVER PRA 21.5 (STANDARD) [id:10649234],0.08997446488348208,10.0,1.0,10.0,0.8997446488348209,10.0,atlas,0.5492902195919692,0.06069787970548421,Brandon Miller OVER PRA 26.5 (GOBLIN) [id:10645572] | Grayson Allen OVER PA 16.5 (GOBLIN) [id:10652988] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | Donte DiVincenzo OVER PRA 21.5 (STANDARD) [id:10649234],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8997446488348209,"['brandon miller', 'grayson allen', 'trendon watford', 'donte divincenzo']",1,Brandon Miller OVER PRA 26.5 (GOBLIN) [id:10645572],Grayson Allen OVER PA 16.5 (GOBLIN) [id:10652988],Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231],Donte DiVincenzo OVER PRA 21.5 (STANDARD) [id:10649234],0,
4,Kon Knueppel OVER PRA 24.5 (GOBLIN) [id:10644517] | Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],0.0898265356785017,10.0,1.0,10.0,0.898265356785017,10.0,atlas,0.5477717414598183,0.04354746658925552,Kon Knueppel OVER PRA 24.5 (GOBLIN) [id:10644517] | Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],0.0,0.0,0.0,0.0,0.0,0,0.0,0.898265356785017,"['kon knueppel', 'jordan goodwin', ""royce o'neale"", 'ryan kalkbrenner']",1,Kon Knueppel OVER PRA 24.5 (GOBLIN) [id:10644517],Jordan Goodwin OVER PTS 4.5 (GOBLIN) [id:10652150],Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496],Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],0,
4,Naz Reid OVER PRA 22.5 (GOBLIN) [id:10649434] | Kon Knueppel OVER PRA 25.5 (GOBLIN) [id:10645615] | Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054] | Grant Williams OVER PA 7.5 (STANDARD) [id:10643910],0.08859876570986208,10.0,1.0,10.0,0.8859876570986208,10.0,atlas,0.5471576184062922,0.06099929276945143,Naz Reid OVER PRA 22.5 (GOBLIN) [id:10649434] | Kon Knueppel OVER PRA 25.5 (GOBLIN) [id:10645615] | Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054] | Grant Williams OVER PA 7.5 (STANDARD) [id:10643910],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8859876570986208,"['naz reid', 'kon knueppel', 'moussa diabaté', 'grant williams']",1,Naz Reid OVER PRA 22.5 (GOBLIN) [id:10649434],Kon Knueppel OVER PRA 25.5 (GOBLIN) [id:10645615],Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054],Grant Williams OVER PA 7.5 (STANDARD) [id:10643910],0,
4,Tyler Herro OVER PTS 17.5 (GOBLIN) [id:10644585] | Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225] | Bam Adebayo OVER RA 12.5 (STANDARD) [id:10650494] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496],0.08856439043635003,10.0,1.0,10.0,0.8856439043635003,10.0,atlas,0.5459923528406385,0.05184571499794956,Tyler Herro OVER PTS 17.5 (GOBLIN) [id:10644585] | Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225] | Bam Adebayo OVER RA 12.5 (STANDARD) [id:10650494] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8856439043635003,"['tyler herro', 'collin gillespie', 'bam adebayo', ""royce o'neale""]",1,Tyler Herro OVER PTS 17.5 (GOBLIN) [id:10644585],Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225],Bam Adebayo OVER RA 12.5 (STANDARD) [id:10650494],Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496],0,
4,Devin Booker OVER PTS 23.5 (GOBLIN) [id:10652321] | Kon Knueppel OVER PTS 16.5 (GOBLIN) [id:10645613] | Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861] | Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937],0.0880922727206544,10.0,1.0,10.0,0.880922727206544,10.0,atlas,0.5454576844257875,0.03713615183527953,Devin Booker OVER PTS 23.5 (GOBLIN) [id:10652321] | Kon Knueppel OVER PTS 16.5 (GOBLIN) [id:10645613] | Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861] | Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937],0.0,0.0,0.0,0.0,0.0,0,0.0,0.880922727206544,"['devin booker', 'kon knueppel', 'jett howard', 'jaime jaquez']",1,Devin Booker OVER PTS 23.5 (GOBLIN) [id:10652321],Kon Knueppel OVER PTS 16.5 (GOBLIN) [id:10645613],Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861],Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937],0,
