rank,tier,player,team,opp,stat,direction,line,hit_probability_pct,p_cal,game_date,start_time,run_id,generated_at
1,GOBLIN,Rui Hachimura,LAL,HOU,FG3M,OVER,0.5,78.4,0.7835994478669602,2026-05-01,2026-05-01T21:30:00.000-04:00,20260501_080424,2026-05-01 08:21:36
2,GOBLIN,Jakob Poeltl,TOR,CLE,AST,OVER,0.5,78.2,0.7822748947279858,2026-05-01,2026-05-01T19:30:00.000-04:00,20260501_080424,2026-05-01 08:21:36
3,GOBLIN,Jaylon Tyson,CLE,TOR,REB,OVER,1.5,77.7,0.7767093392477065,2026-05-01,2026-05-01T19:30:00.000-04:00,20260501_080424,2026-05-01 08:21:36
4,GOBLIN,Sam Merrill,CLE,TOR,FG3M,OVER,0.5,77.6,0.7756233119702571,2026-05-01,2026-05-01T19:30:00.000-04:00,20260501_080424,2026-05-01 08:21:36
5,GOBLIN,Dorian Finney-Smith,HOU,LAL,PTS,OVER,1.5,77.4,0.7739862059119352,2026-05-01,2026-05-01T21:30:00.000-04:00,20260501_080424,2026-05-01 08:21:36
6,GOBLIN,Jaxson Hayes,LAL,HOU,REB,OVER,1.5,77.1,0.7713778720666168,2026-05-01,2026-05-01T21:30:00.000-04:00,20260501_080424,2026-05-01 08:21:36
7,GOBLIN,Reed Sheppard,HOU,LAL,REB,OVER,1.5,77.1,0.7705793858735688,2026-05-01,2026-05-01T21:30:00.000-04:00,20260501_080424,2026-05-01 08:21:36
8,GOBLIN,Dorian Finney-Smith,HOU,LAL,REB,OVER,1.5,77.1,0.7705038000079836,2026-05-01,2026-05-01T21:30:00.000-04:00,20260501_080424,2026-05-01 08:21:36
9,GOBLIN,Jake LaRavia,LAL,HOU,REB,OVER,1.5,77.0,0.7701612886437493,2026-05-01,2026-05-01T21:30:00.000-04:00,20260501_080424,2026-05-01 08:21:36
10,GOBLIN,Brandon Ingram,TOR,CLE,AST,OVER,1.5,77.0,0.7695963539902309,2026-05-01,2026-05-01T19:30:00.000-04:00,20260501_080424,2026-05-01 08:21:36
1,STANDARD,Desmond Bane,ORL,DET,PTS,UNDER,19.5,65.2,0.6519537947165445,2026-05-01,2026-05-01T19:00:00.000-04:00,20260501_080424,2026-05-01 08:21:36
2,STANDARD,Desmond Bane,ORL,DET,PR,UNDER,23.5,63.8,0.6384823323505111,2026-05-01,2026-05-01T19:00:00.000-04:00,20260501_080424,2026-05-01 08:21:36
3,STANDARD,Jalen Duren,DET,ORL,PRA,UNDER,24.5,63.8,0.6384565314493743,2026-05-01,2026-05-01T19:00:00.000-04:00,20260501_080424,2026-05-01 08:21:36
4,STANDARD,Desmond Bane,ORL,DET,PRA,UNDER,26.5,63.6,0.6360746824506485,2026-05-01,2026-05-01T19:00:00.000-04:00,20260501_080424,2026-05-01 08:21:36
5,STANDARD,Jalen Duren,DET,ORL,PTS,UNDER,13.5,62.5,0.6250685813281627,2026-05-01,2026-05-01T19:00:00.000-04:00,20260501_080424,2026-05-01 08:21:36
6,STANDARD,Duncan Robinson,DET,ORL,PRA,UNDER,14.0,62.1,0.6209512384557455,2026-05-01,2026-05-01T19:00:00.000-04:00,20260501_080424,2026-05-01 08:21:36
7,STANDARD,Desmond Bane,ORL,DET,PA,UNDER,22.5,61.8,0.6176936073077615,2026-05-01,2026-05-01T19:00:00.000-04:00,20260501_080424,2026-05-01 08:21:36
8,STANDARD,Jalen Duren,DET,ORL,PR,UNDER,22.5,61.6,0.6157870908674479,2026-05-01,2026-05-01T19:00:00.000-04:00,20260501_080424,2026-05-01 08:21:36
9,STANDARD,Duncan Robinson,DET,ORL,PR,UNDER,12.5,61.5,0.6154553579665697,2026-05-01,2026-05-01T19:00:00.000-04:00,20260501_080424,2026-05-01 08:21:36
10,STANDARD,Jalen Duren,DET,ORL,PA,UNDER,15.5,61.0,0.6103608564647751,2026-05-01,2026-05-01T19:00:00.000-04:00,20260501_080424,2026-05-01 08:21:36
1,DEMON,Jaylon Tyson,CLE,TOR,AST,OVER,1.5,50.5,0.5045021217867075,2026-05-01,2026-05-01T19:30:00.000-04:00,20260501_080424,2026-05-01 08:21:36
2,DEMON,Jakob Poeltl,TOR,CLE,AST,OVER,1.5,50.3,0.5030042436185129,2026-05-01,2026-05-01T19:30:00.000-04:00,20260501_080424,2026-05-01 08:21:36
3,DEMON,Jaylon Tyson,CLE,TOR,FG3M,OVER,1.5,48.5,0.4852459873315535,2026-05-01,2026-05-01T19:30:00.000-04:00,20260501_080424,2026-05-01 08:21:36
4,DEMON,Jake LaRavia,LAL,HOU,REB,OVER,2.5,48.2,0.4820887070659802,2026-05-01,2026-05-01T21:30:00.000-04:00,20260501_080424,2026-05-01 08:21:36
5,DEMON,Jaylon Tyson,CLE,TOR,REB,OVER,2.5,48.0,0.4802943794376927,2026-05-01,2026-05-01T19:30:00.000-04:00,20260501_080424,2026-05-01 08:21:36
6,DEMON,Dorian Finney-Smith,HOU,LAL,REB,OVER,2.5,47.7,0.4767795035720795,2026-05-01,2026-05-01T21:30:00.000-04:00,20260501_080424,2026-05-01 08:21:36
7,DEMON,Jake LaRavia,LAL,HOU,FG3M,OVER,0.5,47.5,0.4748938334245026,2026-05-01,2026-05-01T21:30:00.000-04:00,20260501_080424,2026-05-01 08:21:36
8,DEMON,Sam Merrill,CLE,TOR,AST,OVER,1.5,47.2,0.4720402891199501,2026-05-01,2026-05-01T19:30:00.000-04:00,20260501_080424,2026-05-01 08:21:36
9,DEMON,Anthony Black,ORL,DET,FG3M,OVER,1.5,47.2,0.4717391019438507,2026-05-01,2026-05-01T19:00:00.000-04:00,20260501_080424,2026-05-01 08:21:36
10,DEMON,Jaylon Tyson,CLE,TOR,RA,OVER,4.5,46.5,0.4654212615522051,2026-05-01,2026-05-01T19:30:00.000-04:00,20260501_080424,2026-05-01 08:21:36
