n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Coby White OVER PR 11.5 (GOBLIN) [id:10653363] | Davion Mitchell OVER PRA 14.5 (GOBLIN) [id:10644489] | Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030] | De'Aaron Fox UNDER RA 10.5 (STANDARD) [id:10649865],0.09062398163437332,10.0,1.0,10.0,0.9062398163437333,10.0,atlas,0.5489760694331777,0.039964488918954856,Coby White OVER PR 11.5 (GOBLIN) [id:10653363] | Davion Mitchell OVER PRA 14.5 (GOBLIN) [id:10644489] | Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030] | De'Aaron Fox UNDER RA 10.5 (STANDARD) [id:10649865],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9062398163437333,"['coby white', 'davion mitchell', 'shai gilgeous-alexander', ""de'aaron fox""]",1,Coby White OVER PR 11.5 (GOBLIN) [id:10653363],Davion Mitchell OVER PRA 14.5 (GOBLIN) [id:10644489],Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030],De'Aaron Fox UNDER RA 10.5 (STANDARD) [id:10649865],0,
4,Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125] | Grant Williams OVER PRA 9.5 (GOBLIN) [id:10644496] | Nikola Jokić UNDER RA 24 (STANDARD) [id:10644406] | Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500],0.09053877589844417,10.0,1.0,10.0,0.9053877589844417,10.0,atlas,0.5494859590064253,0.03127958694064625,Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125] | Grant Williams OVER PRA 9.5 (GOBLIN) [id:10644496] | Nikola Jokić UNDER RA 24 (STANDARD) [id:10644406] | Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9053877589844417,"['rudy gobert', 'grant williams', 'nikola jokić', ""kel'el ware""]",1,Rudy Gobert OVER REB 9.5 (GOBLIN) [id:10652125],Grant Williams OVER PRA 9.5 (GOBLIN) [id:10644496],Nikola Jokić UNDER RA 24 (STANDARD) [id:10644406],Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500],0,
4,Kon Knueppel OVER PRA 25.5 (GOBLIN) [id:10645615] | Devin Booker OVER PTS 23.5 (GOBLIN) [id:10652321] | Jett Howard UNDER PA 6.5 (STANDARD) [id:10648860] | Trendon Watford UNDER PR 12.5 (STANDARD) [id:10644892],0.08986922525578243,10.0,1.0,10.0,0.8986922525578244,10.0,atlas,0.5481058330589744,0.03306364879929208,Kon Knueppel OVER PRA 25.5 (GOBLIN) [id:10645615] | Devin Booker OVER PTS 23.5 (GOBLIN) [id:10652321] | Jett Howard UNDER PA 6.5 (STANDARD) [id:10648860] | Trendon Watford UNDER PR 12.5 (STANDARD) [id:10644892],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8986922525578244,"['kon knueppel', 'devin booker', 'jett howard', 'trendon watford']",1,Kon Knueppel OVER PRA 25.5 (GOBLIN) [id:10645615],Devin Booker OVER PTS 23.5 (GOBLIN) [id:10652321],Jett Howard UNDER PA 6.5 (STANDARD) [id:10648860],Trendon Watford UNDER PR 12.5 (STANDARD) [id:10644892],0,
4,Miles Bridges OVER PRA 22.5 (GOBLIN) [id:10645714] | Collin Gillespie OVER PTS 8.5 (GOBLIN) [id:10650223] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496] | De'Aaron Fox UNDER RA 10.5 (STANDARD) [id:10649865],0.08859174261881768,10.0,1.0,10.0,0.8859174261881768,10.0,atlas,0.546021520172749,0.03205226912144065,Miles Bridges OVER PRA 22.5 (GOBLIN) [id:10645714] | Collin Gillespie OVER PTS 8.5 (GOBLIN) [id:10650223] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496] | De'Aaron Fox UNDER RA 10.5 (STANDARD) [id:10649865],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8859174261881768,"['miles bridges', 'collin gillespie', ""royce o'neale"", ""de'aaron fox""]",1,Miles Bridges OVER PRA 22.5 (GOBLIN) [id:10645714],Collin Gillespie OVER PTS 8.5 (GOBLIN) [id:10650223],Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496],De'Aaron Fox UNDER RA 10.5 (STANDARD) [id:10649865],0,
4,Devin Booker OVER PRA 29.5 (GOBLIN) [id:10652479] | Jaime Jaquez OVER PR 17.5 (GOBLIN) [id:10654221] | Jaden McDaniels UNDER PA 18.5 (STANDARD) [id:10649300] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],0.08802721821911637,10.0,1.0,10.0,0.8802721821911637,10.0,atlas,0.5468512876504981,0.040267795449608054,Devin Booker OVER PRA 29.5 (GOBLIN) [id:10652479] | Jaime Jaquez OVER PR 17.5 (GOBLIN) [id:10654221] | Jaden McDaniels UNDER PA 18.5 (STANDARD) [id:10649300] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8802721821911637,"['devin booker', 'jaime jaquez', 'jaden mcdaniels', ""kel'el ware""]",1,Devin Booker OVER PRA 29.5 (GOBLIN) [id:10652479],Jaime Jaquez OVER PR 17.5 (GOBLIN) [id:10654221],Jaden McDaniels UNDER PA 18.5 (STANDARD) [id:10649300],Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],0,
4,Kon Knueppel OVER PRA 24.5 (GOBLIN) [id:10644517] | Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10644503] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496] | Karl-Anthony Towns UNDER PRA 35.5 (STANDARD) [id:10650141],0.08682317613716078,10.0,1.0,10.0,0.8682317613716078,10.0,atlas,0.5431603690435414,0.04016746707352999,Kon Knueppel OVER PRA 24.5 (GOBLIN) [id:10644517] | Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10644503] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496] | Karl-Anthony Towns UNDER PRA 35.5 (STANDARD) [id:10650141],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8682317613716078,"['kon knueppel', 'jaime jaquez', ""royce o'neale"", 'karl-anthony towns']",1,Kon Knueppel OVER PRA 24.5 (GOBLIN) [id:10644517],Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10644503],Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496],Karl-Anthony Towns UNDER PRA 35.5 (STANDARD) [id:10650141],0,
4,Brandon Miller OVER PR 24.5 (GOBLIN) [id:10644462] | Grayson Allen OVER PTS 11.5 (GOBLIN) [id:10650230] | Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054] | Ayo Dosunmu OVER PTS 15.5 (STANDARD) [id:10649095],0.08534346674092547,10.0,1.0,10.0,0.8534346674092547,10.0,atlas,0.5420275566666635,0.04675529515348613,Brandon Miller OVER PR 24.5 (GOBLIN) [id:10644462] | Grayson Allen OVER PTS 11.5 (GOBLIN) [id:10650230] | Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054] | Ayo Dosunmu OVER PTS 15.5 (STANDARD) [id:10649095],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8534346674092547,"['brandon miller', 'grayson allen', 'moussa diabaté', 'ayo dosunmu']",1,Brandon Miller OVER PR 24.5 (GOBLIN) [id:10644462],Grayson Allen OVER PTS 11.5 (GOBLIN) [id:10650230],Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054],Ayo Dosunmu OVER PTS 15.5 (STANDARD) [id:10649095],0,
4,Tyler Herro OVER PTS 17.5 (GOBLIN) [id:10644585] | Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Rudy Gobert OVER REB 11.5 (STANDARD) [id:10649561] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496],0.08525395883845381,10.0,1.0,10.0,0.8525395883845381,10.0,atlas,0.5408365058472724,0.03515318107788445,Tyler Herro OVER PTS 17.5 (GOBLIN) [id:10644585] | Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Rudy Gobert OVER REB 11.5 (STANDARD) [id:10649561] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8525395883845381,"['tyler herro', 'davion mitchell', 'rudy gobert', ""royce o'neale""]",1,Tyler Herro OVER PTS 17.5 (GOBLIN) [id:10644585],Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873],Rudy Gobert OVER REB 11.5 (STANDARD) [id:10649561],Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496],0,
4,Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10644137] | Jalen Green OVER REB 3.5 (GOBLIN) [id:10649350] | Nikola Jokić UNDER RA 24 (STANDARD) [id:10644406] | Karl-Anthony Towns UNDER PTS 20.5 (STANDARD) [id:10650134],0.08505040493141698,10.0,1.0,10.0,0.8505040493141698,10.0,atlas,0.5402941409452524,0.022399323827302274,Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10644137] | Jalen Green OVER REB 3.5 (GOBLIN) [id:10649350] | Nikola Jokić UNDER RA 24 (STANDARD) [id:10644406] | Karl-Anthony Towns UNDER PTS 20.5 (STANDARD) [id:10650134],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8505040493141698,"['ryan kalkbrenner', 'jalen green', 'nikola jokić', 'karl-anthony towns']",1,Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10644137],Jalen Green OVER REB 3.5 (GOBLIN) [id:10649350],Nikola Jokić UNDER RA 24 (STANDARD) [id:10644406],Karl-Anthony Towns UNDER PTS 20.5 (STANDARD) [id:10650134],0,
4,Julius Randle OVER PTS 17.5 (GOBLIN) [id:10652122] | LaMelo Ball OVER PRA 24.5 (GOBLIN) [id:10644529] | Oso Ighodaro OVER RA 8 (STANDARD) [id:10649482] | Jett Howard UNDER PRA 9 (STANDARD) [id:10648866],0.08265335411226338,10.0,1.0,10.0,0.8265335411226338,10.0,atlas,0.5372920600845544,0.05425420709581838,Julius Randle OVER PTS 17.5 (GOBLIN) [id:10652122] | LaMelo Ball OVER PRA 24.5 (GOBLIN) [id:10644529] | Oso Ighodaro OVER RA 8 (STANDARD) [id:10649482] | Jett Howard UNDER PRA 9 (STANDARD) [id:10648866],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8265335411226338,"['julius randle', 'lamelo ball', 'oso ighodaro', 'jett howard']",1,Julius Randle OVER PTS 17.5 (GOBLIN) [id:10652122],LaMelo Ball OVER PRA 24.5 (GOBLIN) [id:10644529],Oso Ighodaro OVER RA 8 (STANDARD) [id:10649482],Jett Howard UNDER PRA 9 (STANDARD) [id:10648866],0,
