slip,high_confidence,hit_prob,payout_mult,ev,player,team,opp,stat,direction,tier,line,p_cal
5-leg,True,0.1893,2.145,0.406,Ajay Mitchell,OKC,LAL,PRA,OVER,GOBLIN,18.5,0.8043
5-leg,True,0.1893,2.145,0.406,Alex Caruso,OKC,LAL,REB,OVER,GOBLIN,2.5,0.7832
5-leg,True,0.1893,2.145,0.406,Tobias Harris,DET,CLE,PTS,OVER,STANDARD,17.5,0.7692
5-leg,True,0.1893,2.145,0.406,Rui Hachimura,LAL,OKC,PA,OVER,STANDARD,14.5,0.7163
5-leg,True,0.1893,2.145,0.406,Dennis Schröder,CLE,DET,FG3M,OVER,DEMON,0.5,0.6528
4-leg,True,0.3241,1.897,0.615,Ausar Thompson,DET,CLE,PA,OVER,GOBLIN,9.5,0.7313
4-leg,True,0.3241,1.897,0.615,Austin Reaves,LAL,OKC,REB,OVER,GOBLIN,2.5,0.7722
4-leg,True,0.3241,1.897,0.615,Jared McCain,OKC,LAL,PTS,OVER,STANDARD,4.5,0.7797
4-leg,True,0.3241,1.897,0.615,Isaiah Hartenstein,OKC,LAL,PTS,OVER,STANDARD,7.5,0.7309
3-leg,True,0.4978,1.931,0.9613,Ayo Dosunmu,MIN,SAS,FG3M,OVER,GOBLIN,0.5,0.7468
3-leg,True,0.4978,1.931,0.9613,Jaylin Williams,OKC,LAL,PTS,OVER,STANDARD,4.0,0.7106
3-leg,True,0.4978,1.931,0.9613,Paul George,PHI,NYK,FG3M,OVER,STANDARD,2.5,0.8098
