source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
oddsapi,NBA,Jalen Brunson,AST,2026-05-04 22:30:23,6.5,0.7,0.4957,0.5043,,,,n_books=7
oddsapi,NBA,Tyrese Maxey,AST,2026-05-04 22:30:23,6.5,0.5,0.4601,0.5399,,,,n_books=5
oddsapi,NBA,Josh Hart,AST,2026-05-04 22:30:23,4.5,0.7,0.5219,0.4781,,,,n_books=7
oddsapi,NBA,Joel Embiid,AST,2026-05-04 22:30:23,4.5,0.7,0.528,0.472,,,,n_books=7
oddsapi,NBA,Karl-Anthony Towns,AST,2026-05-04 22:30:23,4.5,0.4,0.4088,0.5912,,,,n_books=4
oddsapi,NBA,Paul George,AST,2026-05-04 22:30:23,3.5,0.7,0.456,0.544,,,,n_books=7
oddsapi,NBA,VJ Edgecombe,AST,2026-05-04 22:30:23,3.5,0.8,0.4207,0.5793,,,,n_books=8
oddsapi,NBA,Mikal Bridges,AST,2026-05-04 22:30:23,2.5,0.6,0.4558,0.5442,,,,n_books=6
oddsapi,NBA,OG Anunoby,AST,2026-05-04 22:30:23,1.5,0.5,0.5133,0.4867,,,,n_books=5
oddsapi,NBA,Miles McBride,AST,2026-05-04 22:30:23,1.5,0.3,0.4769,0.5231,,,,n_books=3
oddsapi,NBA,Joel Embiid,PTS,2026-05-04 22:30:23,26.5,0.7,0.5043,0.4957,,,,n_books=7
oddsapi,NBA,Jalen Brunson,PTS,2026-05-04 22:30:23,26.5,0.5,0.4917,0.5083,,,,n_books=5
oddsapi,NBA,Tyrese Maxey,PTS,2026-05-04 22:30:23,24.5,0.5,0.52,0.48,,,,n_books=5
oddsapi,NBA,Karl-Anthony Towns,PTS,2026-05-04 22:30:23,19.5,0.6,0.48,0.52,,,,n_books=6
oddsapi,NBA,OG Anunoby,PTS,2026-05-04 22:30:23,16.5,0.7,0.5196,0.4804,,,,n_books=7
oddsapi,NBA,Paul George,PTS,2026-05-04 22:30:23,15.5,0.7,0.4787,0.5213,,,,n_books=7
oddsapi,NBA,VJ Edgecombe,PTS,2026-05-04 22:30:23,12.5,0.7,0.4841,0.5159,,,,n_books=7
oddsapi,NBA,Josh Hart,PTS,2026-05-04 22:30:23,11.5,0.7,0.5168,0.4832,,,,n_books=7
oddsapi,NBA,Mikal Bridges,PTS,2026-05-04 22:30:23,10.5,0.7,0.4895,0.5105,,,,n_books=7
oddsapi,NBA,Kelly Oubre Jr,PTS,2026-05-04 22:30:23,9.5,0.5,0.5217,0.4783,,,,n_books=5
oddsapi,NBA,Miles McBride,PTS,2026-05-04 22:30:23,7.5,0.5,0.4711,0.5289,,,,n_books=5
oddsapi,NBA,Quentin Grimes,PTS,2026-05-04 22:30:23,6.5,0.6,0.5153,0.4847,,,,n_books=6
oddsapi,NBA,Jordan Clarkson,PTS,2026-05-04 22:30:23,5.5,0.5,0.5279,0.4721,,,,n_books=5
oddsapi,NBA,Mitchell Robinson,PTS,2026-05-04 22:30:23,4.5,0.5,0.536,0.464,,,,n_books=5
oddsapi,NBA,Andre Drummond,PTS,2026-05-04 22:30:23,2.5,0.4,0.4715,0.5285,,,,n_books=4
oddsapi,NBA,Karl-Anthony Towns,REB,2026-05-04 22:30:23,11.5,0.7,0.5197,0.4803,,,,n_books=7
oddsapi,NBA,Joel Embiid,REB,2026-05-04 22:30:23,8.5,0.7,0.5083,0.4917,,,,n_books=7
oddsapi,NBA,Josh Hart,REB,2026-05-04 22:30:23,8.5,0.7,0.4906,0.5094,,,,n_books=7
oddsapi,NBA,Mitchell Robinson,REB,2026-05-04 22:30:23,7.5,0.6,0.4818,0.5182,,,,n_books=6
oddsapi,NBA,OG Anunoby,REB,2026-05-04 22:30:23,5.5,0.6,0.5502,0.4498,,,,n_books=6
