projection_id,player,stat,line,direction,tier,more_allowed,less_allowed,main_line,start_time,updated_at,alt_line,is_main,odds_type,team,game_date,opp,home,minutes_s,p,p_close,fragility,fragility_abs,is_star,q_blowout,min_mean,min_std,rate_mean,rate_std,games_used,data_health_flag,p_adj,rpd_active,rpd_last10_hitrate,rpd_z,rpd_delta_p,telemetry_k_shrink,telemetry_under_penalty,telemetry_mult,external_prior_score,external_prior_n,external_prior_sources,external_prior_epsilon
9883245,Jaylin Williams,PRA,19.5,OVER,GOBLIN,1,0,19.5,2026-02-12T19:40:00.000-05:00,2026-02-12T21:14:34.815000+00:00,0,0,goblin,OKC,2026-02-12,,0,1.0,0.24285142971405718,0.2434513097380524,0.0024640657084189672,0.0005998800239952196,False,0.0,20.1,6.714908785679818,0.7274279019677122,0.2640865835654957,20,OK,0.31999600079984003,0,0.1,,0.0,0.7,0.9,1.0,0.0,0,,0.03
9870730,Ace Bailey,PA,20.5,OVER,STANDARD,1,0,20.5,2026-02-12T21:10:00.000-05:00,2026-02-12T21:14:13.177000+00:00,0,0,standard,UTA,2026-02-12,BKN,1,1.0,0.15946810637872424,0.15366926614677065,0.0,0.0,False,0.0,28.7,8.192069335644076,0.4746641203882705,0.18263132960538622,20,OK,0.26162767446510693,0,0.3,,0.0,0.7,0.9,1.0,0.0,0,rotowire,0.03
9870730,Ace Bailey,PA,20.5,UNDER,STANDARD,0,1,20.5,2026-02-12T21:10:00.000-05:00,2026-02-12T21:14:13.177000+00:00,0,0,standard,UTA,2026-02-12,BKN,1,1.0,0.8405318936212758,0.8463307338532293,0.0068517424689898765,0.005798840231953539,False,0.0,28.7,8.192069335644076,0.4746641203882705,0.18263132960538622,20,OK,0.6795350929814037,0,0.7,,0.0,0.7,0.9,1.0,-0.6677551408457868,1,rotowire,0.03
9883145,Chet Holmgren,PA,18.5,OVER,GOBLIN,1,0,18.5,2026-02-12T19:40:00.000-05:00,2026-02-12T21:13:59.937000+00:00,0,0,goblin,OKC,2026-02-12,,0,1.0,0.47060587882423516,0.46720655868826233,0.0,0.0,False,0.0,30.3,3.5930488446443363,0.5979595523075778,0.15961847938084806,20,OK,0.4794241151769646,0,0.3,,0.0,0.7,0.9,1.0,0.4458838366404952,1,rotowire,0.03
9883295,Rui Hachimura,REB,4.5,OVER,DEMON,1,0,4.5,2026-02-12T22:10:00.000-05:00,2026-02-12T21:13:44.346000+00:00,0,0,demon,LAL,2026-02-12,,0,0.6,0.2478504299140172,0.23925214957008598,0.0,0.0,False,0.0,26.0,5.338539126015656,0.12122057986117467,0.0697028456607909,20,OK,0.32349530093981205,0,0.3,,0.0,0.7,0.9,1.0,0.0,0,,0.03
9870664,Marcus Smart,PR,13.5,OVER,GOBLIN,1,0,13.5,2026-02-12T22:10:00.000-05:00,2026-02-12T21:13:32.814000+00:00,0,0,goblin,LAL,2026-02-12,,0,1.0,0.4896020795840832,0.4792041591681664,0.0,0.0,False,0.0,29.55,4.043204174908807,0.44943602475525213,0.22991590654864885,20,OK,0.4927214557088582,0,0.4,,0.0,0.7,0.9,1.0,0.0,0,rotowire,0.03
9869691,Marcus Smart,PA,11.5,OVER,GOBLIN,1,0,11.5,2026-02-12T22:10:00.000-05:00,2026-02-12T21:13:12.023000+00:00,0,0,goblin,LAL,2026-02-12,,0,1.0,0.5669866026794641,0.5573885222955409,0.0,0.0,False,0.0,29.55,4.043204174908807,0.4255811825689876,0.21769900150073335,20,OK,0.5468906218756249,0,0.6,,0.0,0.7,0.9,1.0,0.10820263752550882,1,rotowire,0.03
9868912,Marcus Smart,PR,15.5,OVER,STANDARD,1,0,15.5,2026-02-12T22:10:00.000-05:00,2026-02-12T21:13:11.931000+00:00,0,0,standard,LAL,2026-02-12,,0,1.0,0.3802239552089582,0.36942611477704457,0.0,0.0,False,0.0,29.55,4.043204174908807,0.44943602475525213,0.22991590654864885,20,OK,0.4161567686462707,0,0.3,,0.0,0.7,0.9,1.0,0.0,0,rotowire,0.03
9868912,Marcus Smart,PR,15.5,UNDER,STANDARD,0,1,15.5,2026-02-12T22:10:00.000-05:00,2026-02-12T21:13:11.931000+00:00,0,0,standard,LAL,2026-02-12,,0,1.0,0.6197760447910418,0.6305738852229554,0.017123830664341297,0.010797840431913674,False,0.0,29.55,4.043204174908807,0.44943602475525213,0.22991590654864885,20,OK,0.5404589082183563,0,0.7,,0.0,0.7,0.9,1.0,-0.8224878144811866,1,rotowire,0.03
9869693,Marcus Smart,RA,4.5,OVER,GOBLIN,1,0,4.5,2026-02-12T22:10:00.000-05:00,2026-02-12T21:13:11.912000+00:00,0,0,goblin,LAL,2026-02-12,,0,1.0,0.6941611677664468,0.6869626074785044,0.0,0.0,False,0.0,29.55,4.043204174908807,0.19348768707975011,0.07682616093632531,20,OK,0.6359128174365127,0,0.5,,0.0,0.7,0.9,1.0,0.28390148061112297,1,rotowire,0.03
