slip,high_confidence,hit_prob,payout_mult,ev,player,team,opp,stat,direction,tier,line,p_cal
5-leg,True,0.1525,2.145,0.3271,Ajay Mitchell,OKC,LAL,PRA,OVER,GOBLIN,19.5,0.7224
5-leg,True,0.1525,2.145,0.3271,Alex Caruso,OKC,LAL,REB,OVER,GOBLIN,2.5,0.7291
5-leg,True,0.1525,2.145,0.3271,Tobias Harris,DET,CLE,PTS,OVER,STANDARD,17.5,0.8058
5-leg,True,0.1525,2.145,0.3271,Jalen Duren,DET,CLE,PTS,UNDER,STANDARD,15.5,0.7635
5-leg,True,0.1525,2.145,0.3271,Anthony Edwards,MIN,SAS,RA,OVER,DEMON,7.5,0.5322
4-leg,True,0.2973,1.897,0.564,Andre Drummond,PHI,NYK,PTS,OVER,GOBLIN,0.5,0.6977
4-leg,True,0.2973,1.897,0.564,Ausar Thompson,DET,CLE,REB,OVER,GOBLIN,6.5,0.6967
4-leg,True,0.2973,1.897,0.564,Isaiah Joe,OKC,LAL,PTS,OVER,STANDARD,6.5,0.7707
4-leg,True,0.2973,1.897,0.564,Rui Hachimura,LAL,OKC,PA,OVER,STANDARD,13.5,0.7569
3-leg,True,0.5828,1.931,1.1253,Austin Reaves,LAL,OKC,REB,OVER,GOBLIN,2.5,0.7789
3-leg,True,0.5828,1.931,1.1253,Duncan Robinson,DET,CLE,PA,OVER,STANDARD,12.5,0.7505
3-leg,True,0.5828,1.931,1.1253,Terrence Shannon,MIN,SAS,PTS,OVER,STANDARD,7.5,0.7422
