slip,high_confidence,hit_prob,payout_mult,ev,player,team,opp,stat,direction,tier,line,p_cal
5-leg,False,0.1174,2.145,0.2517,Ajay Mitchell,OKC,LAL,FG3M,OVER,GOBLIN,0.5,0.8167
5-leg,False,0.1174,2.145,0.2517,Alex Caruso,OKC,LAL,AST,OVER,GOBLIN,1.5,0.7029
5-leg,False,0.1174,2.145,0.2517,OG Anunoby,NYK,PHI,PTS,OVER,STANDARD,14.5,0.7093
5-leg,False,0.1174,2.145,0.2517,Rui Hachimura,LAL,OKC,PTS,OVER,STANDARD,13.5,0.6972
5-leg,False,0.1174,2.145,0.2517,Deandre Ayton,LAL,OKC,RA,OVER,DEMON,10.5,0.5109
4-leg,True,0.319,1.897,0.6053,Austin Reaves,LAL,OKC,AST,OVER,GOBLIN,3.5,0.7687
4-leg,True,0.319,1.897,0.6053,Ayo Dosunmu,MIN,SAS,FG3M,OVER,GOBLIN,0.5,0.759
4-leg,True,0.319,1.897,0.6053,Isaiah Joe,OKC,LAL,PTS,OVER,STANDARD,3.5,0.792
4-leg,True,0.319,1.897,0.6053,Jaylin Williams,OKC,LAL,PA,OVER,STANDARD,5.5,0.7545
3-leg,True,0.498,1.931,0.9617,Cason Wallace,OKC,LAL,AST,OVER,GOBLIN,1.5,0.7837
3-leg,True,0.498,1.931,0.9617,Jared McCain,OKC,LAL,PA,OVER,STANDARD,6.5,0.7529
3-leg,True,0.498,1.931,0.9617,Terrence Shannon,MIN,SAS,PTS,OVER,STANDARD,8.0,0.661
