n_legs,legs,hit_prob,payout_mult,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,leg_1,leg_2,leg_3
3,LeBron James OVER PA 24.5 (GOBLIN) [id:9869595|LeBron James|PA|GOBLIN|24.5|OVER] | Brice Sensabaugh UNDER PTS 18.5 (STANDARD) [id:9870746|Brice Sensabaugh|PTS|STANDARD|18.5|UNDER] | Kyle Filipowski UNDER PR 25.5 (STANDARD) [id:9870769|Kyle Filipowski|PR|STANDARD|25.5|UNDER],0.2664235001645571,4.041226441690953,1.0766776935528624,6.0,pp_kernel,0.6507478275919595,0.005711551533675688,LeBron James OVER PA 24.5 (GOBLIN) [id:9869595|LeBron James|PA|GOBLIN|24.5|OVER] | Brice Sensabaugh UNDER PTS 18.5 (STANDARD) [id:9870746|Brice Sensabaugh|PTS|STANDARD|18.5|UNDER] | Kyle Filipowski UNDER PR 25.5 (STANDARD) [id:9870769|Kyle Filipowski|PR|STANDARD|25.5|UNDER],LeBron James OVER PA 24.5 (GOBLIN) [id:9869595|LeBron James|PA|GOBLIN|24.5|OVER],Brice Sensabaugh UNDER PTS 18.5 (STANDARD) [id:9870746|Brice Sensabaugh|PTS|STANDARD|18.5|UNDER],Kyle Filipowski UNDER PR 25.5 (STANDARD) [id:9870769|Kyle Filipowski|PR|STANDARD|25.5|UNDER]
3,LeBron James OVER PA 24.5 (GOBLIN) [id:9869595|LeBron James|PA|GOBLIN|24.5|OVER] | Vince Williams UNDER PA 16.5 (STANDARD) [id:9871141|Vince Williams|PA|STANDARD|16.5|UNDER] | Brice Sensabaugh UNDER PTS 18.5 (STANDARD) [id:9870746|Brice Sensabaugh|PTS|STANDARD|18.5|UNDER],0.2651725827672308,4.041226441690953,1.071622453090416,6.0,pp_kernel,0.6496630445485682,0.007559021495585735,LeBron James OVER PA 24.5 (GOBLIN) [id:9869595|LeBron James|PA|GOBLIN|24.5|OVER] | Vince Williams UNDER PA 16.5 (STANDARD) [id:9871141|Vince Williams|PA|STANDARD|16.5|UNDER] | Brice Sensabaugh UNDER PTS 18.5 (STANDARD) [id:9870746|Brice Sensabaugh|PTS|STANDARD|18.5|UNDER],LeBron James OVER PA 24.5 (GOBLIN) [id:9869595|LeBron James|PA|GOBLIN|24.5|OVER],Vince Williams UNDER PA 16.5 (STANDARD) [id:9871141|Vince Williams|PA|STANDARD|16.5|UNDER],Brice Sensabaugh UNDER PTS 18.5 (STANDARD) [id:9870746|Brice Sensabaugh|PTS|STANDARD|18.5|UNDER]
3,LeBron James OVER PA 24.5 (GOBLIN) [id:9869595|LeBron James|PA|GOBLIN|24.5|OVER] | Brice Sensabaugh UNDER RA 6.5 (STANDARD) [id:9883153|Brice Sensabaugh|RA|STANDARD|6.5|UNDER] | Brandon Williams UNDER RA 7.5 (STANDARD) [id:9884372|Brandon Williams|RA|STANDARD|7.5|UNDER],0.2630684018294737,4.041226441690953,1.06311898144665,6.0,pp_kernel,0.6443721027369305,0.0048468825732540365,LeBron James OVER PA 24.5 (GOBLIN) [id:9869595|LeBron James|PA|GOBLIN|24.5|OVER] | Brice Sensabaugh UNDER RA 6.5 (STANDARD) [id:9883153|Brice Sensabaugh|RA|STANDARD|6.5|UNDER] | Brandon Williams UNDER RA 7.5 (STANDARD) [id:9884372|Brandon Williams|RA|STANDARD|7.5|UNDER],LeBron James OVER PA 24.5 (GOBLIN) [id:9869595|LeBron James|PA|GOBLIN|24.5|OVER],Brice Sensabaugh UNDER RA 6.5 (STANDARD) [id:9883153|Brice Sensabaugh|RA|STANDARD|6.5|UNDER],Brandon Williams UNDER RA 7.5 (STANDARD) [id:9884372|Brandon Williams|RA|STANDARD|7.5|UNDER]
3,Naji Marshall OVER RA 6.5 (GOBLIN) [id:9883541|Naji Marshall|RA|GOBLIN|6.5|OVER] | Vince Williams UNDER PR 14.5 (STANDARD) [id:9870782|Vince Williams|PR|STANDARD|14.5|UNDER] | John Konchar UNDER PRA 10.5 (STANDARD) [id:9885847|John Konchar|PRA|STANDARD|10.5|UNDER],0.2601434356695164,4.04831041918023,1.0531413811022452,6.0,pp_kernel,0.6409719888910935,0.003388168160135508,Naji Marshall OVER RA 6.5 (GOBLIN) [id:9883541|Naji Marshall|RA|GOBLIN|6.5|OVER] | Vince Williams UNDER PR 14.5 (STANDARD) [id:9870782|Vince Williams|PR|STANDARD|14.5|UNDER] | John Konchar UNDER PRA 10.5 (STANDARD) [id:9885847|John Konchar|PRA|STANDARD|10.5|UNDER],Naji Marshall OVER RA 6.5 (GOBLIN) [id:9883541|Naji Marshall|RA|GOBLIN|6.5|OVER],Vince Williams UNDER PR 14.5 (STANDARD) [id:9870782|Vince Williams|PR|STANDARD|14.5|UNDER],John Konchar UNDER PRA 10.5 (STANDARD) [id:9885847|John Konchar|PRA|STANDARD|10.5|UNDER]
3,Klay Thompson OVER AST 0.5 (GOBLIN) [id:9885626|Klay Thompson|AST|GOBLIN|0.5|OVER] | Brandon Williams UNDER RA 7.5 (STANDARD) [id:9884372|Brandon Williams|RA|STANDARD|7.5|UNDER] | Ace Bailey UNDER PA 19.5 (STANDARD) [id:9870730|Ace Bailey|PA|STANDARD|19.5|UNDER],0.2589587729931483,4.0588126648256795,1.0510651474923085,6.0,pp_kernel,0.6393650637529967,0.0019284785980798844,Klay Thompson OVER AST 0.5 (GOBLIN) [id:9885626|Klay Thompson|AST|GOBLIN|0.5|OVER] | Brandon Williams UNDER RA 7.5 (STANDARD) [id:9884372|Brandon Williams|RA|STANDARD|7.5|UNDER] | Ace Bailey UNDER PA 19.5 (STANDARD) [id:9870730|Ace Bailey|PA|STANDARD|19.5|UNDER],Klay Thompson OVER AST 0.5 (GOBLIN) [id:9885626|Klay Thompson|AST|GOBLIN|0.5|OVER],Brandon Williams UNDER RA 7.5 (STANDARD) [id:9884372|Brandon Williams|RA|STANDARD|7.5|UNDER],Ace Bailey UNDER PA 19.5 (STANDARD) [id:9870730|Ace Bailey|PA|STANDARD|19.5|UNDER]
3,Toumani Camara OVER PRA 17.5 (GOBLIN) [id:9870614|Toumani Camara|PRA|GOBLIN|17.5|OVER] | Vince Williams UNDER PA 16.5 (STANDARD) [id:9871141|Vince Williams|PA|STANDARD|16.5|UNDER] | John Konchar UNDER PRA 10.5 (STANDARD) [id:9885847|John Konchar|PRA|STANDARD|10.5|UNDER],0.25654915353996754,4.080984222654034,1.0469730479318549,6.0,pp_kernel,0.6368599613410652,0.00308249527992907,Toumani Camara OVER PRA 17.5 (GOBLIN) [id:9870614|Toumani Camara|PRA|GOBLIN|17.5|OVER] | Vince Williams UNDER PA 16.5 (STANDARD) [id:9871141|Vince Williams|PA|STANDARD|16.5|UNDER] | John Konchar UNDER PRA 10.5 (STANDARD) [id:9885847|John Konchar|PRA|STANDARD|10.5|UNDER],Toumani Camara OVER PRA 17.5 (GOBLIN) [id:9870614|Toumani Camara|PRA|GOBLIN|17.5|OVER],Vince Williams UNDER PA 16.5 (STANDARD) [id:9871141|Vince Williams|PA|STANDARD|16.5|UNDER],John Konchar UNDER PRA 10.5 (STANDARD) [id:9885847|John Konchar|PRA|STANDARD|10.5|UNDER]
3,Marvin Bagley OVER AST 0.5 (GOBLIN) [id:9885300|Marvin Bagley|AST|GOBLIN|0.5|OVER] | Brice Sensabaugh UNDER PTS 18.5 (STANDARD) [id:9870746|Brice Sensabaugh|PTS|STANDARD|18.5|UNDER] | Kyle Filipowski UNDER PTS 15.5 (STANDARD) [id:9870766|Kyle Filipowski|PTS|STANDARD|15.5|UNDER],0.2531134298776592,4.057300126401298,1.0269571510364928,6.0,pp_kernel,0.6384345412272995,0.00626798421818098,Marvin Bagley OVER AST 0.5 (GOBLIN) [id:9885300|Marvin Bagley|AST|GOBLIN|0.5|OVER] | Brice Sensabaugh UNDER PTS 18.5 (STANDARD) [id:9870746|Brice Sensabaugh|PTS|STANDARD|18.5|UNDER] | Kyle Filipowski UNDER PTS 15.5 (STANDARD) [id:9870766|Kyle Filipowski|PTS|STANDARD|15.5|UNDER],Marvin Bagley OVER AST 0.5 (GOBLIN) [id:9885300|Marvin Bagley|AST|GOBLIN|0.5|OVER],Brice Sensabaugh UNDER PTS 18.5 (STANDARD) [id:9870746|Brice Sensabaugh|PTS|STANDARD|18.5|UNDER],Kyle Filipowski UNDER PTS 15.5 (STANDARD) [id:9870766|Kyle Filipowski|PTS|STANDARD|15.5|UNDER]
3,Marvin Bagley OVER AST 0.5 (GOBLIN) [id:9885300|Marvin Bagley|AST|GOBLIN|0.5|OVER] | Brice Sensabaugh UNDER PTS 18.5 (STANDARD) [id:9870746|Brice Sensabaugh|PTS|STANDARD|18.5|UNDER] | Kyle Filipowski UNDER PR 25.5 (STANDARD) [id:9870769|Kyle Filipowski|PR|STANDARD|25.5|UNDER],0.25218665800318246,4.057300126401298,1.023196959393033,6.0,pp_kernel,0.6375854829034194,0.005711551533675688,Marvin Bagley OVER AST 0.5 (GOBLIN) [id:9885300|Marvin Bagley|AST|GOBLIN|0.5|OVER] | Brice Sensabaugh UNDER PTS 18.5 (STANDARD) [id:9870746|Brice Sensabaugh|PTS|STANDARD|18.5|UNDER] | Kyle Filipowski UNDER PR 25.5 (STANDARD) [id:9870769|Kyle Filipowski|PR|STANDARD|25.5|UNDER],Marvin Bagley OVER AST 0.5 (GOBLIN) [id:9885300|Marvin Bagley|AST|GOBLIN|0.5|OVER],Brice Sensabaugh UNDER PTS 18.5 (STANDARD) [id:9870746|Brice Sensabaugh|PTS|STANDARD|18.5|UNDER],Kyle Filipowski UNDER PR 25.5 (STANDARD) [id:9870769|Kyle Filipowski|PR|STANDARD|25.5|UNDER]
3,Marvin Bagley OVER AST 0.5 (GOBLIN) [id:9885300|Marvin Bagley|AST|GOBLIN|0.5|OVER] | Vince Williams UNDER PA 16.5 (STANDARD) [id:9871141|Vince Williams|PA|STANDARD|16.5|UNDER] | Brice Sensabaugh UNDER PTS 18.5 (STANDARD) [id:9870746|Brice Sensabaugh|PTS|STANDARD|18.5|UNDER],0.2510025857360029,4.057300126401298,1.0183928228337373,6.0,pp_kernel,0.636500699860028,0.007559021495585735,Marvin Bagley OVER AST 0.5 (GOBLIN) [id:9885300|Marvin Bagley|AST|GOBLIN|0.5|OVER] | Vince Williams UNDER PA 16.5 (STANDARD) [id:9871141|Vince Williams|PA|STANDARD|16.5|UNDER] | Brice Sensabaugh UNDER PTS 18.5 (STANDARD) [id:9870746|Brice Sensabaugh|PTS|STANDARD|18.5|UNDER],Marvin Bagley OVER AST 0.5 (GOBLIN) [id:9885300|Marvin Bagley|AST|GOBLIN|0.5|OVER],Vince Williams UNDER PA 16.5 (STANDARD) [id:9871141|Vince Williams|PA|STANDARD|16.5|UNDER],Brice Sensabaugh UNDER PTS 18.5 (STANDARD) [id:9870746|Brice Sensabaugh|PTS|STANDARD|18.5|UNDER]
3,Marvin Bagley OVER AST 0.5 (GOBLIN) [id:9885300|Marvin Bagley|AST|GOBLIN|0.5|OVER] | Brice Sensabaugh UNDER PTS 18.5 (STANDARD) [id:9870746|Brice Sensabaugh|PTS|STANDARD|18.5|UNDER] | Vince Williams UNDER PA 16.5 (STANDARD) [id:9871141|Vince Williams|PA|STANDARD|16.5|UNDER],0.2510025857360029,4.057300126401298,1.0183928228337373,6.0,pp_kernel,0.636500699860028,0.007559021495585735,Marvin Bagley OVER AST 0.5 (GOBLIN) [id:9885300|Marvin Bagley|AST|GOBLIN|0.5|OVER] | Brice Sensabaugh UNDER PTS 18.5 (STANDARD) [id:9870746|Brice Sensabaugh|PTS|STANDARD|18.5|UNDER] | Vince Williams UNDER PA 16.5 (STANDARD) [id:9871141|Vince Williams|PA|STANDARD|16.5|UNDER],Marvin Bagley OVER AST 0.5 (GOBLIN) [id:9885300|Marvin Bagley|AST|GOBLIN|0.5|OVER],Brice Sensabaugh UNDER PTS 18.5 (STANDARD) [id:9870746|Brice Sensabaugh|PTS|STANDARD|18.5|UNDER],Vince Williams UNDER PA 16.5 (STANDARD) [id:9871141|Vince Williams|PA|STANDARD|16.5|UNDER]
