projection_id,player,stat,line,direction,tier,more_allowed,less_allowed,main_line,start_time,updated_at,alt_line,is_main,odds_type,team,game_date,opp,home,minutes_s,p,p_close,fragility,fragility_abs,is_star,q_blowout,min_mean,min_std,rate_mean,rate_std,games_used,data_health_flag,p_adj,rpd_active,rpd_last10_hitrate,rpd_z,rpd_delta_p,telemetry_k_shrink,telemetry_under_penalty,telemetry_mult,external_prior_score,external_prior_n,external_prior_sources,external_prior_epsilon
9870780,Vince Williams,PTS,9.5,OVER,STANDARD,1,0,9.5,2026-02-12T21:10:00.000-05:00,2026-02-12T23:07:48.181000+00:00,0,0,standard,UTA,2026-02-12,BKN,1,0.6,0.27344531093781244,0.2616476704659068,0.0,0.0,False,0.0,20.0,4.024922359499621,0.34757090065413865,0.19515788410062912,20,OK,0.3414117176564687,0,,,0.0,0.7,0.9,1.0,0.0,0,,0.03
9870780,Vince Williams,PTS,9.5,UNDER,STANDARD,0,1,9.5,2026-02-12T21:10:00.000-05:00,2026-02-12T23:07:48.181000+00:00,0,0,standard,UTA,2026-02-12,BKN,1,0.6,0.7265546890621876,0.7383523295340931,0.015978334461746718,0.011797640471905568,False,0.0,20.0,4.024922359499621,0.34757090065413865,0.19515788410062912,20,OK,0.6077294541091781,0,,,0.0,0.7,0.9,1.0,0.0,0,,0.03
9871141,Vince Williams,PA,14.5,OVER,STANDARD,1,0,14.5,2026-02-12T21:10:00.000-05:00,2026-02-12T23:07:41.548000+00:00,0,0,standard,UTA,2026-02-12,BKN,1,1.0,0.22905418916216758,0.22145570885822835,0.0,0.0,False,0.0,20.0,4.024922359499621,0.5146093983036203,0.2545761369090798,20,OK,0.3103379324135173,0,,,0.0,0.7,0.9,1.0,0.0,0,,0.03
9871141,Vince Williams,PA,14.5,UNDER,STANDARD,0,1,14.5,2026-02-12T21:10:00.000-05:00,2026-02-12T23:07:41.548000+00:00,0,0,standard,UTA,2026-02-12,BKN,1,1.0,0.7709458108378324,0.7785442911417716,0.009759856170540591,0.00759848030393917,False,0.0,20.0,4.024922359499621,0.5146093983036203,0.2545761369090798,20,OK,0.6356958608278345,0,,,0.0,0.7,0.9,1.0,0.0,0,,0.03
9883527,Chet Holmgren,PR,23.5,OVER,GOBLIN,1,0,23.5,2026-02-12T19:40:00.000-05:00,2026-02-12T23:07:39.541000+00:00,0,0,goblin,OKC,2026-02-12,,0,1.0,0.6819636072785443,0.6701659668066386,0.0,0.0,False,0.0,30.3,3.5930488446443363,0.871349763343298,0.1751542327497381,20,OK,0.627374525094981,0,0.5,,0.0,0.7,0.9,1.0,0.7801213147919798,1,rotowire,0.03
9883481,Jaylin Williams,RA,8.5,OVER,GOBLIN,1,0,8.5,2026-02-12T19:40:00.000-05:00,2026-02-12T23:07:39.352000+00:00,0,0,goblin,OKC,2026-02-12,,0,1.0,0.41141771645670866,0.42021595680863827,0.020937425648346407,0.00879824035192961,False,0.0,20.1,6.714908785679818,0.39659358918428106,0.1568520925524083,20,OK,0.4379924015196961,0,0.4,,0.0,0.7,0.9,1.0,0.0,0,,0.03
9883482,Jaylin Williams,RA,15.5,OVER,DEMON,1,0,15.5,2026-02-12T19:40:00.000-05:00,2026-02-12T23:07:39.309000+00:00,0,0,demon,OKC,2026-02-12,,0,1.0,0.0638872225554889,0.05728854229154169,0.0,0.0,False,0.0,20.1,6.714908785679818,0.39659358918428106,0.1568520925524083,20,OK,0.19293221355728857,0,0.1,,0.0,0.7,0.9,1.0,0.0,0,,0.03
9884422,Brandon Williams,PRA,25.5,OVER,DEMON,1,0,25.5,2026-02-12T22:10:00.000-05:00,2026-02-12T23:07:14.147000+00:00,0,0,demon,DAL,2026-02-12,,0,1.0,0.2476504699060188,0.25124975004999,0.014325507361719062,0.0035992801439712063,False,0.0,21.5,6.3992187023104625,0.9493456354434617,0.22184193819830528,20,OK,0.3164211157768446,0,0.3,,0.0,0.7,0.9,1.0,0.0,0,,0.03
9884340,Scoot Henderson,PRA,18.0,OVER,STANDARD,1,0,18.0,2026-02-12T21:10:00.000-05:00,2026-02-12T23:07:12.090000+00:00,0,0,standard,POR,2026-02-12,,0,1.0,0.9987002599480104,0.9983003399320136,0.0,0.0,False,0.0,20.5,0.5,1.1202380952380953,0.07023809523809521,2,OK,0.8490901819636072,0,,,0.0,0.7,0.9,1.0,0.0,0,,0.03
9884340,Scoot Henderson,PRA,18.0,UNDER,STANDARD,0,1,18.0,2026-02-12T21:10:00.000-05:00,2026-02-12T23:07:12.090000+00:00,0,0,standard,POR,2026-02-12,,0,1.0,0.001299740051989602,0.0016996600679864027,0.23529411764705885,0.0003999200159968007,False,0.0,20.5,0.5,1.1202380952380953,0.07023809523809521,2,OK,0.15078030276297683,0,,,0.0,0.7,0.9,1.0,0.0,0,,0.03
9870238,Donovan Clingan,PA,15.5,OVER,STANDARD,1,0,15.5,2026-02-12T21:10:00.000-05:00,2026-02-12T23:07:03.378000+00:00,0,0,standard,POR,2026-02-12,,0,1.0,0.42861427714457107,0.42661467706458706,0.0,0.0,False,0.0,29.2,3.9319206502674997,0.5028836160923775,0.15031399742158139,20,OK,0.45002999400119975,0,0.4,,0.0,0.7,0.9,1.0,0.0,0,rotowire,0.03
9870238,Donovan Clingan,PA,15.5,UNDER,STANDARD,0,1,15.5,2026-02-12T21:10:00.000-05:00,2026-02-12T23:07:03.378000+00:00,0,0,standard,POR,2026-02-12,,0,1.0,0.5713857228554289,0.5733853229354129,0.003487358326068015,0.0019996000799840097,False,0.0,29.2,3.9319206502674997,0.5028836160923775,0.15031399742158139,20,OK,0.5099730053989202,0,0.6,,0.0,0.7,0.9,1.0,-0.4621423805162352,1,rotowire,0.03
9884426,Brandon Williams,RA,5.5,OVER,GOBLIN,1,0,5.5,2026-02-12T22:10:00.000-05:00,2026-02-12T23:06:58.276000+00:00,0,0,goblin,DAL,2026-02-12,,0,1.0,0.5391921615676865,0.5343931213757248,0.0,0.0,False,0.0,21.5,6.3992187023104625,0.28137771608423784,0.11436970091376934,20,OK,0.5274345130973805,0,0.6,,0.0,0.7,0.9,1.0,0.0,0,,0.03
9880729,Luke Kennard,RA,5.5,OVER,STANDARD,1,0,5.5,2026-02-12T22:10:00.000-05:00,2026-02-12T23:06:51.963000+00:00,0,0,standard,LAL,2026-02-12,,0,1.0,0.40901819636072784,0.39802039592081584,0.0,0.0,False,0.0,22.6,4.509988913511873,0.2102948704196951,0.14391249023186228,20,OK,0.4363127374525095,0,0.5,,0.0,0.7,0.9,1.0,0.0,0,,0.03
9880729,Luke Kennard,RA,5.5,UNDER,STANDARD,0,1,5.5,2026-02-12T22:10:00.000-05:00,2026-02-12T23:06:51.963000+00:00,0,0,standard,LAL,2026-02-12,,0,1.0,0.5909818036392721,0.6019796040791842,0.018269390466699943,0.010997800439912053,False,0.0,22.6,4.509988913511873,0.2102948704196951,0.14391249023186228,20,OK,0.5223185362927414,0,0.5,,0.0,0.7,0.9,1.0,0.0,0,,0.03
9884419,Brandon Williams,PTS,18.5,OVER,DEMON,1,0,18.5,2026-02-12T22:10:00.000-05:00,2026-02-12T23:06:46.016000+00:00,0,0,demon,DAL,2026-02-12,,0,0.6,0.26504699060187964,0.2674465106978604,0.008971962616822293,0.002399520095980767,False,0.0,21.5,6.3992187023104625,0.6679679193592237,0.25597803533870694,20,OK,0.33553289342131576,0,0.3,,0.0,0.7,0.9,1.0,0.0,0,,0.03
9883068,Jaylin Williams,PRA,29.5,OVER,DEMON,1,0,29.5,2026-02-12T19:40:00.000-05:00,2026-02-12T23:06:09.740000+00:00,0,0,demon,OKC,2026-02-12,,0,1.0,0.045090981803639275,0.04189162167566487,0.0,0.0,False,0.0,20.1,6.714908785679818,0.7274279019677122,0.2640865835654957,20,OK,0.1803011397720456,0,0.1,,0.0,0.7,0.9,1.0,0.0,0,,0.03
9883479,Jaylin Williams,PRA,18.5,OVER,GOBLIN,1,0,18.5,2026-02-12T19:40:00.000-05:00,2026-02-12T23:06:09.720000+00:00,0,0,goblin,OKC,2026-02-12,,0,1.0,0.27864427114577084,0.28584283143371325,0.02518363064008395,0.007198560287942413,False,0.0,20.1,6.714908785679818,0.7274279019677122,0.2640865835654957,20,OK,0.34505098980203963,0,0.2,,0.0,0.7,0.9,1.0,0.0,0,,0.03
9883473,Jaylin Williams,PA,11.5,OVER,GOBLIN,1,0,11.5,2026-02-12T19:40:00.000-05:00,2026-02-12T23:06:09.703000+00:00,0,0,goblin,OKC,2026-02-12,,0,1.0,0.3032393521295741,0.3058388322335533,0.008499509643674394,0.0025994801039792015,False,0.0,20.1,6.714908785679818,0.4556395080742234,0.20592799625202038,20,OK,0.36226754649070186,0,0.3,,0.0,0.7,0.9,1.0,0.0,0,,0.03
9883477,Jaylin Williams,PA,19.5,OVER,DEMON,1,0,19.5,2026-02-12T19:40:00.000-05:00,2026-02-12T23:06:09.568000+00:00,0,0,demon,OKC,2026-02-12,,0,1.0,0.050889822035592884,0.04629074185162967,0.0,0.0,False,0.0,20.1,6.714908785679818,0.4556395080742234,0.20592799625202038,20,OK,0.18419796040791842,0,0.1,,0.0,0.7,0.9,1.0,0.0,0,,0.03
9884312,Kenrich Williams,RA,8.5,OVER,DEMON,1,0,8.5,2026-02-12T19:40:00.000-05:00,2026-02-12T23:06:08.243000+00:00,0,0,demon,OKC,2026-02-12,,0,1.0,0.16486702659468105,0.16026794641071784,0.0,0.0,False,0.0,16.9,9.043782394551519,0.2916339064361376,0.1310650143651721,20,OK,0.2607906418716257,0,0.3,,0.0,0.7,0.9,1.0,0.0,0,,0.03
9871590,LeBron James,PR,28.5,OVER,GOBLIN,1,0,28.5,2026-02-12T22:10:00.000-05:00,2026-02-12T23:06:01.870000+00:00,0,0,goblin,LAL,2026-02-12,,0,1.0,0.5491901619676065,0.5449910017996401,0.0,0.0,True,0.0,33.6,2.576819745345025,0.8705190558683207,0.18502773542550635,20,OK,0.5344331133773246,0,0.1,,0.0,0.7,0.9,1.0,0.0,0,rotowire,0.03
