slip,high_confidence,hit_prob,payout_mult,ev,player,team,opp,stat,direction,tier,line,p_cal
3-leg,True,0.5808,1.931,1.1215,Nic Claxton,BKN,NYK,PTS,OVER,GOBLIN,8.5,0.6935
3-leg,True,0.5808,1.931,1.1215,Jamal Shead,TOR,DEN,PTS,UNDER,STANDARD,5.5,0.7744
3-leg,True,0.5808,1.931,1.1215,Scoot Henderson,POR,MIN,RA,UNDER,STANDARD,6.5,0.8173
4-leg,True,0.2466,1.897,0.4679,Toumani Camara,POR,MIN,PRA,OVER,GOBLIN,14.5,0.8052
4-leg,True,0.2466,1.897,0.4679,Donovan Clingan,POR,MIN,RA,OVER,GOBLIN,9.5,0.6981
4-leg,True,0.2466,1.897,0.4679,Tari Eason,HOU,ATL,PR,UNDER,STANDARD,16.5,0.8151
4-leg,True,0.2466,1.897,0.4679,Scottie Barnes,TOR,DEN,AST,UNDER,STANDARD,4.5,0.6518
5-leg,True,0.1547,2.145,0.3318,Jerami Grant,POR,MIN,PTS,OVER,GOBLIN,14.5,0.7751
5-leg,True,0.1547,2.145,0.3318,Reed Sheppard,HOU,ATL,REB,OVER,GOBLIN,1.5,0.7713
5-leg,True,0.1547,2.145,0.3318,Naz Reid,MIN,POR,PTS,UNDER,STANDARD,13.5,0.7568
5-leg,True,0.1547,2.145,0.3318,Zaccharie Risacher,ATL,HOU,PTS,UNDER,STANDARD,6.5,0.7913
5-leg,True,0.1547,2.145,0.3318,Deni Avdija,POR,MIN,AST,OVER,DEMON,6.5,0.4783
