slip,high_confidence,hit_prob,payout_mult,ev,player,team,opp,stat,direction,tier,line,p_cal
5-leg,True,0.1356,2.145,0.2908,Ajay Mitchell,OKC,LAL,FG3M,OVER,GOBLIN,0.5,0.7516
5-leg,True,0.1356,2.145,0.2908,Alex Caruso,OKC,LAL,FG3M,OVER,GOBLIN,0.5,0.7795
5-leg,True,0.1356,2.145,0.2908,Dennis Schröder,CLE,DET,PTS,OVER,STANDARD,5.5,0.689
5-leg,True,0.1356,2.145,0.2908,Tobias Harris,DET,CLE,PTS,OVER,STANDARD,17.5,0.6685
5-leg,True,0.1356,2.145,0.2908,Jaylon Tyson,CLE,DET,AST,OVER,DEMON,1.5,0.651
4-leg,True,0.3069,1.897,0.5822,Ausar Thompson,DET,CLE,PTS,OVER,GOBLIN,5.5,0.7139
4-leg,True,0.3069,1.897,0.5822,Austin Reaves,LAL,OKC,REB,OVER,GOBLIN,2.5,0.797
4-leg,True,0.3069,1.897,0.5822,Isaiah Joe,OKC,LAL,PRA,OVER,STANDARD,8.5,0.8118
4-leg,True,0.3069,1.897,0.5822,Jared McCain,OKC,LAL,PTS,OVER,STANDARD,4.0,0.721
3-leg,False,0.4194,1.931,0.8098,Cade Cunningham,DET,CLE,FG3M,OVER,GOBLIN,1.5,0.7951
3-leg,False,0.4194,1.931,0.8098,Jake LaRavia,LAL,OKC,REB,OVER,STANDARD,2.5,0.706
3-leg,False,0.4194,1.931,0.8098,Isaiah Hartenstein,OKC,LAL,PTS,OVER,STANDARD,7.5,0.6296
