run_id,eval_rows,settled_eval_rows,mean_hit,mean_p_adj,mean_p_cal,brier_p_adj,brier_p_cal,logloss_p_adj,logloss_p_cal,games_used_min,games_used_lt5_share,role_ctx_outs_used_share,questionable_share,q_out_frac_mean,p_cal_equal_p_adj_share
20260313_071412,35,35,0.428571,0.389248,0.400756,0.225167,0.228257,0.637727,0.644932,11.0,0.0,0.264402,0.0,0.0,0.735598
20260313_071705,425,425,0.381176,0.381805,0.391879,0.206529,0.206529,0.599312,0.599312,0.0,0.002386,0.243359,0.0,0.0,0.756641
20260313_071921,2518,2518,0.45552,0.391269,0.399084,0.205442,0.203696,0.595946,0.591662,11.0,0.0,0.163181,0.0,0.0,0.836819
20260313_072144,2937,2937,0.413687,0.383864,0.3943,0.196713,0.197691,0.575152,0.57788,10.0,0.0,0.219811,0.0,0.0,0.780189
20260313_072438,5789,5789,0.407324,0.38328,0.393476,0.203201,0.203054,0.591093,0.590548,0.0,0.006449,0.239802,0.0,0.0,0.760198
20260313_072641,2484,2484,0.419082,0.379596,0.382063,0.213953,0.212958,0.615468,0.612945,31.0,0.0,0.059911,0.0,0.0,0.940089
20260313_072934,5206,5206,0.412601,0.39982,0.413825,0.213781,0.214652,0.61694,0.61857,0.0,0.007025,0.324025,0.0,0.0,0.675975
20260313_073159,2932,2932,0.395634,0.398222,0.399154,0.206229,0.205855,0.597508,0.596609,13.0,0.0,0.023433,0.0,0.0,0.976567
20260313_073500,4354,4354,0.432706,0.393747,0.40566,0.225337,0.225925,0.647152,0.648237,0.0,0.013826,0.273948,0.0,0.0,0.726052
20260313_073807,4361,4361,0.441871,0.407797,0.41637,0.201391,0.200149,0.585866,0.582953,2.0,0.009376,0.185895,0.0,0.0,0.814105
20260313_074051,2935,2935,0.427598,0.388429,0.396881,0.217547,0.217196,0.624961,0.62427,0.0,0.006081,0.188507,0.0,0.0,0.811493
20260313_074359,4765,4765,0.427282,0.409976,0.417514,0.20713,0.205784,0.597189,0.594094,0.0,0.014657,0.172224,0.0,0.0,0.827776
20260313_074638,2181,2181,0.435122,0.360715,0.36411,0.228052,0.228071,0.650447,0.650093,29.0,0.0,0.080932,0.0,0.0,0.919068
