n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Brandon Miller OVER PRA 24.5 (GOBLIN) [id:10644465] | Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Jalen Green OVER RA 7.5 (DEMON) [id:10649352],0.06736560946860295,20.0,1.0,20.0,1.347312189372059,20.0,atlas,0.588604604936824,0.042605211403289364,Brandon Miller OVER PRA 24.5 (GOBLIN) [id:10644465] | Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Jalen Green OVER RA 7.5 (DEMON) [id:10649352],0.0,0.0,0.0,0.0,0.0,0,0.0,1.347312189372059,"['brandon miller', 'jaime jaquez', ""kel'el ware"", 'tristan silva', 'jalen green']",1,Brandon Miller OVER PRA 24.5 (GOBLIN) [id:10644465],Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499],Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],Jalen Green OVER RA 7.5 (DEMON) [id:10649352],0,
5,Rudy Gobert OVER REB 10.5 (GOBLIN) [id:10649560] | Coby White OVER PRA 17.5 (GOBLIN) [id:10645581] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | Davion Mitchell OVER PR 11.5 (DEMON) [id:10650526],0.06478357144269445,20.0,1.0,20.0,1.2956714288538889,20.0,atlas,0.5831263629627216,0.04200767425801369,Rudy Gobert OVER REB 10.5 (GOBLIN) [id:10649560] | Coby White OVER PRA 17.5 (GOBLIN) [id:10645581] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | Davion Mitchell OVER PR 11.5 (DEMON) [id:10650526],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2956714288538889,"['rudy gobert', 'coby white', 'tristan silva', ""kel'el ware"", 'davion mitchell']",1,Rudy Gobert OVER REB 10.5 (GOBLIN) [id:10649560],Coby White OVER PRA 17.5 (GOBLIN) [id:10645581],Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551],Davion Mitchell OVER PR 11.5 (DEMON) [id:10650526],0,
5,Norman Powell OVER PTS 17.5 (GOBLIN) [id:10644555] | Tyler Herro OVER PRA 24.5 (GOBLIN) [id:10644593] | De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Coby White OVER PTS 17.5 (DEMON) [id:10644470],0.06451181760990725,20.0,1.0,20.0,1.290236352198145,20.0,atlas,0.5816763825176672,0.036286328546659516,Norman Powell OVER PTS 17.5 (GOBLIN) [id:10644555] | Tyler Herro OVER PRA 24.5 (GOBLIN) [id:10644593] | De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Coby White OVER PTS 17.5 (DEMON) [id:10644470],0.0,0.0,0.0,0.0,0.0,0,0.0,1.290236352198145,"['norman powell', 'tyler herro', ""de'aaron fox"", 'tristan silva', 'coby white']",1,Norman Powell OVER PTS 17.5 (GOBLIN) [id:10644555],Tyler Herro OVER PRA 24.5 (GOBLIN) [id:10644593],De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],Coby White OVER PTS 17.5 (DEMON) [id:10644470],0,
5,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | Norman Powell OVER PA 19.5 (GOBLIN) [id:10644556] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.06399331876226838,20.0,1.0,20.0,1.2798663752453676,20.0,atlas,0.580566902764493,0.048118741215818564,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | Norman Powell OVER PA 19.5 (GOBLIN) [id:10644556] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2798663752453676,"['kon knueppel', 'norman powell', 'tristan silva', 'jared mccain', 'coby white']",1,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514],Norman Powell OVER PA 19.5 (GOBLIN) [id:10644556],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007],Coby White OVER PRA 20.5 (DEMON) [id:10643856],0,
5,Jalen Green OVER REB 2.5 (GOBLIN) [id:10652818] | Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Grayson Allen OVER PTS 16.5 (DEMON) [id:10649762],0.061690935146779265,20.0,1.0,20.0,1.2338187029355854,20.0,atlas,0.5782580777138314,0.036104625051813846,Jalen Green OVER REB 2.5 (GOBLIN) [id:10652818] | Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Grayson Allen OVER PTS 16.5 (DEMON) [id:10649762],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2338187029355854,"['jalen green', 'kon knueppel', ""de'aaron fox"", 'tristan silva', 'grayson allen']",1,Jalen Green OVER REB 2.5 (GOBLIN) [id:10652818],Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514],De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],Grayson Allen OVER PTS 16.5 (DEMON) [id:10649762],0,
5,Jaime Jaquez OVER PRA 19.5 (GOBLIN) [id:10644506] | LaMelo Ball OVER PRA 24.5 (GOBLIN) [id:10644529] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030] | Coby White OVER PTS 17.5 (DEMON) [id:10644470],0.055181955831680396,20.0,1.0,20.0,1.103639116633608,20.0,atlas,0.5613444860974997,0.04275094276294611,Jaime Jaquez OVER PRA 19.5 (GOBLIN) [id:10644506] | LaMelo Ball OVER PRA 24.5 (GOBLIN) [id:10644529] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030] | Coby White OVER PTS 17.5 (DEMON) [id:10644470],0.0,0.0,0.0,0.0,0.0,0,0.0,1.103639116633608,"['jaime jaquez', 'lamelo ball', 'trendon watford', 'shai gilgeous-alexander', 'coby white']",1,Jaime Jaquez OVER PRA 19.5 (GOBLIN) [id:10644506],LaMelo Ball OVER PRA 24.5 (GOBLIN) [id:10644529],Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231],Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030],Coby White OVER PTS 17.5 (DEMON) [id:10644470],0,
5,Devin Booker OVER PRA 33.5 (GOBLIN) [id:10649197] | Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10644137] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Shai Gilgeous-Alexander UNDER PA 39 (STANDARD) [id:10645028] | Coby White OVER PR 19.5 (DEMON) [id:10644475],0.054769346880698705,20.0,1.0,20.0,1.095386937613974,20.0,atlas,0.5606749249589986,0.04098351041738951,Devin Booker OVER PRA 33.5 (GOBLIN) [id:10649197] | Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10644137] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Shai Gilgeous-Alexander UNDER PA 39 (STANDARD) [id:10645028] | Coby White OVER PR 19.5 (DEMON) [id:10644475],0.0,0.0,0.0,0.0,0.0,0,0.0,1.095386937613974,"['devin booker', 'ryan kalkbrenner', 'moussa diabaté', 'shai gilgeous-alexander', 'coby white']",1,Devin Booker OVER PRA 33.5 (GOBLIN) [id:10649197],Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10644137],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],Shai Gilgeous-Alexander UNDER PA 39 (STANDARD) [id:10645028],Coby White OVER PR 19.5 (DEMON) [id:10644475],0,
5,Norman Powell OVER PA 19.5 (GOBLIN) [id:10644556] | Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Shai Gilgeous-Alexander UNDER PR 36 (STANDARD) [id:10645029] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055] | Grant Williams OVER PRA 16.5 (DEMON) [id:10645598],0.054640562304604665,20.0,1.0,20.0,1.0928112460920933,20.0,atlas,0.56086704141499,0.04287257212316693,Norman Powell OVER PA 19.5 (GOBLIN) [id:10644556] | Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Shai Gilgeous-Alexander UNDER PR 36 (STANDARD) [id:10645029] | Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055] | Grant Williams OVER PRA 16.5 (DEMON) [id:10645598],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0928112460920933,"['norman powell', 'jaime jaquez', 'shai gilgeous-alexander', 'moussa diabaté', 'grant williams']",1,Norman Powell OVER PA 19.5 (GOBLIN) [id:10644556],Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499],Shai Gilgeous-Alexander UNDER PR 36 (STANDARD) [id:10645029],Moussa Diabaté UNDER PR 19 (STANDARD) [id:10644055],Grant Williams OVER PRA 16.5 (DEMON) [id:10645598],0,
5,LaMelo Ball OVER PRA 28.5 (GOBLIN) [id:10645623] | Collin Gillespie OVER PRA 17.5 (GOBLIN) [id:10649150] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Nikola Jokić UNDER AST 10.5 (STANDARD) [id:10644401] | Norman Powell OVER PA 24.5 (DEMON) [id:10652728],0.053491946371547944,20.0,1.0,20.0,1.069838927430959,20.0,atlas,0.558210675002405,0.04887254749926735,LaMelo Ball OVER PRA 28.5 (GOBLIN) [id:10645623] | Collin Gillespie OVER PRA 17.5 (GOBLIN) [id:10649150] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Nikola Jokić UNDER AST 10.5 (STANDARD) [id:10644401] | Norman Powell OVER PA 24.5 (DEMON) [id:10652728],0.0,0.0,0.0,0.0,0.0,0,0.0,1.069838927430959,"['lamelo ball', 'collin gillespie', ""kel'el ware"", 'nikola jokić', 'norman powell']",1,LaMelo Ball OVER PRA 28.5 (GOBLIN) [id:10645623],Collin Gillespie OVER PRA 17.5 (GOBLIN) [id:10649150],Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],Nikola Jokić UNDER AST 10.5 (STANDARD) [id:10644401],Norman Powell OVER PA 24.5 (DEMON) [id:10652728],0,
5,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10643884] | Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007] | Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500] | Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0.05291618557100809,20.0,1.0,20.0,1.0583237114201618,20.0,atlas,0.5566390057183647,0.02877882978472195,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583] | Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10643884] | Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007] | Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500] | Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0583237114201618,"['ryan kalkbrenner', 'davion mitchell', 'jared mccain', ""kel'el ware"", 'jordan goodwin']",1,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10644583],Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10643884],Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007],Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500],Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0,
5,Naz Reid OVER PRA 19.5 (GOBLIN) [id:10652226] | Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | De'Aaron Fox UNDER PA 25.5 (STANDARD) [id:10649987] | Jaime Jaquez OVER PRA 27.5 (DEMON) [id:10645607],0.052832273059282654,20.0,1.0,20.0,1.056645461185653,20.0,atlas,0.5567384176241303,0.04858244737556426,Naz Reid OVER PRA 19.5 (GOBLIN) [id:10652226] | Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | De'Aaron Fox UNDER PA 25.5 (STANDARD) [id:10649987] | Jaime Jaquez OVER PRA 27.5 (DEMON) [id:10645607],0.0,0.0,0.0,0.0,0.0,0,0.0,1.056645461185653,"['naz reid', 'miles bridges', 'moussa diabaté', ""de'aaron fox"", 'jaime jaquez']",1,Naz Reid OVER PRA 19.5 (GOBLIN) [id:10652226],Miles Bridges OVER PRA 19.5 (GOBLIN) [id:10644541],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],De'Aaron Fox UNDER PA 25.5 (STANDARD) [id:10649987],Jaime Jaquez OVER PRA 27.5 (DEMON) [id:10645607],0,
