player,team,stat,line,direction,spread,tier,projection_id,more_allowed,less_allowed,opp,home,game_date,minutes_s,p,p_close,fragility,fragility_abs,is_star,q_blowout,min_mean,min_std,rate_mean,rate_std,games_used,role_ctx_mult,role_ctx_reason,rate_mean_ctx,data_health_flag,p_adj,rpd_active,rpd_last10_hitrate,rpd_z,rpd_delta_p,telemetry_k_shrink,telemetry_under_penalty,telemetry_mult,hit_prob,payout_modifier,ev_mult,external_prior_score,external_prior_n,external_prior_sources,external_prior_epsilon
Ace Bailey,UTA,PA,19.5,OVER,,STANDARD,9870730|Ace Bailey|PA|STANDARD|19.5|OVER,1,1,BKN,1,2026-01-30,1.0,0.20965806838632273,0.20505898820235952,0.0,0.0,False,0.0,29.35,8.23574526075206,0.4776540827803465,0.1813980024647787,20,1.0,stat_not_core,0.4776540827803465,OK,0.2967606478704259,0,0.4,,0.0,0.7,0.9,1.0,0.2967606478704259,1.0,0.2967606478704259,0.0,0,rotowire,0.03
Ace Bailey,UTA,PA,19.5,UNDER,,STANDARD,9870730|Ace Bailey|PA|STANDARD|19.5|UNDER,1,1,BKN,1,2026-01-30,1.0,0.7903419316136773,0.7949410117976404,0.0057854357942396534,0.004599080183963156,False,0.0,29.35,8.23574526075206,0.4776540827803465,0.1813980024647787,20,1.0,stat_not_core,0.4776540827803465,OK,0.6479154169166167,0,0.6,,0.0,0.7,0.9,1.0,0.6479154169166167,1.0,0.6479154169166167,-0.44090001348028623,1,rotowire,0.03
Vince Williams,UTA,PR,14.5,OVER,,STANDARD,9870782|Vince Williams|PR|STANDARD|14.5|OVER,1,1,BKN,1,2026-01-30,1.0,0.2600479904019196,0.2524495100979804,0.0,0.0,False,0.0,19.1,4.624932431938871,0.5583701063429325,0.2805860307858903,20,1.0,stat_not_core,0.5583701063429325,OK,0.33203359328134374,0,,,0.0,0.7,0.9,1.0,0.33203359328134374,1.0,0.33203359328134374,0.0,0,,0.03
Vince Williams,UTA,PR,14.5,UNDER,,STANDARD,9870782|Vince Williams|PR|STANDARD|14.5|UNDER,1,1,BKN,1,2026-01-30,1.0,0.7399520095980804,0.7475504899020196,0.010164504480406525,0.00759848030393917,False,0.0,19.1,4.624932431938871,0.5583701063429325,0.2805860307858903,20,1.0,stat_not_core,0.5583701063429325,OK,0.6161697660467906,0,,,0.0,0.7,0.9,1.0,0.6161697660467906,1.0,0.6161697660467906,0.0,0,,0.03
Kyle Filipowski,UTA,PTS,15.5,OVER,,STANDARD,9870766|Kyle Filipowski|PTS|STANDARD|15.5|OVER,1,1,BKN,1,2026-01-30,0.6,0.1858628274345131,0.1814637072585483,0.0,0.0,False,0.0,22.45,7.710220489713638,0.4795801067525023,0.15759151634340027,20,1.0,no_team_outs,0.4795801067525023,OK,0.2801039792041592,0,0.1,,0.0,0.7,0.9,1.0,0.2801039792041592,1.0,0.2801039792041592,0.0,0,rotowire,0.03
Kyle Filipowski,UTA,PTS,15.5,UNDER,,STANDARD,9870766|Kyle Filipowski|PTS|STANDARD|15.5|UNDER,1,1,BKN,1,2026-01-30,0.6,0.8141371725654869,0.8185362927414517,0.005374374007572945,0.004399120175964777,False,0.0,22.45,7.710220489713638,0.4795801067525023,0.15759151634340027,20,1.0,no_team_outs,0.4795801067525023,OK,0.6956665510964153,1,0.9,1.2720404006544301,0.046800189114512114,0.7,0.9,1.0,0.6956665510964153,1.0,0.6956665510964153,-0.720849347799489,1,rotowire,0.03
Toumani Camara,POR,PA,15.5,OVER,,GOBLIN,9886253|Toumani Camara|PA|GOBLIN|15.5|OVER,1,1,,0,2026-01-30,1.0,0.5281943611277744,0.51999600079984,0.0,0.0,True,0.0,33.45,4.443815927780987,0.4786715853677995,0.21425983243894084,20,1.0,stat_not_core,0.4786715853677995,OK,0.5197360527894421,0,0.6,,0.0,0.7,0.9,1.0,0.5197360527894421,0.9,0.46776244751049795,0.12542243802863176,1,rotowire,0.03
Cody Williams,UTA,PA,9.5,OVER,,STANDARD,9883121|Cody Williams|PA|STANDARD|9.5|OVER,1,1,BKN,1,2026-01-30,1.0,0.45980803839232154,0.46040791841631673,0.0013029315960911853,0.0005998800239951918,False,0.0,25.95,6.666895829394666,0.3592284353042924,0.15960225434458458,20,1.0,stat_not_core,0.3592284353042924,OK,0.4718656268746251,0,0.6,,0.0,0.7,0.9,1.0,0.4718656268746251,1.0,0.4718656268746251,0.6358285455971646,1,rotowire,0.03
Cody Williams,UTA,PA,9.5,UNDER,,STANDARD,9883121|Cody Williams|PA|STANDARD|9.5|UNDER,1,1,BKN,1,2026-01-30,1.0,0.5401919616076785,0.5395920815836832,0.0,0.0,False,0.0,25.95,6.666895829394666,0.3592284353042924,0.15960225434458458,20,1.0,stat_not_core,0.3592284353042924,OK,0.4903209358128374,0,0.4,,0.0,0.7,0.9,1.0,0.4903209358128374,1.0,0.4903209358128374,0.0,0,rotowire,0.03
Jerami Grant,POR,PA,20.5,OVER,,GOBLIN,9871895|Jerami Grant|PA|GOBLIN|20.5|OVER,1,1,,0,2026-01-30,1.0,0.4966006798640272,0.488002399520096,0.0,0.0,False,0.0,29.05,4.914010581999189,0.709078712540289,0.22624775341458586,20,1.0,stat_not_core,0.709078712540289,OK,0.497620475904819,0,0.5,,0.0,0.7,0.9,1.0,0.497620475904819,0.9,0.4478584283143371,0.0,0,rotowire,0.03
Jerami Grant,POR,PA,21.5,OVER,,GOBLIN,9881652|Jerami Grant|PA|GOBLIN|21.5|OVER,1,1,,0,2026-01-30,1.0,0.4390121975604879,0.4410117976404719,0.004534119247336094,0.001999600079983954,False,0.0,29.05,4.914010581999189,0.709078712540289,0.22624775341458586,20,1.0,stat_not_core,0.709078712540289,OK,0.4573085382923415,0,0.5,,0.0,0.7,0.9,1.0,0.4573085382923415,0.9,0.4115776844631074,0.0,0,rotowire,0.03
Brice Sensabaugh,UTA,PA,16.5,OVER,,GOBLIN,9886339|Brice Sensabaugh|PA|GOBLIN|16.5|OVER,1,1,BKN,1,2026-01-30,1.0,0.5721855628874225,0.5675864827034593,0.0,0.0,False,0.0,26.75,4.526311964502668,0.6827436338152956,0.30083718212264693,20,1.0,stat_not_core,0.6827436338152956,OK,0.5505298940211958,0,0.7,,0.0,0.7,0.9,1.0,0.5505298940211958,0.9,0.49547690461907623,0.0,0,,0.03
Toumani Camara,POR,PRA,17.5,OVER,,GOBLIN,9870614|Toumani Camara|PRA|GOBLIN|17.5|OVER,1,1,,0,2026-01-30,1.0,0.6941611677664468,0.6881623675264947,0.0,0.0,True,0.0,33.45,4.443815927780987,0.6443692727696078,0.22005924604550287,20,1.0,stat_not_core,0.6443692727696078,OK,0.6359128174365127,0,0.7,,0.0,0.7,0.9,1.0,0.6359128174365127,0.9,0.5723215356928615,0.869873169066237,1,rotowire,0.03
Toumani Camara,POR,PRA,18.5,OVER,,GOBLIN,9871308|Toumani Camara|PRA|GOBLIN|18.5|OVER,1,1,,0,2026-01-30,1.0,0.649370125974805,0.6395720855828835,0.0,0.0,True,0.0,33.45,4.443815927780987,0.6443692727696078,0.22005924604550287,20,1.0,stat_not_core,0.6443692727696078,OK,0.6045590881823635,0,0.7,,0.0,0.7,0.9,1.0,0.6045590881823635,0.9,0.5441031793641271,0.7612684036758841,1,rotowire,0.03
Toumani Camara,POR,PRA,27.5,OVER,,DEMON,9870613|Toumani Camara|PRA|DEMON|27.5|OVER,1,1,,0,2026-01-30,1.0,0.23745250949810037,0.22725454909018197,0.0,0.0,True,0.0,33.45,4.443815927780987,0.6443692727696078,0.22005924604550287,20,1.0,stat_not_core,0.6443692727696078,OK,0.30956808638272343,0,0.3,,0.0,0.7,0.9,1.0,0.30956808638272343,1.1,0.3405248950209958,0.0,0,rotowire,0.03
Brice Sensabaugh,UTA,PA,14.5,OVER,,GOBLIN,9883108|Brice Sensabaugh|PA|GOBLIN|14.5|OVER,1,1,BKN,1,2026-01-30,1.0,0.6623675264947011,0.6551689662067587,0.0,0.0,False,0.0,26.75,4.526311964502668,0.6827436338152956,0.30083718212264693,20,1.0,stat_not_core,0.6827436338152956,OK,0.6334508300949258,1,0.8,0.6463467455034052,0.028276516498050075,0.7,0.9,1.0,0.6334508300949258,0.9,0.5701057470854332,0.0,0,,0.03
LeBron James,LAL,PA,24.5,OVER,,GOBLIN,9869595|LeBron James|PA|GOBLIN|24.5|OVER,1,1,,0,2026-01-30,1.0,0.8259348130373925,0.8205358928214357,0.0,0.0,True,0.0,33.55,2.5391927851189244,0.9038373717969306,0.1756187700901084,20,1.0,stat_not_core,0.9038373717969306,OK,0.7389471420440247,1,0.8,0.5562208360088351,0.015418247025499987,0.7,0.9,1.0,0.7389471420440247,0.9,0.6650524278396223,0.4927351488002273,1,rotowire,0.03
Kyle Filipowski,UTA,PRA,34.5,OVER,,DEMON,9871827|Kyle Filipowski|PRA|DEMON|34.5|OVER,1,1,BKN,1,2026-01-30,1.0,0.07828434313137372,0.07508498300339932,0.0,0.0,False,0.0,22.45,7.710220489713638,0.9030194290034143,0.24671212039699045,20,1.0,stat_not_core,0.9030194290034143,OK,0.20260707858428317,0,0.0,,0.0,0.7,0.9,1.0,0.20260707858428317,1.1,0.22286778644271152,0.0,0,rotowire,0.03
Kyle Filipowski,UTA,PRA,39.5,OVER,,DEMON,9871828|Kyle Filipowski|PRA|DEMON|39.5|OVER,1,1,BKN,1,2026-01-30,1.0,0.034493101379724056,0.03149370125974805,0.0,0.0,False,0.0,22.45,7.710220489713638,0.9030194290034143,0.24671212039699045,20,1.0,stat_not_core,0.9030194290034143,OK,0.1731793641271746,0,0.0,,0.0,0.7,0.9,1.0,0.1731793641271746,1.1,0.19049730053989208,0.0,0,rotowire,0.03
Kyle Filipowski,UTA,REB,11.5,OVER,,DEMON,9870771|Kyle Filipowski|REB|DEMON|11.5|OVER,1,1,BKN,1,2026-01-30,0.6,0.16646670665866828,0.15946810637872424,0.0,0.0,False,0.0,22.45,7.710220489713638,0.33786231698544533,0.12364925309860024,20,1.0,no_team_outs,0.33786231698544533,OK,0.2665266946610678,0,0.1,,0.0,0.7,0.9,1.0,0.2665266946610678,1.1,0.2931793641271746,0.0,0,,0.03
Kyle Filipowski,UTA,PTS,11.5,OVER,,GOBLIN,9871588|Kyle Filipowski|PTS|GOBLIN|11.5|OVER,1,1,BKN,1,2026-01-30,0.6,0.4050189962007599,0.41621675664867025,0.026903675234206004,0.011197760447910377,False,0.0,22.45,7.710220489713638,0.4795801067525023,0.15759151634340027,20,1.0,no_team_outs,0.4795801067525023,OK,0.4335132973405319,0,0.4,,0.0,0.7,0.9,1.0,0.4335132973405319,0.9,0.3901619676064787,0.4002297818925705,1,rotowire,0.03
