slip,high_confidence,hit_prob,payout_mult,ev,player,team,opp,stat,direction,tier,line,p_cal
5-leg,True,0.1571,2.145,0.3368,Ajay Mitchell,OKC,LAL,FG3M,OVER,GOBLIN,0.5,0.8233
5-leg,True,0.1571,2.145,0.3368,Alex Caruso,OKC,LAL,AST,OVER,GOBLIN,1.5,0.7084
5-leg,True,0.1571,2.145,0.3368,Tobias Harris,DET,CLE,PTS,OVER,STANDARD,17.5,0.7692
5-leg,True,0.1571,2.145,0.3368,Rui Hachimura,LAL,OKC,PA,OVER,STANDARD,13.5,0.7773
5-leg,True,0.1571,2.145,0.3368,Anthony Edwards,MIN,SAS,REB,OVER,DEMON,4.5,0.5485
4-leg,True,0.3388,1.897,0.6428,Andre Drummond,PHI,NYK,RA,OVER,GOBLIN,2.5,0.708
4-leg,True,0.3388,1.897,0.6428,Ausar Thompson,DET,CLE,AST,OVER,GOBLIN,1.5,0.7904
4-leg,True,0.3388,1.897,0.6428,Isaiah Joe,OKC,LAL,PTS,OVER,STANDARD,7.0,0.7846
4-leg,True,0.3388,1.897,0.6428,Marcus Smart,LAL,OKC,RA,OVER,STANDARD,6.0,0.8299
3-leg,True,0.5577,1.931,1.0769,Austin Reaves,LAL,OKC,AST,OVER,GOBLIN,3.5,0.7618
3-leg,True,0.5577,1.931,1.0769,Jaylin Williams,OKC,LAL,PA,OVER,STANDARD,5.5,0.7568
3-leg,True,0.5577,1.931,1.0769,Jalen Duren,DET,CLE,PTS,UNDER,STANDARD,16.5,0.7202
