date,time,generated_at,run_id,commit,slip_type,n_legs,slip_hit_prob,slip_ev_mult,slip_payout_mult,slip_avg_fragility,player,dir,stat,line,tier,prop_id
2026-04-29,17:46:12,2026-04-29T17:45:51.248042-05:00,20260429_174549,a00e3fb9ba,system,3,0.3061155080214615,1.7595083637341666,6.0,0.0063083659178394,Austin Reaves,OVER,FG3M,0.5,GOBLIN,11709420
2026-04-29,17:46:12,2026-04-29T17:45:51.248042-05:00,20260429_174549,a00e3fb9ba,system,3,0.3061155080214615,1.7595083637341666,6.0,0.0063083659178394,Sam Merrill,OVER,PRA,9.5,STANDARD,11717022
2026-04-29,17:46:12,2026-04-29T17:45:51.248042-05:00,20260429_174549,a00e3fb9ba,system,3,0.3061155080214615,1.7595083637341666,6.0,0.0063083659178394,Wendell Carter,OVER,PTS,10.5,STANDARD,11724648
2026-04-29,17:46:12,2026-04-29T17:45:51.248042-05:00,20260429_174549,a00e3fb9ba,system,4,0.2375200874210851,1.5489703431404835,10.0,0.0048878111732726,Desmond Bane,OVER,REB,2.5,GOBLIN,11724469
2026-04-29,17:46:12,2026-04-29T17:45:51.248042-05:00,20260429_174549,a00e3fb9ba,system,4,0.2375200874210851,1.5489703431404835,10.0,0.0048878111732726,Austin Reaves,OVER,FG3M,0.5,GOBLIN,11709420
2026-04-29,17:46:12,2026-04-29T17:45:51.248042-05:00,20260429_174549,a00e3fb9ba,system,4,0.2375200874210851,1.5489703431404835,10.0,0.0048878111732726,Sam Merrill,OVER,PRA,9.5,STANDARD,11717022
2026-04-29,17:46:12,2026-04-29T17:45:51.248042-05:00,20260429_174549,a00e3fb9ba,system,4,0.2375200874210851,1.5489703431404835,10.0,0.0048878111732726,Duncan Robinson,UNDER,PTS,10.5,STANDARD,11724763
2026-04-29,17:46:12,2026-04-29T17:45:51.248042-05:00,20260429_174549,a00e3fb9ba,system,5,0.1947195161153132,1.6673736346891015,20.0,0.0035917486185532,Sandro Mamukelashvili,OVER,RA,3.5,GOBLIN,11767877
2026-04-29,17:46:12,2026-04-29T17:45:51.248042-05:00,20260429_174549,a00e3fb9ba,system,5,0.1947195161153132,1.6673736346891015,20.0,0.0035917486185532,Ja'Kobe Walter,OVER,FG3M,0.5,GOBLIN,11710103
2026-04-29,17:46:12,2026-04-29T17:45:51.248042-05:00,20260429_174549,a00e3fb9ba,system,5,0.1947195161153132,1.6673736346891015,20.0,0.0035917486185532,Austin Reaves,OVER,REB,1.5,GOBLIN,11709788
2026-04-29,17:46:12,2026-04-29T17:45:51.248042-05:00,20260429_174549,a00e3fb9ba,system,5,0.1947195161153132,1.6673736346891015,20.0,0.0035917486185532,Wendell Carter,OVER,PTS,10.5,STANDARD,11724648
2026-04-29,17:46:12,2026-04-29T17:45:51.248042-05:00,20260429_174549,a00e3fb9ba,system,5,0.1947195161153132,1.6673736346891015,20.0,0.0035917486185532,Sam Merrill,OVER,PR,9.0,STANDARD,11715075
2026-04-29,17:46:12,2026-04-29T17:45:51.248042-05:00,20260429_174549,a00e3fb9ba,windfall,3,0.2341625204628581,0.7049170740152136,6.0,0.0116663492777983,Austin Reaves,OVER,REB,1.5,GOBLIN,11709788
2026-04-29,17:46:12,2026-04-29T17:45:51.248042-05:00,20260429_174549,a00e3fb9ba,windfall,3,0.2341625204628581,0.7049170740152136,6.0,0.0116663492777983,Cade Cunningham,UNDER,RA,15.0,STANDARD,11724439
2026-04-29,17:46:12,2026-04-29T17:45:51.248042-05:00,20260429_174549,a00e3fb9ba,windfall,3,0.2341625204628581,0.7049170740152136,6.0,0.0116663492777983,Javonte Green,OVER,AST,0.5,DEMON,11737406
