n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_min_std,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,OG Anunoby OVER FG3M 1.5 (GOBLIN) [id:11878952] | Mike Conley OVER PRA 11 (STANDARD) [id:11883548] | Julius Randle UNDER PRA 29 (STANDARD) [id:11881498],0.48282279741050305,6.0,0.6803820090956143,4.082292054573686,1.971023669635937,6.0,pp_kernel,0.7873111086970375,0.007770733990568691,OG Anunoby OVER FG3M 1.5 (GOBLIN) [id:11878952] | Mike Conley OVER PRA 11 (STANDARD) [id:11883548] | Julius Randle UNDER PRA 29 (STANDARD) [id:11881498],0.005,0.0,0.0,0.0,0.0,0.005,0.0,2,0.6666666666666666,2.266023669635937,"['og anunoby', 'mike conley', 'julius randle']",1.971023669635937,1,OG Anunoby OVER FG3M 1.5 (GOBLIN) [id:11878952],Mike Conley OVER PRA 11 (STANDARD) [id:11883548],Julius Randle UNDER PRA 29 (STANDARD) [id:11881498],2,Mike Conley | Julius Randle
3,Mike Conley OVER PTS 2.5 (GOBLIN) [id:11882721] | Jose Alvarado UNDER FG3M 0.5 (STANDARD) [id:11893277] | Ayo Dosunmu OVER PTS 11.5 (STANDARD) [id:11908809],0.48586635102218356,6.0,0.6757219570613464,4.0543317423680785,1.9698633694977898,6.0,pp_kernel,0.7887986299005858,0.01526775694724448,Mike Conley OVER PTS 2.5 (GOBLIN) [id:11882721] | Jose Alvarado UNDER FG3M 0.5 (STANDARD) [id:11893277] | Ayo Dosunmu OVER PTS 11.5 (STANDARD) [id:11908809],0.005,0.0,0.0,0.0,0.0,0.005,0.0,2,0.6666666666666666,2.2648633694977898,"['mike conley', 'jose alvarado', 'ayo dosunmu']",1.9698633694977898,1,Mike Conley OVER PTS 2.5 (GOBLIN) [id:11882721],Jose Alvarado UNDER FG3M 0.5 (STANDARD) [id:11893277],Ayo Dosunmu OVER PTS 11.5 (STANDARD) [id:11908809],2,Mike Conley | Ayo Dosunmu
3,Mike Conley OVER PTS 2.5 (GOBLIN) [id:11882721] | De'Aaron Fox UNDER PA 23.5 (STANDARD) [id:11881351] | Ayo Dosunmu OVER PTS 11.5 (STANDARD) [id:11908809],0.4868209408593781,6.0,0.6742741528163956,4.0456449168983735,1.9695046648274268,6.0,pp_kernel,0.789280463264884,0.035413774049712236,Mike Conley OVER PTS 2.5 (GOBLIN) [id:11882721] | De'Aaron Fox UNDER PA 23.5 (STANDARD) [id:11881351] | Ayo Dosunmu OVER PTS 11.5 (STANDARD) [id:11908809],0.005,0.0,0.0,0.0,0.0,0.005,0.0,2,0.6666666666666666,2.264504664827427,"['mike conley', ""de'aaron fox"", 'ayo dosunmu']",1.9695046648274268,1,Mike Conley OVER PTS 2.5 (GOBLIN) [id:11882721],De'Aaron Fox UNDER PA 23.5 (STANDARD) [id:11881351],Ayo Dosunmu OVER PTS 11.5 (STANDARD) [id:11908809],2,Mike Conley | Ayo Dosunmu
3,Mike Conley OVER PTS 1.5 (GOBLIN) [id:11882722] | Ayo Dosunmu OVER PTS 11.5 (STANDARD) [id:11908809] | De'Aaron Fox UNDER AST 6 (STANDARD) [id:11887222],0.477908025630843,6.0,0.6855195873300703,4.1131175239804225,1.9656918750731052,6.0,pp_kernel,0.7845933106461302,0.02131170916130148,Mike Conley OVER PTS 1.5 (GOBLIN) [id:11882722] | Ayo Dosunmu OVER PTS 11.5 (STANDARD) [id:11908809] | De'Aaron Fox UNDER AST 6 (STANDARD) [id:11887222],0.005,0.0,0.0,0.0,0.0,0.005,0.0,2,0.6666666666666666,2.260691875073105,"['mike conley', 'ayo dosunmu', ""de'aaron fox""]",1.9656918750731052,1,Mike Conley OVER PTS 1.5 (GOBLIN) [id:11882722],Ayo Dosunmu OVER PTS 11.5 (STANDARD) [id:11908809],De'Aaron Fox UNDER AST 6 (STANDARD) [id:11887222],2,Mike Conley | Ayo Dosunmu
3,Joel Embiid OVER REB 5.5 (GOBLIN) [id:11881294] | OG Anunoby OVER PTS 17 (STANDARD) [id:11878958] | Mikal Bridges UNDER RA 5.5 (STANDARD) [id:11879159],0.4693667846194581,6.0,0.7099540151755764,4.259724091053458,1.9993729999838055,6.0,pp_kernel,0.7809995581160641,0.09078088634278135,Joel Embiid OVER REB 5.5 (GOBLIN) [id:11881294] | OG Anunoby OVER PTS 17 (STANDARD) [id:11878958] | Mikal Bridges UNDER RA 5.5 (STANDARD) [id:11879159],0.005,0.0,0.0,0.0,0.0,0.005,0.0,0,0.0,1.9943729999838056,"['joel embiid', 'og anunoby', 'mikal bridges']",1.9993729999838055,1,Joel Embiid OVER REB 5.5 (GOBLIN) [id:11881294],OG Anunoby OVER PTS 17 (STANDARD) [id:11878958],Mikal Bridges UNDER RA 5.5 (STANDARD) [id:11879159],0,
3,Joel Embiid OVER REB 5.5 (GOBLIN) [id:11881294] | OG Anunoby OVER PTS 17 (STANDARD) [id:11878958] | Paul George UNDER REB 5 (STANDARD) [id:11878971],0.47334476411326815,6.0,0.7036244496679731,4.221746698007839,1.998341694914489,6.0,pp_kernel,0.7830491754644875,0.09581391875738116,Joel Embiid OVER REB 5.5 (GOBLIN) [id:11881294] | OG Anunoby OVER PTS 17 (STANDARD) [id:11878958] | Paul George UNDER REB 5 (STANDARD) [id:11878971],0.005,0.0,0.0,0.0,0.0,0.005,0.0,0,0.0,1.993341694914489,"['joel embiid', 'og anunoby', 'paul george']",1.998341694914489,1,Joel Embiid OVER REB 5.5 (GOBLIN) [id:11881294],OG Anunoby OVER PTS 17 (STANDARD) [id:11878958],Paul George UNDER REB 5 (STANDARD) [id:11878971],0,
3,Joel Embiid OVER REB 6.5 (GOBLIN) [id:11879074] | Jose Alvarado OVER PRA 6 (STANDARD) [id:11917560] | De'Aaron Fox UNDER PRA 27.5 (STANDARD) [id:11881748],0.47685312427705834,6.0,0.6941470543300382,4.164882325980229,1.986037149389974,6.0,pp_kernel,0.7845204940846003,0.0443250445266463,Joel Embiid OVER REB 6.5 (GOBLIN) [id:11879074] | Jose Alvarado OVER PRA 6 (STANDARD) [id:11917560] | De'Aaron Fox UNDER PRA 27.5 (STANDARD) [id:11881748],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.986037149389974,"['joel embiid', 'jose alvarado', ""de'aaron fox""]",1.986037149389974,1,Joel Embiid OVER REB 6.5 (GOBLIN) [id:11879074],Jose Alvarado OVER PRA 6 (STANDARD) [id:11917560],De'Aaron Fox UNDER PRA 27.5 (STANDARD) [id:11881748],0,
3,Joel Embiid OVER REB 5.5 (GOBLIN) [id:11881294] | Kelly Oubre OVER RA 7 (STANDARD) [id:11918149] | Mitchell Robinson UNDER PTS 4.5 (STANDARD) [id:11878948],0.40926388842141836,6.0,0.8089944490384018,4.853966694230411,1.9865532835487958,6.0,pp_kernel,0.7491809168233026,0.03890277486800869,Joel Embiid OVER REB 5.5 (GOBLIN) [id:11881294] | Kelly Oubre OVER RA 7 (STANDARD) [id:11918149] | Mitchell Robinson UNDER PTS 4.5 (STANDARD) [id:11878948],0.005,0.0,0.0,0.0,0.0,0.005,0.0,0,0.0,1.981553283548796,"['joel embiid', 'kelly oubre', 'mitchell robinson']",1.9865532835487958,1,Joel Embiid OVER REB 5.5 (GOBLIN) [id:11881294],Kelly Oubre OVER RA 7 (STANDARD) [id:11918149],Mitchell Robinson UNDER PTS 4.5 (STANDARD) [id:11878948],0,
3,Joel Embiid OVER REB 5.5 (GOBLIN) [id:11881294] | Karl-Anthony Towns OVER PRA 34.5 (STANDARD) [id:11879458] | Tyrese Maxey UNDER PRA 34.5 (STANDARD) [id:11879225],0.5086045855145356,6.0,0.6494696737581459,3.896818042548875,1.9819395253561345,6.0,pp_kernel,0.8008035992246162,0.08583987702826963,Joel Embiid OVER REB 5.5 (GOBLIN) [id:11881294] | Karl-Anthony Towns OVER PRA 34.5 (STANDARD) [id:11879458] | Tyrese Maxey UNDER PRA 34.5 (STANDARD) [id:11879225],0.005,0.0,0.0,0.0,0.0,0.005,0.0,0,0.0,1.9769395253561346,"['joel embiid', 'karl-anthony towns', 'tyrese maxey']",1.9819395253561345,1,Joel Embiid OVER REB 5.5 (GOBLIN) [id:11881294],Karl-Anthony Towns OVER PRA 34.5 (STANDARD) [id:11879458],Tyrese Maxey UNDER PRA 34.5 (STANDARD) [id:11879225],0,
3,Devin Vassell OVER REB 2.5 (GOBLIN) [id:11881854] | Mikal Bridges UNDER PR 14.5 (STANDARD) [id:11879154] | OG Anunoby OVER PTS 17 (STANDARD) [id:11878958],0.4608504161224305,6.0,0.7136536949262624,4.281922169557575,1.9733256136444688,6.0,pp_kernel,0.775711778949825,0.057757288476736786,Devin Vassell OVER REB 2.5 (GOBLIN) [id:11881854] | Mikal Bridges UNDER PR 14.5 (STANDARD) [id:11879154] | OG Anunoby OVER PTS 17 (STANDARD) [id:11878958],0.005,0.0,0.0,0.0,0.0,0.005,0.0,0,0.0,1.968325613644469,"['devin vassell', 'mikal bridges', 'og anunoby']",1.9733256136444688,1,Devin Vassell OVER REB 2.5 (GOBLIN) [id:11881854],Mikal Bridges UNDER PR 14.5 (STANDARD) [id:11879154],OG Anunoby OVER PTS 17 (STANDARD) [id:11878958],0,
