n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_min_std,pen_role_ctx,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Luke Kornet OVER PTS 1.5 (GOBLIN) [id:11886554] | Julius Randle OVER PTS 12.5 (GOBLIN) [id:11882711] | Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590] | Ayo Dosunmu OVER PRA 18.5 (STANDARD) [id:11909115] | Jose Alvarado OVER PRA 6 (STANDARD) [id:11917560],0.31000753317121105,20.0,1.0,20.0,6.200150663424221,20.0,atlas,0.7942596028168809,0.01871390696381554,Luke Kornet OVER PTS 1.5 (GOBLIN) [id:11886554] | Julius Randle OVER PTS 12.5 (GOBLIN) [id:11882711] | Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590] | Ayo Dosunmu OVER PRA 18.5 (STANDARD) [id:11909115] | Jose Alvarado OVER PRA 6 (STANDARD) [id:11917560],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4,0.610007533171211,"['luke kornet', 'julius randle', 'stephon castle', 'ayo dosunmu', 'jose alvarado']",1,Luke Kornet OVER PTS 1.5 (GOBLIN) [id:11886554],Julius Randle OVER PTS 12.5 (GOBLIN) [id:11882711],Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590],Ayo Dosunmu OVER PRA 18.5 (STANDARD) [id:11909115],Jose Alvarado OVER PRA 6 (STANDARD) [id:11917560],2,Julius Randle | Ayo Dosunmu
5,Julius Randle OVER REB 4.5 (GOBLIN) [id:11881500] | Kelly Oubre OVER REB 3.5 (GOBLIN) [id:11878930] | Harrison Barnes OVER PTS 0.5 (GOBLIN) [id:11905239] | Ayo Dosunmu OVER PRA 18.5 (STANDARD) [id:11909115] | Luke Kornet OVER RA 4.5 (STANDARD) [id:11894429],0.3032559329338999,20.0,1.0,20.0,6.065118658677998,20.0,atlas,0.7898728448151074,0.020764513458986104,Julius Randle OVER REB 4.5 (GOBLIN) [id:11881500] | Kelly Oubre OVER REB 3.5 (GOBLIN) [id:11878930] | Harrison Barnes OVER PTS 0.5 (GOBLIN) [id:11905239] | Ayo Dosunmu OVER PRA 18.5 (STANDARD) [id:11909115] | Luke Kornet OVER RA 4.5 (STANDARD) [id:11894429],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4,0.6032559329338999,"['julius randle', 'kelly oubre', 'harrison barnes', 'ayo dosunmu', 'luke kornet']",1,Julius Randle OVER REB 4.5 (GOBLIN) [id:11881500],Kelly Oubre OVER REB 3.5 (GOBLIN) [id:11878930],Harrison Barnes OVER PTS 0.5 (GOBLIN) [id:11905239],Ayo Dosunmu OVER PRA 18.5 (STANDARD) [id:11909115],Luke Kornet OVER RA 4.5 (STANDARD) [id:11894429],2,Julius Randle | Ayo Dosunmu
5,Dylan Harper OVER REB 1.5 (GOBLIN) [id:11882700] | Mitchell Robinson OVER PTS 1.5 (GOBLIN) [id:11904399] | Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590] | Ayo Dosunmu OVER PR 14.5 (STANDARD) [id:11908815] | OG Anunoby OVER REB 5.5 (STANDARD) [id:11879998],0.2995563905449292,20.0,1.0,20.0,5.991127810898584,20.0,atlas,0.7913653815999264,0.021125515234218413,Dylan Harper OVER REB 1.5 (GOBLIN) [id:11882700] | Mitchell Robinson OVER PTS 1.5 (GOBLIN) [id:11904399] | Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590] | Ayo Dosunmu OVER PR 14.5 (STANDARD) [id:11908815] | OG Anunoby OVER REB 5.5 (STANDARD) [id:11879998],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.44955639054492924,"['dylan harper', 'mitchell robinson', 'stephon castle', 'ayo dosunmu', 'og anunoby']",1,Dylan Harper OVER REB 1.5 (GOBLIN) [id:11882700],Mitchell Robinson OVER PTS 1.5 (GOBLIN) [id:11904399],Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590],Ayo Dosunmu OVER PR 14.5 (STANDARD) [id:11908815],OG Anunoby OVER REB 5.5 (STANDARD) [id:11879998],1,Ayo Dosunmu
5,Rudy Gobert OVER REB 7.5 (GOBLIN) [id:11896022] | Julian Champagnie OVER PTS 4.5 (GOBLIN) [id:11882648] | Luke Kornet OVER PTS 0.5 (GOBLIN) [id:11886555] | Josh Hart UNDER REB 9.5 (STANDARD) [id:11891638] | Ayo Dosunmu OVER PA 15.5 (STANDARD) [id:11908812],0.29618522722674706,20.0,1.0,20.0,5.923704544534941,20.0,atlas,0.7895576545347249,0.07785906546395795,Rudy Gobert OVER REB 7.5 (GOBLIN) [id:11896022] | Julian Champagnie OVER PTS 4.5 (GOBLIN) [id:11882648] | Luke Kornet OVER PTS 0.5 (GOBLIN) [id:11886555] | Josh Hart UNDER REB 9.5 (STANDARD) [id:11891638] | Ayo Dosunmu OVER PA 15.5 (STANDARD) [id:11908812],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4,0.596185227226747,"['rudy gobert', 'julian champagnie', 'luke kornet', 'josh hart', 'ayo dosunmu']",1,Rudy Gobert OVER REB 7.5 (GOBLIN) [id:11896022],Julian Champagnie OVER PTS 4.5 (GOBLIN) [id:11882648],Luke Kornet OVER PTS 0.5 (GOBLIN) [id:11886555],Josh Hart UNDER REB 9.5 (STANDARD) [id:11891638],Ayo Dosunmu OVER PA 15.5 (STANDARD) [id:11908812],2,Rudy Gobert | Ayo Dosunmu
5,Luke Kornet OVER REB 1.5 (GOBLIN) [id:11909133] | Kelly Oubre OVER REB 3.5 (GOBLIN) [id:11878930] | Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Ayo Dosunmu OVER PTS 11.5 (STANDARD) [id:11908809] | Josh Hart UNDER PRA 26 (STANDARD) [id:11879095],0.2952411712647582,20.0,1.0,20.0,5.904823425295164,20.0,atlas,0.7908067578396917,0.07235566659610056,Luke Kornet OVER REB 1.5 (GOBLIN) [id:11909133] | Kelly Oubre OVER REB 3.5 (GOBLIN) [id:11878930] | Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Ayo Dosunmu OVER PTS 11.5 (STANDARD) [id:11908809] | Josh Hart UNDER PRA 26 (STANDARD) [id:11879095],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4,0.5952411712647582,"['luke kornet', 'kelly oubre', 'julius randle', 'ayo dosunmu', 'josh hart']",1,Luke Kornet OVER REB 1.5 (GOBLIN) [id:11909133],Kelly Oubre OVER REB 3.5 (GOBLIN) [id:11878930],Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933],Ayo Dosunmu OVER PTS 11.5 (STANDARD) [id:11908809],Josh Hart UNDER PRA 26 (STANDARD) [id:11879095],2,Julius Randle | Ayo Dosunmu
5,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545] | Quentin Grimes OVER REB 1.5 (GOBLIN) [id:11882680] | Julian Champagnie OVER PTS 4.5 (GOBLIN) [id:11882648] | Luke Kornet OVER PRA 8 (STANDARD) [id:11917561] | Jose Alvarado OVER FG3M 0.5 (STANDARD) [id:11893277],0.26576287772010865,20.0,1.0,20.0,5.315257554402173,20.0,atlas,0.7704313190452706,0.01225746133536119,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545] | Quentin Grimes OVER REB 1.5 (GOBLIN) [id:11882680] | Julian Champagnie OVER PTS 4.5 (GOBLIN) [id:11882648] | Luke Kornet OVER PRA 8 (STANDARD) [id:11917561] | Jose Alvarado OVER FG3M 0.5 (STANDARD) [id:11893277],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.41576287772010867,"['naz reid', 'quentin grimes', 'julian champagnie', 'luke kornet', 'jose alvarado']",1,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545],Quentin Grimes OVER REB 1.5 (GOBLIN) [id:11882680],Julian Champagnie OVER PTS 4.5 (GOBLIN) [id:11882648],Luke Kornet OVER PRA 8 (STANDARD) [id:11917561],Jose Alvarado OVER FG3M 0.5 (STANDARD) [id:11893277],1,Naz Reid
5,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Dylan Harper OVER REB 1.5 (GOBLIN) [id:11882700] | Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590] | Andre Drummond OVER REB 3 (STANDARD) [id:11917375] | Jose Alvarado OVER PRA 6 (STANDARD) [id:11917560],0.2646784584768117,20.0,1.0,20.0,5.293569169536234,20.0,atlas,0.7729916827088218,0.0140567807694259,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Dylan Harper OVER REB 1.5 (GOBLIN) [id:11882700] | Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590] | Andre Drummond OVER REB 3 (STANDARD) [id:11917375] | Jose Alvarado OVER PRA 6 (STANDARD) [id:11917560],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.41467845847681173,"['julius randle', 'dylan harper', 'stephon castle', 'andre drummond', 'jose alvarado']",1,Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933],Dylan Harper OVER REB 1.5 (GOBLIN) [id:11882700],Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590],Andre Drummond OVER REB 3 (STANDARD) [id:11917375],Jose Alvarado OVER PRA 6 (STANDARD) [id:11917560],1,Julius Randle
5,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545] | Keldon Johnson OVER PRA 9.5 (GOBLIN) [id:11881519] | Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Jose Alvarado OVER PRA 6 (STANDARD) [id:11917560] | Julian Champagnie OVER PTS 8.5 (STANDARD) [id:11881458],0.24906503246657238,20.0,1.0,20.0,4.981300649331447,20.0,atlas,0.7621010344122834,0.026581449384099298,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545] | Keldon Johnson OVER PRA 9.5 (GOBLIN) [id:11881519] | Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933] | Jose Alvarado OVER PRA 6 (STANDARD) [id:11917560] | Julian Champagnie OVER PTS 8.5 (STANDARD) [id:11881458],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4,0.5490650324665723,"['naz reid', 'keldon johnson', 'julius randle', 'jose alvarado', 'julian champagnie']",1,Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545],Keldon Johnson OVER PRA 9.5 (GOBLIN) [id:11881519],Julius Randle OVER RA 7.5 (GOBLIN) [id:11907933],Jose Alvarado OVER PRA 6 (STANDARD) [id:11917560],Julian Champagnie OVER PTS 8.5 (STANDARD) [id:11881458],2,Naz Reid | Julius Randle
5,Dylan Harper OVER REB 1.5 (GOBLIN) [id:11882700] | Keldon Johnson OVER PRA 9.5 (GOBLIN) [id:11881519] | Naz Reid OVER AST 0.5 (GOBLIN) [id:11882724] | Jose Alvarado OVER FG3M 0.5 (STANDARD) [id:11893277] | Quentin Grimes OVER RA 4.5 (STANDARD) [id:11890152],0.23635089182774355,20.0,1.0,20.0,4.727017836554871,20.0,atlas,0.7534966913354895,0.013011541104307318,Dylan Harper OVER REB 1.5 (GOBLIN) [id:11882700] | Keldon Johnson OVER PRA 9.5 (GOBLIN) [id:11881519] | Naz Reid OVER AST 0.5 (GOBLIN) [id:11882724] | Jose Alvarado OVER FG3M 0.5 (STANDARD) [id:11893277] | Quentin Grimes OVER RA 4.5 (STANDARD) [id:11890152],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2,0.3863508918277435,"['dylan harper', 'keldon johnson', 'naz reid', 'jose alvarado', 'quentin grimes']",1,Dylan Harper OVER REB 1.5 (GOBLIN) [id:11882700],Keldon Johnson OVER PRA 9.5 (GOBLIN) [id:11881519],Naz Reid OVER AST 0.5 (GOBLIN) [id:11882724],Jose Alvarado OVER FG3M 0.5 (STANDARD) [id:11893277],Quentin Grimes OVER RA 4.5 (STANDARD) [id:11890152],1,Naz Reid
5,Jaden McDaniels OVER PR 14.5 (GOBLIN) [id:11881434] | Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590] | Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545] | OG Anunoby OVER REB 5.5 (STANDARD) [id:11879998] | Quentin Grimes OVER RA 4.5 (STANDARD) [id:11890152],0.233418406201086,20.0,1.0,20.0,4.66836812402172,20.0,atlas,0.7554419777698195,0.032820005524734575,Jaden McDaniels OVER PR 14.5 (GOBLIN) [id:11881434] | Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590] | Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545] | OG Anunoby OVER REB 5.5 (STANDARD) [id:11879998] | Quentin Grimes OVER RA 4.5 (STANDARD) [id:11890152],0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.4,0.533418406201086,"['jaden mcdaniels', 'stephon castle', 'naz reid', 'og anunoby', 'quentin grimes']",1,Jaden McDaniels OVER PR 14.5 (GOBLIN) [id:11881434],Stephon Castle OVER FG3M 0.5 (GOBLIN) [id:11881590],Naz Reid OVER PRA 14.5 (GOBLIN) [id:11881545],OG Anunoby OVER REB 5.5 (STANDARD) [id:11879998],Quentin Grimes OVER RA 4.5 (STANDARD) [id:11890152],2,Jaden McDaniels | Naz Reid
