games_bucket,rows,hit_rate,mean_pred,mean_p_adj,mean_p_cal,gap,abs_gap,brier,logloss
5to9,192,0.5208333333333334,0.45837146988068533,0.45837146988068533,0.45837146988068533,-0.062461863452648037,0.062461863452648037,0.13081962320015864,0.4214336720711203
0to4,138,0.5434782608695652,0.48844391356820255,0.48844391356820255,0.48844391356820255,-0.05503434730136264,0.05503434730136264,0.11553787308665067,0.36314280052814635
20plus,39960,0.42284784784784785,0.4004290380558801,0.3919941251071179,0.4004290380558801,-0.022418809791967753,0.022418809791967753,0.21110466935557923,0.6096895003551179
10to19,632,0.3560126582278481,0.3752275917174693,0.36494888262205916,0.3752275917174693,0.019214933489621167,0.019214933489621167,0.1740017175803886,0.5166033724682101
