slip,high_confidence,hit_prob,payout_mult,ev,player,team,opp,stat,direction,tier,line,p_cal
3-leg,True,0.615,1.931,1.1875,Jose Alvarado,NYK,PHI,AST,OVER,GOBLIN,0.5,0.8767
3-leg,True,0.615,1.931,1.1875,Naz Reid,MIN,SAS,AST,UNDER,STANDARD,1.5,0.7855
3-leg,True,0.615,1.931,1.1875,Anthony Edwards,MIN,SAS,PA,UNDER,STANDARD,24.5,0.7827
4-leg,True,0.3827,1.897,0.726,Luke Kornet,SAS,MIN,PR,OVER,GOBLIN,3.5,0.8113
4-leg,True,0.3827,1.897,0.726,Rudy Gobert,MIN,SAS,PTS,OVER,GOBLIN,3.5,0.782
4-leg,True,0.3827,1.897,0.726,De'Aaron Fox,SAS,MIN,PA,UNDER,STANDARD,23.5,0.7536
4-leg,True,0.3827,1.897,0.726,Quentin Grimes,PHI,NYK,PA,UNDER,STANDARD,10.5,0.7513
5-leg,True,0.1215,2.145,0.2606,Keldon Johnson,SAS,MIN,PTS,OVER,GOBLIN,4.5,0.7741
5-leg,True,0.1215,2.145,0.2606,Dominick Barlow,PHI,NYK,REB,OVER,GOBLIN,1.5,0.7716
5-leg,True,0.1215,2.145,0.2606,Tyrese Maxey,PHI,NYK,PA,UNDER,STANDARD,33.5,0.8216
5-leg,True,0.1215,2.145,0.2606,Mikal Bridges,NYK,PHI,PTS,UNDER,STANDARD,11.5,0.7287
5-leg,True,0.1215,2.145,0.2606,Harrison Barnes,SAS,MIN,PTS,OVER,DEMON,3.5,0.3311
