source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
oddsapi,NBA,Jalen Brunson,AST,2026-05-08 22:40:53,6.5,0.4,0.435,0.565,,,,n_books=4
oddsapi,NBA,Mikal Bridges,AST,2026-05-08 22:40:53,2.5,0.5,0.5808,0.4192,,,,n_books=5
oddsapi,NBA,Josh Hart,AST,2026-05-08 22:40:53,4.5,0.6,0.5519,0.4481,,,,n_books=6
oddsapi,NBA,Karl-Anthony Towns,AST,2026-05-08 22:40:53,4.5,0.7,0.5345,0.4655,,,,n_books=7
oddsapi,NBA,Miles McBride,AST,2026-05-08 22:40:53,1.5,0.4,0.579,0.421,,,,n_books=4
oddsapi,NBA,Paul George,AST,2026-05-08 22:40:53,3.5,0.6,0.4573,0.5427,,,,n_books=6
oddsapi,NBA,Tyrese Maxey,AST,2026-05-08 22:40:53,5.5,0.6,0.5492,0.4508,,,,n_books=6
oddsapi,NBA,Joel Embiid,AST,2026-05-08 22:40:53,4.5,0.7,0.5196,0.4804,,,,n_books=7
oddsapi,NBA,Quentin Grimes,AST,2026-05-08 22:40:53,1.5,0.3,0.5939,0.4061,,,,n_books=3
oddsapi,NBA,VJ Edgecombe,AST,2026-05-08 22:40:53,3.5,0.6,0.449,0.551,,,,n_books=6
oddsapi,NBA,Mitchell Robinson,BLK,2026-05-08 22:40:53,0.5,0.3,0.6399,0.3601,,,,n_books=3
oddsapi,NBA,Joel Embiid,BLK,2026-05-08 22:40:53,1.5,0.3,0.3594,0.6406,,,,n_books=3
oddsapi,NBA,Tyrese Maxey,BLK,2026-05-08 22:40:53,0.5,0.3,0.4976,0.5024,,,,n_books=3
oddsapi,NBA,Jalen Brunson,PTS,2026-05-08 22:40:53,26.5,0.6,0.5025,0.4975,,,,n_books=6
oddsapi,NBA,Jordan Clarkson,PTS,2026-05-08 22:40:53,6.5,0.6,0.4732,0.5268,,,,n_books=6
oddsapi,NBA,Karl-Anthony Towns,PTS,2026-05-08 22:40:53,19.5,0.7,0.5073,0.4927,,,,n_books=7
oddsapi,NBA,Tyrese Maxey,PTS,2026-05-08 22:40:53,25.5,0.7,0.5088,0.4912,,,,n_books=7
oddsapi,NBA,Josh Hart,PTS,2026-05-08 22:40:53,12.5,0.7,0.4973,0.5027,,,,n_books=7
oddsapi,NBA,Paul George,PTS,2026-05-08 22:40:53,17.5,0.7,0.4916,0.5084,,,,n_books=7
oddsapi,NBA,Kelly Oubre Jr,PTS,2026-05-08 22:40:53,11.5,0.8,0.5164,0.4836,,,,n_books=8
oddsapi,NBA,Joel Embiid,PTS,2026-05-08 22:40:53,25.5,0.6,0.4976,0.5024,,,,n_books=6
oddsapi,NBA,Mikal Bridges,PTS,2026-05-08 22:40:53,14.5,0.7,0.483,0.517,,,,n_books=7
oddsapi,NBA,Mitchell Robinson,PTS,2026-05-08 22:40:53,4.5,0.6,0.5128,0.4872,,,,n_books=6
oddsapi,NBA,Quentin Grimes,PTS,2026-05-08 22:40:53,6.5,0.6,0.5266,0.4734,,,,n_books=6
oddsapi,NBA,VJ Edgecombe,PTS,2026-05-08 22:40:53,12.5,0.5,0.5309,0.4691,,,,n_books=5
oddsapi,NBA,Miles McBride,PTS,2026-05-08 22:40:53,10.5,0.6,0.5127,0.4873,,,,n_books=6
oddsapi,NBA,Josh Hart,PA,2026-05-08 22:40:53,17.5,0.4,0.5055,0.4945,,,,n_books=4
oddsapi,NBA,Mikal Bridges,PA,2026-05-08 22:40:53,17.5,0.4,0.485,0.515,,,,n_books=4
oddsapi,NBA,Karl-Anthony Towns,PA,2026-05-08 22:40:53,24.5,0.4,0.5149,0.4851,,,,n_books=4
oddsapi,NBA,Jalen Brunson,PA,2026-05-08 22:40:53,32.5,0.4,0.4965,0.5035,,,,n_books=4
oddsapi,NBA,Tyrese Maxey,PA,2026-05-08 22:40:53,31.5,0.4,0.5069,0.4931,,,,n_books=4
oddsapi,NBA,VJ Edgecombe,PA,2026-05-08 22:40:53,16.5,0.3,0.4849,0.5151,,,,n_books=3
oddsapi,NBA,Joel Embiid,PA,2026-05-08 22:40:53,30.5,0.3,0.5054,0.4946,,,,n_books=3
oddsapi,NBA,Quentin Grimes,PA,2026-05-08 22:40:53,8.5,0.2,0.5253,0.4747,,,,n_books=2
oddsapi,NBA,Paul George,PA,2026-05-08 22:40:53,20.5,0.3,0.517,0.483,,,,n_books=3
oddsapi,NBA,Josh Hart,PR,2026-05-08 22:40:53,21.5,0.4,0.5003,0.4997,,,,n_books=4
oddsapi,NBA,Jalen Brunson,PR,2026-05-08 22:40:53,29.5,0.4,0.4982,0.5018,,,,n_books=4
oddsapi,NBA,Mitchell Robinson,PR,2026-05-08 22:40:53,11.5,0.2,0.539,0.461,,,,n_books=2
oddsapi,NBA,Mikal Bridges,PR,2026-05-08 22:40:53,18.5,0.3,0.487,0.513,,,,n_books=3
oddsapi,NBA,Karl-Anthony Towns,PR,2026-05-08 22:40:53,30.5,0.3,0.5215,0.4785,,,,n_books=3
oddsapi,NBA,Joel Embiid,PR,2026-05-08 22:40:53,33.5,0.3,0.5177,0.4823,,,,n_books=3
oddsapi,NBA,Paul George,PR,2026-05-08 22:40:53,22.5,0.4,0.5205,0.4795,,,,n_books=4
oddsapi,NBA,Quentin Grimes,PR,2026-05-08 22:40:53,9.5,0.2,0.4949,0.5051,,,,n_books=2
oddsapi,NBA,Kelly Oubre Jr,PR,2026-05-08 22:40:53,17.5,0.4,0.4898,0.5102,,,,n_books=4
oddsapi,NBA,Tyrese Maxey,PR,2026-05-08 22:40:53,29.5,0.4,0.5023,0.4977,,,,n_books=4
oddsapi,NBA,VJ Edgecombe,PR,2026-05-08 22:40:53,17.5,0.3,0.5365,0.4635,,,,n_books=3
oddsapi,NBA,Josh Hart,PRA,2026-05-08 22:40:53,26.5,0.6,0.5097,0.4903,,,,n_books=6
oddsapi,NBA,Jalen Brunson,PRA,2026-05-08 22:40:53,35.5,0.6,0.5084,0.4916,,,,n_books=6
oddsapi,NBA,Kelly Oubre Jr,PRA,2026-05-08 22:40:53,18.5,0.4,0.5044,0.4956,,,,n_books=4
oddsapi,NBA,Miles McBride,PRA,2026-05-08 22:40:53,15.5,0.4,0.4966,0.5034,,,,n_books=4
oddsapi,NBA,Mikal Bridges,PRA,2026-05-08 22:40:53,21.5,0.5,0.4907,0.5093,,,,n_books=5
oddsapi,NBA,VJ Edgecombe,PRA,2026-05-08 22:40:53,21.5,0.5,0.5023,0.4977,,,,n_books=5
oddsapi,NBA,Quentin Grimes,PRA,2026-05-08 22:40:53,11.5,0.4,0.4987,0.5013,,,,n_books=4
oddsapi,NBA,Joel Embiid,PRA,2026-05-08 22:40:53,38.5,0.5,0.5069,0.4931,,,,n_books=5
