projection_id,source_projection_id,game_id,game_date,home,opp,player_key,player,team,stat,stat_raw,stat_is_canonical,line,direction,tier,more_allowed,less_allowed,main_line,alt_line,is_main,odds_type,start_time,updated_at
10239823|Kevin Durant|PA|DEMON|34.5|OVER,10239823,132388,2026-03-02,0,WAS,kevin durant,Kevin Durant,HOU,PA,PTS+ASTS,1,34.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 02:28:55.299000+00:00
10239826|Kevin Durant|PR|DEMON|34.5|OVER,10239826,132388,2026-03-02,0,WAS,kevin durant,Kevin Durant,HOU,PR,PTS+REBS,1,34.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 02:50:03.297000+00:00
10239858|Reed Sheppard|PRA|DEMON|34.5|OVER,10239858,132388,2026-03-02,0,WAS,reed sheppard,Reed Sheppard,HOU,PRA,PTS+REBS+ASTS,1,34.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 01:44:08.267000+00:00
10239873|Tari Eason|PRA|DEMON|34.5|OVER,10239873,132388,2026-03-02,0,WAS,tari eason,Tari Eason,HOU,PRA,PTS+REBS+ASTS,1,34.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 05:37:17.918000+00:00
10240430|Kevin Durant|PRA|GOBLIN|33.5|OVER,10240430,132388,2026-03-02,0,WAS,kevin durant,Kevin Durant,HOU,PRA,PTS+REBS+ASTS,1,33.5,OVER,GOBLIN,1,0,,,0,goblin,2026-03-02T19:00:00.000-05:00,2026-03-02 02:31:07.651000+00:00
10240392|Alperen Sengun|PRA|GOBLIN|32.5|OVER,10240392,132388,2026-03-02,0,WAS,alperen sengun,Alperen Sengun,HOU,PRA,PTS+REBS+ASTS,1,32.5,OVER,GOBLIN,1,0,,,0,goblin,2026-03-02T19:00:00.000-05:00,2026-03-02 05:05:14.049000+00:00
10240401|Amen Thompson|PRA|DEMON|32.5|OVER,10240401,132388,2026-03-02,0,WAS,amen thompson,Amen Thompson,HOU,PRA,PTS+REBS+ASTS,1,32.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 03:42:42.976000+00:00
10243820|Alperen Sengun|PRA|GOBLIN|31.5|OVER,10243820,132388,2026-03-02,0,WAS,alperen sengun,Alperen Sengun,HOU,PRA,PTS+REBS+ASTS,1,31.5,OVER,GOBLIN,1,0,,,0,goblin,2026-03-02T19:00:00.000-05:00,2026-03-02 08:52:27.518000+00:00
10237832|Amen Thompson|PRA|STANDARD|30.5|OVER,10237832,132388,2026-03-02,0,WAS,amen thompson,Amen Thompson,HOU,PRA,PTS+REBS+ASTS,1,30.5,OVER,STANDARD,1,0,,,0,standard,2026-03-02T19:00:00.000-05:00,2026-03-02 06:00:01.443000+00:00
10237832|Amen Thompson|PRA|STANDARD|30.5|UNDER,10237832,132388,2026-03-02,0,WAS,amen thompson,Amen Thompson,HOU,PRA,PTS+REBS+ASTS,1,30.5,UNDER,STANDARD,0,1,,,0,standard,2026-03-02T19:00:00.000-05:00,2026-03-02 06:00:01.443000+00:00
10237878|Kevin Durant|PR|STANDARD|30.5|OVER,10237878,132388,2026-03-02,0,WAS,kevin durant,Kevin Durant,HOU,PR,PTS+REBS,1,30.5,OVER,STANDARD,1,0,,,0,standard,2026-03-02T19:00:00.000-05:00,2026-03-02 11:08:37.696000+00:00
10237878|Kevin Durant|PR|STANDARD|30.5|UNDER,10237878,132388,2026-03-02,0,WAS,kevin durant,Kevin Durant,HOU,PR,PTS+REBS,1,30.5,UNDER,STANDARD,0,1,,,0,standard,2026-03-02T19:00:00.000-05:00,2026-03-02 11:08:37.696000+00:00
10237811|Alperen Sengun|PTS|DEMON|29.5|OVER,10237811,132388,2026-03-02,0,WAS,alperen sengun,Alperen Sengun,HOU,PTS,POINTS,1,29.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 04:33:40.031000+00:00
10237873|Kevin Durant|PTS|DEMON|29.5|OVER,10237873,132388,2026-03-02,0,WAS,kevin durant,Kevin Durant,HOU,PTS,POINTS,1,29.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-01 23:55:04.332000+00:00
10237877|Kevin Durant|PA|STANDARD|29.5|OVER,10237877,132388,2026-03-02,0,WAS,kevin durant,Kevin Durant,HOU,PA,PTS+ASTS,1,29.5,OVER,STANDARD,1,0,,,0,standard,2026-03-02T19:00:00.000-05:00,2026-03-02 08:07:51.817000+00:00
10237877|Kevin Durant|PA|STANDARD|29.5|UNDER,10237877,132388,2026-03-02,0,WAS,kevin durant,Kevin Durant,HOU,PA,PTS+ASTS,1,29.5,UNDER,STANDARD,0,1,,,0,standard,2026-03-02T19:00:00.000-05:00,2026-03-02 08:07:51.817000+00:00
10239728|Alperen Sengun|PA|DEMON|29.5|OVER,10239728,132388,2026-03-02,0,WAS,alperen sengun,Alperen Sengun,HOU,PA,PTS+ASTS,1,29.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 01:43:53.619000+00:00
10239736|Alperen Sengun|PRA|GOBLIN|29.5|OVER,10239736,132388,2026-03-02,0,WAS,alperen sengun,Alperen Sengun,HOU,PRA,PTS+REBS+ASTS,1,29.5,OVER,GOBLIN,1,0,,,0,goblin,2026-03-02T19:00:00.000-05:00,2026-03-02 03:02:42.756000+00:00
10239742|Amen Thompson|PA|DEMON|29.5|OVER,10239742,132388,2026-03-02,0,WAS,amen thompson,Amen Thompson,HOU,PA,PTS+ASTS,1,29.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 01:43:55.767000+00:00
10239744|Amen Thompson|PR|DEMON|29.5|OVER,10239744,132388,2026-03-02,0,WAS,amen thompson,Amen Thompson,HOU,PR,PTS+REBS,1,29.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 04:51:24.172000+00:00
10239831|Kevin Durant|PRA|GOBLIN|29.5|OVER,10239831,132388,2026-03-02,0,WAS,kevin durant,Kevin Durant,HOU,PRA,PTS+REBS+ASTS,1,29.5,OVER,GOBLIN,1,0,,,0,goblin,2026-03-02T19:00:00.000-05:00,2026-03-02 01:53:02.908000+00:00
10239852|Reed Sheppard|PA|DEMON|29.5|OVER,10239852,132388,2026-03-02,0,WAS,reed sheppard,Reed Sheppard,HOU,PA,PTS+ASTS,1,29.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 01:44:07.478000+00:00
10239855|Reed Sheppard|PR|DEMON|29.5|OVER,10239855,132388,2026-03-02,0,WAS,reed sheppard,Reed Sheppard,HOU,PR,PTS+REBS,1,29.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 01:44:07.860000+00:00
10239857|Reed Sheppard|PRA|DEMON|29.5|OVER,10239857,132388,2026-03-02,0,WAS,reed sheppard,Reed Sheppard,HOU,PRA,PTS+REBS+ASTS,1,29.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 02:47:54.341000+00:00
10239870|Tari Eason|PR|DEMON|29.5|OVER,10239870,132388,2026-03-02,0,WAS,tari eason,Tari Eason,HOU,PR,PTS+REBS,1,29.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 09:30:55.589000+00:00
10239872|Tari Eason|PRA|DEMON|29.5|OVER,10239872,132388,2026-03-02,0,WAS,tari eason,Tari Eason,HOU,PRA,PTS+REBS+ASTS,1,29.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 01:44:10.394000+00:00
10237815|Alperen Sengun|PR|STANDARD|28.5|OVER,10237815,132388,2026-03-02,0,WAS,alperen sengun,Alperen Sengun,HOU,PR,PTS+REBS,1,28.5,OVER,STANDARD,1,0,,,0,standard,2026-03-02T19:00:00.000-05:00,2026-03-02 12:09:39.021000+00:00
10237815|Alperen Sengun|PR|STANDARD|28.5|UNDER,10237815,132388,2026-03-02,0,WAS,alperen sengun,Alperen Sengun,HOU,PR,PTS+REBS,1,28.5,UNDER,STANDARD,0,1,,,0,standard,2026-03-02T19:00:00.000-05:00,2026-03-02 12:09:39.021000+00:00
10240785|Amen Thompson|PRA|GOBLIN|28.5|OVER,10240785,132388,2026-03-02,0,WAS,amen thompson,Amen Thompson,HOU,PRA,PTS+REBS+ASTS,1,28.5,OVER,GOBLIN,1,0,,,0,goblin,2026-03-02T19:00:00.000-05:00,2026-03-02 04:01:24.617000+00:00
10244818|Kevin Durant|PA|GOBLIN|28.5|OVER,10244818,132388,2026-03-02,0,WAS,kevin durant,Kevin Durant,HOU,PA,PTS+ASTS,1,28.5,OVER,GOBLIN,1,0,,,0,goblin,2026-03-02T19:00:00.000-05:00,2026-03-02 12:49:18.560000+00:00
10240445|Reed Sheppard|PRA|DEMON|27.5|OVER,10240445,132388,2026-03-02,0,WAS,reed sheppard,Reed Sheppard,HOU,PRA,PTS+REBS+ASTS,1,27.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 03:13:12.453000+00:00
10240402|Amen Thompson|PRA|GOBLIN|26.5|OVER,10240402,132388,2026-03-02,0,WAS,amen thompson,Amen Thompson,HOU,PRA,PTS+REBS+ASTS,1,26.5,OVER,GOBLIN,1,0,,,0,goblin,2026-03-02T19:00:00.000-05:00,2026-03-02 02:45:21.971000+00:00
10240454|Tari Eason|PRA|DEMON|26.5|OVER,10240454,132388,2026-03-02,0,WAS,tari eason,Tari Eason,HOU,PRA,PTS+REBS+ASTS,1,26.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 04:18:18.121000+00:00
10237814|Alperen Sengun|PA|STANDARD|25.5|OVER,10237814,132388,2026-03-02,0,WAS,alperen sengun,Alperen Sengun,HOU,PA,PTS+ASTS,1,25.5,OVER,STANDARD,1,0,,,0,standard,2026-03-02T19:00:00.000-05:00,2026-03-02 06:02:59.519000+00:00
10237814|Alperen Sengun|PA|STANDARD|25.5|UNDER,10237814,132388,2026-03-02,0,WAS,alperen sengun,Alperen Sengun,HOU,PA,PTS+ASTS,1,25.5,UNDER,STANDARD,0,1,,,0,standard,2026-03-02T19:00:00.000-05:00,2026-03-02 06:02:59.519000+00:00
10237831|Amen Thompson|PR|STANDARD|25.5|OVER,10237831,132388,2026-03-02,0,WAS,amen thompson,Amen Thompson,HOU,PR,PTS+REBS,1,25.5,OVER,STANDARD,1,0,,,0,standard,2026-03-02T19:00:00.000-05:00,2026-03-02 12:46:15.591000+00:00
10237831|Amen Thompson|PR|STANDARD|25.5|UNDER,10237831,132388,2026-03-02,0,WAS,amen thompson,Amen Thompson,HOU,PR,PTS+REBS,1,25.5,UNDER,STANDARD,0,1,,,0,standard,2026-03-02T19:00:00.000-05:00,2026-03-02 12:46:15.591000+00:00
