slip,high_confidence,hit_prob,payout_mult,ev,player,team,opp,stat,direction,tier,line,p_cal
5-leg,True,0.134,2.145,0.2874,Aaron Gordon,DEN,MIN,AST,OVER,GOBLIN,1.5,0.7245
5-leg,True,0.134,2.145,0.2874,Amen Thompson,HOU,LAL,AST,OVER,GOBLIN,3.5,0.7184
5-leg,True,0.134,2.145,0.2874,Rui Hachimura,LAL,HOU,PTS,OVER,STANDARD,11.5,0.7895
5-leg,True,0.134,2.145,0.2874,Duncan Robinson,DET,ORL,PA,OVER,STANDARD,11.5,0.7755
5-leg,True,0.134,2.145,0.2874,Ausar Thompson,DET,ORL,REB,OVER,DEMON,7.5,0.501
4-leg,True,0.2886,1.897,0.5476,Andre Drummond,PHI,BOS,REB,OVER,GOBLIN,1.5,0.7501
4-leg,True,0.2886,1.897,0.5476,Anthony Black,ORL,DET,REB,OVER,GOBLIN,2.5,0.7009
4-leg,True,0.2886,1.897,0.5476,Cameron Johnson,DEN,MIN,PA,OVER,STANDARD,13.0,0.7552
4-leg,True,0.2886,1.897,0.5476,Naz Reid,MIN,DEN,REB,OVER,STANDARD,6.0,0.8266
3-leg,True,0.5718,1.931,1.1042,Baylor Scheierman,BOS,PHI,FG3M,OVER,GOBLIN,0.5,0.822
3-leg,True,0.5718,1.931,1.1042,Tobias Harris,DET,ORL,PTS,OVER,STANDARD,17.5,0.7357
3-leg,True,0.5718,1.931,1.1042,Paul George,PHI,BOS,FG3M,OVER,STANDARD,2.5,0.8162
