slip,high_confidence,hit_prob,payout_mult,ev,player,team,opp,stat,direction,tier,line,p_cal
3-leg,True,0.6671,1.931,1.2881,Derik Queen,NOP,DET,PTS,OVER,GOBLIN,4.5,0.7945
3-leg,True,0.6671,1.931,1.2881,Malik Monk,SAC,ORL,PR,UNDER,STANDARD,20.5,0.8191
3-leg,True,0.6671,1.931,1.2881,Miles Bridges,CHA,NYK,PRA,UNDER,STANDARD,20.5,0.8275
4-leg,True,0.3969,1.897,0.753,LaMelo Ball,CHA,NYK,PRA,OVER,GOBLIN,24.5,0.8515
4-leg,True,0.3969,1.897,0.753,Coby White,CHA,NYK,PTS,OVER,GOBLIN,9.5,0.8509
4-leg,True,0.3969,1.897,0.753,Mitchell Robinson,NYK,CHA,PR,UNDER,STANDARD,13.5,0.7216
4-leg,True,0.3969,1.897,0.753,Zion Williamson,NOP,DET,PA,UNDER,STANDARD,24.5,0.7963
5-leg,True,0.2743,2.145,0.5882,Herbert Jones,NOP,DET,PA,OVER,GOBLIN,7.5,0.8327
5-leg,True,0.2743,2.145,0.5882,Josh Hart,NYK,CHA,REB,OVER,GOBLIN,4.5,0.8843
5-leg,True,0.2743,2.145,0.5882,Sion James,CHA,NYK,AST,UNDER,STANDARD,1.5,0.8216
5-leg,True,0.2743,2.145,0.5882,Kon Knueppel,CHA,NYK,PA,UNDER,STANDARD,22.5,0.8141
5-leg,True,0.2743,2.145,0.5882,Kevin Huerter,DET,NOP,PRA,OVER,DEMON,15.5,0.6796
