slip,high_confidence,hit_prob,payout_mult,ev,player,team,opp,stat,direction,tier,line,p_cal
3-leg,True,0.4414,1.931,0.8523,Jarrett Allen,CLE,TOR,PTS,OVER,GOBLIN,7.5,0.8939
3-leg,True,0.4414,1.931,0.8523,Anthony Black,ORL,DET,RA,UNDER,STANDARD,6.5,0.8458
3-leg,True,0.4414,1.931,0.8523,Jamal Shead,TOR,CLE,RA,UNDER,STANDARD,8.0,0.8055
4-leg,True,0.3497,1.897,0.6634,Jarrett Allen,CLE,TOR,PTS,OVER,GOBLIN,7.5,0.8939
4-leg,True,0.3497,1.897,0.6634,Isaiah Stewart,DET,ORL,PR,OVER,GOBLIN,5.5,0.7684
4-leg,True,0.3497,1.897,0.6634,Anthony Black,ORL,DET,RA,UNDER,STANDARD,6.5,0.8458
4-leg,True,0.3497,1.897,0.6634,Jamal Shead,TOR,CLE,RA,UNDER,STANDARD,8.0,0.8055
5-leg,True,0.1085,2.145,0.2327,Jarrett Allen,CLE,TOR,PTS,OVER,GOBLIN,7.5,0.8939
5-leg,True,0.1085,2.145,0.2327,Isaiah Stewart,DET,ORL,PR,OVER,GOBLIN,5.5,0.7684
5-leg,True,0.1085,2.145,0.2327,Anthony Black,ORL,DET,RA,UNDER,STANDARD,6.5,0.8458
5-leg,True,0.1085,2.145,0.2327,Jamal Shead,TOR,CLE,RA,UNDER,STANDARD,8.0,0.8055
5-leg,True,0.1085,2.145,0.2327,Jake LaRavia,LAL,HOU,REB,OVER,DEMON,2.5,0.3979
