n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:10618010] | Luke Kennard OVER AST 0.5 (GOBLIN) [id:10619907] | Josh Giddey UNDER PTS 21.5 (STANDARD) [id:10620067] | Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096],0.3080947516564368,10.0,1.0,10.0,3.080947516564368,10.0,atlas,0.7464269154232036,0.021610788988543357,Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:10618010] | Luke Kennard OVER AST 0.5 (GOBLIN) [id:10619907] | Josh Giddey UNDER PTS 21.5 (STANDARD) [id:10620067] | Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096],0.0,0.0,0.0,0.0,0.0,0,0.0,3.080947516564368,"['rui hachimura', 'luke kennard', 'josh giddey', 'matas buzelis']",1,Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:10618010],Luke Kennard OVER AST 0.5 (GOBLIN) [id:10619907],Josh Giddey UNDER PTS 21.5 (STANDARD) [id:10620067],Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096],0,
4,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10618545] | Luka Dončić OVER AST 5.5 (GOBLIN) [id:10638450] | Leonard Miller UNDER PA 14.5 (STANDARD) [id:10638434] | Matas Buzelis UNDER PR 27.5 (STANDARD) [id:10620101],0.28956649527367595,10.0,1.0,10.0,2.8956649527367597,10.0,atlas,0.7349616014787653,0.019249124653794136,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10618545] | Luka Dončić OVER AST 5.5 (GOBLIN) [id:10638450] | Leonard Miller UNDER PA 14.5 (STANDARD) [id:10638434] | Matas Buzelis UNDER PR 27.5 (STANDARD) [id:10620101],0.0,0.0,0.0,0.0,0.0,0,0.0,2.8956649527367597,"['amen thompson', 'luka dončić', 'leonard miller', 'matas buzelis']",1,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10618545],Luka Dončić OVER AST 5.5 (GOBLIN) [id:10638450],Leonard Miller UNDER PA 14.5 (STANDARD) [id:10638434],Matas Buzelis UNDER PR 27.5 (STANDARD) [id:10620101],0,
4,Collin Gillespie OVER FG3M 1.5 (GOBLIN) [id:10620551] | Marcus Smart OVER PTS 4.5 (GOBLIN) [id:10617063] | Guerschon Yabusele UNDER PTS 8.5 (STANDARD) [id:10622921] | Jayson Tatum UNDER PTS 21.5 (STANDARD) [id:10620975],0.27736699788557295,10.0,1.0,10.0,2.7736699788557297,10.0,atlas,0.725993390634773,0.03152734395406811,Collin Gillespie OVER FG3M 1.5 (GOBLIN) [id:10620551] | Marcus Smart OVER PTS 4.5 (GOBLIN) [id:10617063] | Guerschon Yabusele UNDER PTS 8.5 (STANDARD) [id:10622921] | Jayson Tatum UNDER PTS 21.5 (STANDARD) [id:10620975],0.0,0.0,0.0,0.0,0.0,0,0.0,2.7736699788557297,"['collin gillespie', 'marcus smart', 'guerschon yabusele', 'jayson tatum']",1,Collin Gillespie OVER FG3M 1.5 (GOBLIN) [id:10620551],Marcus Smart OVER PTS 4.5 (GOBLIN) [id:10617063],Guerschon Yabusele UNDER PTS 8.5 (STANDARD) [id:10622921],Jayson Tatum UNDER PTS 21.5 (STANDARD) [id:10620975],0,
4,Jayson Tatum OVER REB 4.5 (GOBLIN) [id:10641640] | Khris Middleton OVER REB 1.5 (GOBLIN) [id:10642746] | Leonard Miller UNDER REB 6 (STANDARD) [id:10638438] | Nick Richards UNDER PTS 9.5 (STANDARD) [id:10622939],0.2718722897325567,10.0,1.0,10.0,2.7187228973255673,10.0,atlas,0.7224424570993309,0.035543795320797586,Jayson Tatum OVER REB 4.5 (GOBLIN) [id:10641640] | Khris Middleton OVER REB 1.5 (GOBLIN) [id:10642746] | Leonard Miller UNDER REB 6 (STANDARD) [id:10638438] | Nick Richards UNDER PTS 9.5 (STANDARD) [id:10622939],0.0,0.0,0.0,0.0,0.0,0,0.0,2.7187228973255673,"['jayson tatum', 'khris middleton', 'leonard miller', 'nick richards']",1,Jayson Tatum OVER REB 4.5 (GOBLIN) [id:10641640],Khris Middleton OVER REB 1.5 (GOBLIN) [id:10642746],Leonard Miller UNDER REB 6 (STANDARD) [id:10638438],Nick Richards UNDER PTS 9.5 (STANDARD) [id:10622939],0,
4,LeBron James OVER AST 4.5 (GOBLIN) [id:10620302] | Deandre Ayton OVER PTS 5.5 (GOBLIN) [id:10626341] | Leonard Miller UNDER PR 20.5 (STANDARD) [id:10638435] | Guerschon Yabusele UNDER PTS 8.5 (STANDARD) [id:10622921],0.27131549993835485,10.0,1.0,10.0,2.7131549993835486,10.0,atlas,0.7225843653135212,0.02203780105148519,LeBron James OVER AST 4.5 (GOBLIN) [id:10620302] | Deandre Ayton OVER PTS 5.5 (GOBLIN) [id:10626341] | Leonard Miller UNDER PR 20.5 (STANDARD) [id:10638435] | Guerschon Yabusele UNDER PTS 8.5 (STANDARD) [id:10622921],0.0,0.0,0.0,0.0,0.0,0,0.0,2.7131549993835486,"['lebron james', 'deandre ayton', 'leonard miller', 'guerschon yabusele']",1,LeBron James OVER AST 4.5 (GOBLIN) [id:10620302],Deandre Ayton OVER PTS 5.5 (GOBLIN) [id:10626341],Leonard Miller UNDER PR 20.5 (STANDARD) [id:10638435],Guerschon Yabusele UNDER PTS 8.5 (STANDARD) [id:10622921],0,
4,Cam Spencer OVER AST 3.5 (GOBLIN) [id:10624009] | Rui Hachimura OVER REB 1.5 (GOBLIN) [id:10618234] | Leonard Miller UNDER PA 14.5 (STANDARD) [id:10638434] | Jalen Smith UNDER PR 23 (STANDARD) [id:10622932],0.26905905047222867,10.0,1.0,10.0,2.6905905047222864,10.0,atlas,0.7218113991790394,0.02671170337567775,Cam Spencer OVER AST 3.5 (GOBLIN) [id:10624009] | Rui Hachimura OVER REB 1.5 (GOBLIN) [id:10618234] | Leonard Miller UNDER PA 14.5 (STANDARD) [id:10638434] | Jalen Smith UNDER PR 23 (STANDARD) [id:10622932],0.0,0.0,0.0,0.0,0.0,0,0.0,2.6905905047222864,"['cam spencer', 'rui hachimura', 'leonard miller', 'jalen smith']",1,Cam Spencer OVER AST 3.5 (GOBLIN) [id:10624009],Rui Hachimura OVER REB 1.5 (GOBLIN) [id:10618234],Leonard Miller UNDER PA 14.5 (STANDARD) [id:10638434],Jalen Smith UNDER PR 23 (STANDARD) [id:10622932],0,
4,Jordan Goodwin OVER PR 4.5 (GOBLIN) [id:10635585] | Marcus Smart OVER RA 3.5 (GOBLIN) [id:10619938] | Leonard Miller UNDER PR 20.5 (STANDARD) [id:10638435] | Walter Clayton UNDER PTS 11.5 (STANDARD) [id:10624031],0.26871256460625054,10.0,1.0,10.0,2.6871256460625053,10.0,atlas,0.7203802461061629,0.05588366395951046,Jordan Goodwin OVER PR 4.5 (GOBLIN) [id:10635585] | Marcus Smart OVER RA 3.5 (GOBLIN) [id:10619938] | Leonard Miller UNDER PR 20.5 (STANDARD) [id:10638435] | Walter Clayton UNDER PTS 11.5 (STANDARD) [id:10624031],0.0,0.0,0.0,0.0,0.0,0,0.0,2.6871256460625053,"['jordan goodwin', 'marcus smart', 'leonard miller', 'walter clayton']",1,Jordan Goodwin OVER PR 4.5 (GOBLIN) [id:10635585],Marcus Smart OVER RA 3.5 (GOBLIN) [id:10619938],Leonard Miller UNDER PR 20.5 (STANDARD) [id:10638435],Walter Clayton UNDER PTS 11.5 (STANDARD) [id:10624031],0,
4,Marcus Smart OVER PTS 5.5 (GOBLIN) [id:10618174] | Neemias Queta OVER PTS 5.5 (GOBLIN) [id:10635586] | Walter Clayton UNDER PTS 11.5 (STANDARD) [id:10624031] | Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096],0.2686954044095596,10.0,1.0,10.0,2.6869540440955957,10.0,atlas,0.7203390681943402,0.03240474697246269,Marcus Smart OVER PTS 5.5 (GOBLIN) [id:10618174] | Neemias Queta OVER PTS 5.5 (GOBLIN) [id:10635586] | Walter Clayton UNDER PTS 11.5 (STANDARD) [id:10624031] | Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096],0.0,0.0,0.0,0.0,0.0,0,0.0,2.6869540440955957,"['marcus smart', 'neemias queta', 'walter clayton', 'matas buzelis']",1,Marcus Smart OVER PTS 5.5 (GOBLIN) [id:10618174],Neemias Queta OVER PTS 5.5 (GOBLIN) [id:10635586],Walter Clayton UNDER PTS 11.5 (STANDARD) [id:10624031],Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096],0,
4,Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:10618010] | Jayson Tatum OVER AST 2.5 (GOBLIN) [id:10641584] | Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096] | Isaiah Jackson UNDER PTS 7.5 (STANDARD) [id:10625735],0.2661414103054981,10.0,1.0,10.0,2.661414103054981,10.0,atlas,0.7225571972794819,0.030279905751585116,Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:10618010] | Jayson Tatum OVER AST 2.5 (GOBLIN) [id:10641584] | Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096] | Isaiah Jackson UNDER PTS 7.5 (STANDARD) [id:10625735],0.0,0.0,0.0,0.0,0.0,0,0.0,2.661414103054981,"['rui hachimura', 'jayson tatum', 'matas buzelis', 'isaiah jackson']",1,Rui Hachimura OVER FG3M 0.5 (GOBLIN) [id:10618010],Jayson Tatum OVER AST 2.5 (GOBLIN) [id:10641584],Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096],Isaiah Jackson UNDER PTS 7.5 (STANDARD) [id:10625735],0,
4,Amen Thompson OVER AST 3.5 (GOBLIN) [id:10618208] | Rui Hachimura OVER PTS 5.5 (GOBLIN) [id:10618191] | Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096] | Guerschon Yabusele UNDER PR 13 (STANDARD) [id:10622922],0.26378764534958576,10.0,1.0,10.0,2.6378764534958576,10.0,atlas,0.7182204712141997,0.022114458681377333,Amen Thompson OVER AST 3.5 (GOBLIN) [id:10618208] | Rui Hachimura OVER PTS 5.5 (GOBLIN) [id:10618191] | Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096] | Guerschon Yabusele UNDER PR 13 (STANDARD) [id:10622922],0.0,0.0,0.0,0.0,0.0,0,0.0,2.6378764534958576,"['amen thompson', 'rui hachimura', 'matas buzelis', 'guerschon yabusele']",1,Amen Thompson OVER AST 3.5 (GOBLIN) [id:10618208],Rui Hachimura OVER PTS 5.5 (GOBLIN) [id:10618191],Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096],Guerschon Yabusele UNDER PR 13 (STANDARD) [id:10622922],0,
