slip,high_confidence,hit_prob,payout_mult,ev,player,team,opp,stat,direction,tier,line,p_cal
5-leg,True,0.2545,2.145,0.5457,Austin Reaves,LAL,OKC,RA,OVER,GOBLIN,7.5,0.7247
5-leg,True,0.2545,2.145,0.5457,Cade Cunningham,DET,ORL,PR,OVER,GOBLIN,29.5,0.8509
5-leg,True,0.2545,2.145,0.5457,Paolo Banchero,ORL,DET,PTS,OVER,STANDARD,23.5,0.8387
5-leg,True,0.2545,2.145,0.5457,Jalen Duren,DET,ORL,PTS,OVER,STANDARD,13.0,0.8364
5-leg,True,0.2545,2.145,0.5457,Donovan Mitchell,CLE,TOR,REB,OVER,DEMON,4.5,0.6571
4-leg,True,0.4324,1.897,0.8204,Chet Holmgren,OKC,LAL,RA,OVER,GOBLIN,8.5,0.7813
4-leg,True,0.4324,1.897,0.8204,Daniss Jenkins,DET,ORL,PTS,OVER,GOBLIN,4.5,0.7757
4-leg,True,0.4324,1.897,0.8204,Neemias Queta,BOS,PHI,PA,OVER,STANDARD,8.5,0.8246
4-leg,True,0.4324,1.897,0.8204,VJ Edgecombe,PHI,BOS,PTS,OVER,STANDARD,11.0,0.8079
3-leg,True,0.594,1.931,1.1469,De'Aaron Fox,SAS,MIN,PA,OVER,GOBLIN,19.5,0.7558
3-leg,True,0.594,1.931,1.1469,Max Strus,CLE,TOR,PTS,OVER,STANDARD,8.5,0.7465
3-leg,True,0.594,1.931,1.1469,RJ Barrett,TOR,CLE,PA,OVER,STANDARD,26.5,0.7358
