_ep_player,_ep_stat,_ep_tier,_ep_dir,_ep_line,mu,edge_at_pp_line,implied_direction,apply_prior,external_prior_score,bp_market_prob,bp_market_divergence,external_prior_n,external_prior_sources,delta_p
Tyrese Maxey,PTS,STANDARD,OVER,24.5,24.5,0.0,UNDER,False,0.0,0.5021,0.2038798220177982,0,oddsapi,0.0
Tyrese Maxey,PTS,STANDARD,UNDER,24.5,24.5,0.0,UNDER,True,0.0,0.4979,-0.06414431644537699,1,oddsapi,0.0
Joel Embiid,PRA,DEMON,OVER,49.5,,,,False,0.0,,0.0,0,,0.0
Joel Embiid,PR,DEMON,OVER,44.5,,,,False,0.0,,0.0,0,,0.0
Joel Embiid,PRA,DEMON,OVER,44.5,,,,False,0.0,,0.0,0,,0.0
Tyrese Maxey,PRA,DEMON,OVER,44.5,,,,False,0.0,,0.0,0,,0.0
Joel Embiid,PRA,DEMON,OVER,43.5,,,,False,0.0,,0.0,0,,0.0
Jaylen Brown,PRA,STANDARD,OVER,43.5,,,,False,0.0,,0.0,0,,0.0
Jaylen Brown,PRA,STANDARD,UNDER,43.5,,,,False,0.0,,0.0,0,,0.0
Joel Embiid,PRA,STANDARD,OVER,40.5,,,,False,0.0,,0.0,0,,0.0
Joel Embiid,PRA,STANDARD,UNDER,40.5,,,,False,0.0,,0.0,0,,0.0
Jaylen Brown,PRA,GOBLIN,OVER,40.5,,,,False,0.0,,0.0,0,,0.0
Joel Embiid,PR,DEMON,OVER,40.5,,,,False,0.0,,0.0,0,,0.0
Joel Embiid,PA,DEMON,OVER,39.5,,,,False,0.0,,0.0,0,,0.0
Joel Embiid,PR,DEMON,OVER,39.5,,,,False,0.0,,0.0,0,,0.0
Tyrese Maxey,PA,DEMON,OVER,39.5,,,,False,0.0,,0.0,0,,0.0
Jaylen Brown,PRA,GOBLIN,OVER,39.5,,,,False,0.0,,0.0,0,,0.0
Tyrese Maxey,PR,DEMON,OVER,39.5,,,,False,0.0,,0.0,0,,0.0
Tyrese Maxey,PRA,DEMON,OVER,39.5,,,,False,0.0,,0.0,0,,0.0
Jaylen Brown,PA,DEMON,OVER,39.5,,,,False,0.0,,0.0,0,,0.0
Joel Embiid,PRA,GOBLIN,OVER,37.5,,,,False,0.0,,0.0,0,,0.0
Jaylen Brown,PRA,GOBLIN,OVER,37.5,,,,False,0.0,,0.0,0,,0.0
Jaylen Brown,PR,STANDARD,OVER,37.5,,,,False,0.0,,0.0,0,,0.0
Jaylen Brown,PR,STANDARD,UNDER,37.5,,,,False,0.0,,0.0,0,,0.0
Tyrese Maxey,PRA,DEMON,OVER,37.5,,,,False,0.0,,0.0,0,,0.0
Joel Embiid,PRA,GOBLIN,OVER,36.5,,,,False,0.0,,0.0,0,,0.0
Joel Embiid,PR,STANDARD,OVER,35.5,,,,False,0.0,,0.0,0,,0.0
Joel Embiid,PR,STANDARD,UNDER,35.5,,,,False,0.0,,0.0,0,,0.0
Jaylen Brown,PA,STANDARD,OVER,35.5,,,,False,0.0,,0.0,0,,0.0
Jaylen Brown,PA,STANDARD,UNDER,35.5,,,,False,0.0,,0.0,0,,0.0
Joel Embiid,PTS,DEMON,OVER,34.5,26.5,-8.0,UNDER,False,0.0,0.4863,0.41205742425757425,0,oddsapi,0.0
Joel Embiid,PA,DEMON,OVER,34.5,,,,False,0.0,,0.0,0,,0.0
Joel Embiid,PRA,GOBLIN,OVER,34.5,,,,False,0.0,,0.0,0,,0.0
Tyrese Maxey,PTS,DEMON,OVER,34.5,24.5,-10.0,UNDER,False,0.0,0.5021,0.43795641435856414,0,oddsapi,0.0
Tyrese Maxey,PA,DEMON,OVER,34.5,,,,False,0.0,,0.0,0,,0.0
Jaylen Brown,PR,GOBLIN,OVER,34.5,,,,False,0.0,,0.0,0,,0.0
Jaylen Brown,PRA,GOBLIN,OVER,34.5,,,,False,0.0,,0.0,0,,0.0
Tyrese Maxey,PR,DEMON,OVER,34.5,,,,False,0.0,,0.0,0,,0.0
Tyrese Maxey,PRA,STANDARD,OVER,34.5,,,,False,0.0,,0.0,0,,0.0
Tyrese Maxey,PRA,STANDARD,UNDER,34.5,,,,False,0.0,,0.0,0,,0.0
Joel Embiid,PR,GOBLIN,OVER,32.5,,,,False,0.0,,0.0,0,,0.0
Joel Embiid,PA,STANDARD,OVER,31.5,,,,False,0.0,,0.0,0,,0.0
Joel Embiid,PA,STANDARD,UNDER,31.5,,,,False,0.0,,0.0,0,,0.0
Tyrese Maxey,PRA,GOBLIN,OVER,31.5,,,,False,0.0,,0.0,0,,0.0
Jaylen Brown,PTS,STANDARD,OVER,30.5,30.500000000000004,3.552713678800501e-15,OVER,True,2.3684757858670005e-15,0.498,0.2482749725027497,1,oddsapi,0.0
Jaylen Brown,PTS,STANDARD,UNDER,30.5,30.500000000000004,3.552713678800501e-15,OVER,False,0.0,0.502,-0.08299723172237816,0,oddsapi,0.0
Tyrese Maxey,PA,STANDARD,OVER,30.5,,,,False,0.0,,0.0,0,,0.0
Tyrese Maxey,PA,STANDARD,UNDER,30.5,,,,False,0.0,,0.0,0,,0.0
Jaylen Brown,PR,GOBLIN,OVER,30.5,,,,False,0.0,,0.0,0,,0.0
Joel Embiid,PTS,DEMON,OVER,29.5,26.5,-3.0,UNDER,False,0.0,0.4863,0.3219664333566643,0,oddsapi,0.0
Joel Embiid,PA,GOBLIN,OVER,29.5,,,,False,0.0,,0.0,0,,0.0
Joel Embiid,PR,GOBLIN,OVER,29.5,,,,False,0.0,,0.0,0,,0.0
Paul George,PA,DEMON,OVER,29.5,,,,False,0.0,,0.0,0,,0.0
Paul George,PR,DEMON,OVER,29.5,,,,False,0.0,,0.0,0,,0.0
Paul George,PRA,DEMON,OVER,29.5,,,,False,0.0,,0.0,0,,0.0
Tyrese Maxey,PTS,DEMON,OVER,29.5,24.5,-5.0,UNDER,False,0.0,0.5021,0.34916529347065295,0,oddsapi,0.0
Tyrese Maxey,PRA,GOBLIN,OVER,29.5,,,,False,0.0,,0.0,0,,0.0
Tyrese Maxey,PR,DEMON,OVER,29.5,,,,False,0.0,,0.0,0,,0.0
Paul George,PRA,DEMON,OVER,28.5,,,,False,0.0,,0.0,0,,0.0
Joel Embiid,PTS,DEMON,OVER,28.5,26.5,-2.0,UNDER,False,0.0,0.4863,0.29956867313268676,0,oddsapi,0.0
Tyrese Maxey,PRA,GOBLIN,OVER,28.5,,,,False,0.0,,0.0,0,,0.0
Jaylen Brown,PA,GOBLIN,OVER,28.5,,,,False,0.0,,0.0,0,,0.0
Tyrese Maxey,PR,STANDARD,OVER,28.0,,,,False,0.0,,0.0,0,,0.0
Tyrese Maxey,PR,STANDARD,UNDER,28.0,,,,False,0.0,,0.0,0,,0.0
Jaylen Brown,PTS,GOBLIN,OVER,27.5,30.500000000000004,3.0000000000000036,OVER,True,0.964027580075817,0.498,0.09799999999999998,1,oddsapi,0.0
Payton Pritchard,PRA,STANDARD,OVER,27.5,,,,False,0.0,,0.0,0,,0.0
Payton Pritchard,PRA,STANDARD,UNDER,27.5,,,,False,0.0,,0.0,0,,0.0
Tyrese Maxey,PTS,DEMON,OVER,27.5,24.5,-3.0,UNDER,False,0.0,0.5021,0.3005701529847015,0,oddsapi,0.0
Jaylen Brown,PA,GOBLIN,OVER,27.5,,,,False,0.0,,0.0,0,,0.0
Joel Embiid,PTS,STANDARD,OVER,26.5,26.5,0.0,UNDER,False,0.0,0.4863,0.240274602539746,0,oddsapi,0.0
Joel Embiid,PTS,STANDARD,UNDER,26.5,26.5,0.0,UNDER,True,0.0,0.5137,-0.06926486975563895,1,oddsapi,0.0
Paul George,PRA,DEMON,OVER,25.5,,,,False,0.0,,0.0,0,,0.0
VJ Edgecombe,PRA,DEMON,OVER,25.5,,,,False,0.0,,0.0,0,,0.0
Joel Embiid,PTS,GOBLIN,OVER,24.5,26.5,2.0,OVER,True,0.8700616617426719,0.4863,0.08629999999999999,1,oddsapi,0.0
Joel Embiid,PA,GOBLIN,OVER,24.5,,,,False,0.0,,0.0,0,,0.0
Paul George,PTS,DEMON,OVER,24.5,15.5,-9.0,UNDER,False,0.0,0.4973,0.37456227377262274,0,oddsapi,0.0
Paul George,PA,DEMON,OVER,24.5,,,,False,0.0,,0.0,0,,0.0
Paul George,PR,DEMON,OVER,24.5,,,,False,0.0,,0.0,0,,0.0
Paul George,PRA,STANDARD,OVER,24.5,,,,False,0.0,,0.0,0,,0.0
Paul George,PRA,STANDARD,UNDER,24.5,,,,False,0.0,,0.0,0,,0.0
Tyrese Maxey,PTS,STANDARD,OVER,24.5,24.5,0.0,UNDER,False,0.0,0.5021,0.2038798220177982,0,oddsapi,0.0
Tyrese Maxey,PTS,STANDARD,UNDER,24.5,24.5,0.0,UNDER,True,0.0,0.4979,-0.06414431644537699,1,oddsapi,0.0
Tyrese Maxey,PA,GOBLIN,OVER,24.5,,,,False,0.0,,0.0,0,,0.0
VJ Edgecombe,PR,DEMON,OVER,24.5,,,,False,0.0,,0.0,0,,0.0
Tyrese Maxey,PR,GOBLIN,OVER,24.5,,,,False,0.0,,0.0,0,,0.0
Payton Pritchard,PRA,GOBLIN,OVER,24.5,,,,False,0.0,,0.0,0,,0.0
Payton Pritchard,PR,DEMON,OVER,24.5,,,,False,0.0,,0.0,0,,0.0
Jaylen Brown,PTS,GOBLIN,OVER,23.5,30.500000000000004,7.0000000000000036,OVER,True,0.9998231616599621,0.498,-0.023697830216978355,1,oddsapi,0.0
Payton Pritchard,PA,STANDARD,OVER,23.5,,,,False,0.0,,0.0,0,,0.0
Payton Pritchard,PA,STANDARD,UNDER,23.5,,,,False,0.0,,0.0,0,,0.0
VJ Edgecombe,PRA,DEMON,OVER,23.5,,,,False,0.0,,0.0,0,,0.0
Paul George,PA,DEMON,OVER,23.5,,,,False,0.0,,0.0,0,,0.0
Paul George,PRA,GOBLIN,OVER,22.5,,,,False,0.0,,0.0,0,,0.0
Derrick White,PRA,STANDARD,OVER,22.5,,,,False,0.0,,0.0,0,,0.0
Derrick White,PRA,STANDARD,UNDER,22.5,,,,False,0.0,,0.0,0,,0.0
Joel Embiid,PTS,GOBLIN,OVER,22.5,26.5,4.0,OVER,True,0.990390494225681,0.4863,0.08629999999999999,1,oddsapi,0.0
Payton Pritchard,PRA,GOBLIN,OVER,22.5,,,,False,0.0,,0.0,0,,0.0
VJ Edgecombe,PRA,DEMON,OVER,22.5,,,,False,0.0,,0.0,0,,0.0
Kelly Oubre,PRA,DEMON,OVER,22.5,,,,False,0.0,,0.0,0,,0.0
Neemias Queta,PRA,DEMON,OVER,22.5,,,,False,0.0,,0.0,0,,0.0
Paul George,PR,DEMON,OVER,22.5,,,,False,0.0,,0.0,0,,0.0
Payton Pritchard,PR,STANDARD,OVER,22.0,,,,False,0.0,,0.0,0,,0.0
Payton Pritchard,PR,STANDARD,UNDER,22.0,,,,False,0.0,,0.0,0,,0.0
Derrick White,PRA,GOBLIN,OVER,21.5,,,,False,0.0,,0.0,0,,0.0
Tyrese Maxey,PTS,GOBLIN,OVER,21.5,24.5,3.0,OVER,True,0.9640275800758169,0.5021,0.08919129087091288,1,oddsapi,0.0
Paul George,PRA,GOBLIN,OVER,21.5,,,,False,0.0,,0.0,0,,0.0
Paul George,PR,STANDARD,OVER,21.0,,,,False,0.0,,0.0,0,,0.0
Paul George,PR,STANDARD,UNDER,21.0,,,,False,0.0,,0.0,0,,0.0
VJ Edgecombe,PRA,STANDARD,OVER,20.5,,,,False,0.0,,0.0,0,,0.0
VJ Edgecombe,PRA,STANDARD,UNDER,20.5,,,,False,0.0,,0.0,0,,0.0
Joel Embiid,PTS,GOBLIN,OVER,19.5,26.5,7.0,OVER,True,0.9998231616599621,0.4863,-0.030498320167983206,1,oddsapi,0.0
Paul George,PTS,DEMON,OVER,19.5,15.5,-4.0,UNDER,False,0.0,0.4973,0.21817791220877913,0,oddsapi,0.0
Paul George,PR,GOBLIN,OVER,19.5,,,,False,0.0,,0.0,0,,0.0
Paul George,PRA,GOBLIN,OVER,19.5,,,,False,0.0,,0.0,0,,0.0
Tyrese Maxey,PTS,GOBLIN,OVER,19.5,24.5,5.0,OVER,True,0.9974579674738373,0.5021,0.0033998700129986292,1,oddsapi,0.0
VJ Edgecombe,PTS,DEMON,OVER,19.5,11.5,-8.0,UNDER,False,0.0,0.5041,0.2891714928507149,0,oddsapi,0.0
VJ Edgecombe,PR,DEMON,OVER,19.5,,,,False,0.0,,0.0,0,,0.0
Derrick White,PA,DEMON,OVER,19.5,,,,False,0.0,,0.0,0,,0.0
Payton Pritchard,PA,GOBLIN,OVER,19.5,,,,False,0.0,,0.0,0,,0.0
Kelly Oubre,PR,DEMON,OVER,19.5,,,,False,0.0,,0.0,0,,0.0
Neemias Queta,PR,DEMON,OVER,19.5,,,,False,0.0,,0.0,0,,0.0
Nikola Vučević,PR,DEMON,OVER,19.5,,,,False,0.0,,0.0,0,,0.0
Payton Pritchard,PR,GOBLIN,OVER,19.5,,,,False,0.0,,0.0,0,,0.0
