import time: self [us] | cumulative | imported package
import time:       100 |        100 | winreg
import time:       177 |        177 |   _io
import time:        23 |         23 |   marshal
import time:       202 |        202 |   nt
import time:       386 |        786 | _frozen_importlib_external
import time:       338 |        338 |   time
import time:       121 |        459 | zipimport
import time:        39 |         39 |     _codecs
import time:       266 |        305 |   codecs
import time:       622 |        622 |   encodings.aliases
import time:       972 |       1898 | encodings
import time:       277 |        277 | encodings.utf_8
import time:       261 |        261 | encodings.cp1252
import time:        33 |         33 | _signal
import time:        19 |         19 |     _abc
import time:        99 |        117 |   abc
import time:       155 |        271 | io
import time:        42 |         42 |       _stat
import time:        87 |        128 |     stat
import time:       496 |        496 |     _collections_abc
import time:        23 |         23 |       genericpath
import time:        85 |         85 |       _winapi
import time:       464 |        571 |     ntpath
import time:       298 |       1492 |   os
import time:        52 |         52 |   _sitebuiltins
import time:       773 |        773 |   _distutils_hack
import time:       156 |        156 |   sitecustomize
import time:       120 |        120 |   usercustomize
import time:       841 |       3431 | site
import time:       396 |        396 |       warnings
import time:       440 |        836 |     importlib
import time:       280 |       1116 |   importlib.machinery
import time:       370 |        370 |     importlib._abc
import time:        99 |         99 |         itertools
import time:       309 |        309 |         keyword
import time:        67 |         67 |           _operator
import time:       659 |        725 |         operator
import time:       770 |        770 |         reprlib
import time:       138 |        138 |         _collections
import time:      1162 |       3201 |       collections
import time:       394 |        394 |         types
import time:        50 |         50 |         _functools
import time:      1018 |       1462 |       functools
import time:       685 |       5348 |     contextlib
import time:       351 |        351 |       _weakrefset
import time:      1290 |       1640 |     threading
import time:       297 |       7654 |   importlib.util
import time:       226 |       8995 | runpy
import time:       383 |        383 |   Atlas
import time:       999 |       1382 | Atlas.legacy
import time:       334 |        334 | __future__
import time:       677 |        677 |   _ast
import time:      1924 |       1924 |   enum
import time:      1200 |       3800 | ast
import time:        68 |         68 |   math
import time:        33 |         33 |     _bisect
import time:       342 |        375 |   bisect
import time:        27 |         27 |   _random
import time:        40 |         40 |   _sha512
import time:       876 |       1383 | random
import time:        59 |         59 |     _sre
import time:       302 |        302 |       re._constants
import time:       442 |        744 |     re._parser
import time:       229 |        229 |     re._casefix
import time:       559 |       1589 |   re._compiler
import time:       427 |        427 |   copyreg
import time:       679 |       2694 | re
import time:       129 |        129 |   _datetime
import time:      1106 |       1235 | datetime
import time:       290 |        290 |       posix
import time:       100 |        390 |     posixpath
import time:       473 |        862 |   fnmatch
import time:        70 |         70 |   errno
import time:       411 |        411 |     urllib
import time:      1057 |       1057 |     ipaddress
