n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Coby White OVER PTS 11.5 (GOBLIN) [id:10644469] | Tyler Herro OVER PR 27 (STANDARD) [id:10644162] | Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861],0.1596101023889574,6.0,1.0,6.0,0.9576606143337444,6.0,atlas,0.5425212358638642,0.04290357802177743,Coby White OVER PTS 11.5 (GOBLIN) [id:10644469] | Tyler Herro OVER PR 27 (STANDARD) [id:10644162] | Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9576606143337444,"['coby white', 'tyler herro', 'jett howard']",1,Coby White OVER PTS 11.5 (GOBLIN) [id:10644469],Tyler Herro OVER PR 27 (STANDARD) [id:10644162],Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861],0,
3,Grant Williams OVER REB 2.5 (GOBLIN) [id:10643917] | Bam Adebayo OVER REB 9.5 (STANDARD) [id:10653980] | De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862],0.1589042510236053,6.0,1.0,6.0,0.9534255061416319,6.0,atlas,0.5417924817096368,0.031263292624752685,Grant Williams OVER REB 2.5 (GOBLIN) [id:10643917] | Bam Adebayo OVER REB 9.5 (STANDARD) [id:10653980] | De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9534255061416319,"['grant williams', 'bam adebayo', ""de'aaron fox""]",1,Grant Williams OVER REB 2.5 (GOBLIN) [id:10643917],Bam Adebayo OVER REB 9.5 (STANDARD) [id:10653980],De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862],0,
3,Ryan Kalkbrenner OVER RA 4.5 (GOBLIN) [id:10645664] | Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861] | Coby White OVER PTS 13.5 (STANDARD) [id:10643852],0.15860816569491487,6.0,1.0,6.0,0.9516489941694892,6.0,atlas,0.541366544599393,0.04235064734191874,Ryan Kalkbrenner OVER RA 4.5 (GOBLIN) [id:10645664] | Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861] | Coby White OVER PTS 13.5 (STANDARD) [id:10643852],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9516489941694892,"['ryan kalkbrenner', 'jett howard', 'coby white']",1,Ryan Kalkbrenner OVER RA 4.5 (GOBLIN) [id:10645664],Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861],Coby White OVER PTS 13.5 (STANDARD) [id:10643852],0,
3,Davion Mitchell OVER PA 11.5 (GOBLIN) [id:10650767] | Kevin Porter OVER AST 6.5 (STANDARD) [id:10645188] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],0.15764371116076675,6.0,1.0,6.0,0.9458622669646005,6.0,atlas,0.5414342702543247,0.057486866497813316,Davion Mitchell OVER PA 11.5 (GOBLIN) [id:10650767] | Kevin Porter OVER AST 6.5 (STANDARD) [id:10645188] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9458622669646005,"['davion mitchell', 'kevin porter', ""kel'el ware""]",1,Davion Mitchell OVER PA 11.5 (GOBLIN) [id:10650767],Kevin Porter OVER AST 6.5 (STANDARD) [id:10645188],Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],0,
3,Kon Knueppel OVER PRA 26.5 (GOBLIN) [id:10653804] | De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],0.1567803655551727,6.0,1.0,6.0,0.9406821933310361,6.0,atlas,0.5394106077278474,0.05404967814350137,Kon Knueppel OVER PRA 26.5 (GOBLIN) [id:10653804] | De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9406821933310361,"['kon knueppel', ""de'aaron fox"", 'grayson allen']",1,Kon Knueppel OVER PRA 26.5 (GOBLIN) [id:10653804],De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862],Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],0,
3,LaMelo Ball OVER RA 10.5 (GOBLIN) [id:10652262] | Isaiah Hartenstein OVER RA 11 (STANDARD) [id:10645005] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],0.15533172275308152,6.0,1.0,6.0,0.9319903365184892,6.0,atlas,0.5390325417393145,0.0816242641376766,LaMelo Ball OVER RA 10.5 (GOBLIN) [id:10652262] | Isaiah Hartenstein OVER RA 11 (STANDARD) [id:10645005] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9319903365184892,"['lamelo ball', 'isaiah hartenstein', ""kel'el ware""]",1,LaMelo Ball OVER RA 10.5 (GOBLIN) [id:10652262],Isaiah Hartenstein OVER RA 11 (STANDARD) [id:10645005],Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],0,
3,Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124] | Davion Mitchell OVER RA 7.5 (STANDARD) [id:10643888] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],0.15499528464916407,6.0,1.0,6.0,0.9299717078949844,6.0,atlas,0.537200538602252,0.057892077269370214,Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124] | Davion Mitchell OVER RA 7.5 (STANDARD) [id:10643888] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9299717078949844,"['naz reid', 'davion mitchell', 'ryan kalkbrenner']",1,Naz Reid OVER REB 4.5 (GOBLIN) [id:10652124],Davion Mitchell OVER RA 7.5 (STANDARD) [id:10643888],Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],0,
3,Ryan Kalkbrenner OVER PR 9.5 (GOBLIN) [id:10650510] | Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159] | Trendon Watford UNDER PRA 16.5 (STANDARD) [id:10644893],0.15496461182414595,6.0,1.0,6.0,0.9297876709448757,6.0,atlas,0.5371485931381673,0.042924695243675114,Ryan Kalkbrenner OVER PR 9.5 (GOBLIN) [id:10650510] | Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159] | Trendon Watford UNDER PRA 16.5 (STANDARD) [id:10644893],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9297876709448757,"['ryan kalkbrenner', 'tyler herro', 'trendon watford']",1,Ryan Kalkbrenner OVER PR 9.5 (GOBLIN) [id:10650510],Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159],Trendon Watford UNDER PRA 16.5 (STANDARD) [id:10644893],0,
3,LaMelo Ball OVER AST 5.5 (GOBLIN) [id:10643989] | Kevin Porter OVER AST 6.5 (STANDARD) [id:10645188] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504],0.15464502036134448,6.0,1.0,6.0,0.9278701221680669,6.0,atlas,0.5374565002018107,0.04606028960550238,LaMelo Ball OVER AST 5.5 (GOBLIN) [id:10643989] | Kevin Porter OVER AST 6.5 (STANDARD) [id:10645188] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9278701221680669,"['lamelo ball', 'kevin porter', ""kel'el ware""]",1,LaMelo Ball OVER AST 5.5 (GOBLIN) [id:10643989],Kevin Porter OVER AST 6.5 (STANDARD) [id:10645188],Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504],0,
3,LaMelo Ball OVER PRA 28.5 (GOBLIN) [id:10645623] | Bam Adebayo OVER PTS 20.5 (STANDARD) [id:10643796] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504],0.15434744246737464,6.0,1.0,6.0,0.9260846548042478,6.0,atlas,0.5370426302092749,0.044162439210732894,LaMelo Ball OVER PRA 28.5 (GOBLIN) [id:10645623] | Bam Adebayo OVER PTS 20.5 (STANDARD) [id:10643796] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9260846548042478,"['lamelo ball', 'bam adebayo', ""kel'el ware""]",1,LaMelo Ball OVER PRA 28.5 (GOBLIN) [id:10645623],Bam Adebayo OVER PTS 20.5 (STANDARD) [id:10643796],Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504],0,
3,Brandon Miller OVER PTS 14.5 (GOBLIN) [id:10643826] | Myles Turner OVER PTS 10.5 (STANDARD) [id:10645236] | De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862],0.15366848992113358,6.0,1.0,6.0,0.9220109395268015,6.0,atlas,0.5361963651899878,0.049558848195642435,Brandon Miller OVER PTS 14.5 (GOBLIN) [id:10643826] | Myles Turner OVER PTS 10.5 (STANDARD) [id:10645236] | De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9220109395268015,"['brandon miller', 'myles turner', ""de'aaron fox""]",1,Brandon Miller OVER PTS 14.5 (GOBLIN) [id:10643826],Myles Turner OVER PTS 10.5 (STANDARD) [id:10645236],De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862],0,
3,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | Davion Mitchell OVER PRA 15.5 (STANDARD) [id:10644488] | Shai Gilgeous-Alexander UNDER PR 36 (STANDARD) [id:10645029],0.1536005908977606,6.0,1.0,6.0,0.9216035453865636,6.0,atlas,0.5355763316822607,0.043055355072998513,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | Davion Mitchell OVER PRA 15.5 (STANDARD) [id:10644488] | Shai Gilgeous-Alexander UNDER PR 36 (STANDARD) [id:10645029],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9216035453865636,"['ryan kalkbrenner', 'davion mitchell', 'shai gilgeous-alexander']",1,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753],Davion Mitchell OVER PRA 15.5 (STANDARD) [id:10644488],Shai Gilgeous-Alexander UNDER PR 36 (STANDARD) [id:10645029],0,
3,Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117] | Tyler Herro OVER PA 25.5 (STANDARD) [id:10644161] | Shai Gilgeous-Alexander UNDER RA 11.5 (STANDARD) [id:10645034],0.15303691127058366,6.0,1.0,6.0,0.918221467623502,6.0,atlas,0.5349021651947967,0.04256908909956561,Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117] | Tyler Herro OVER PA 25.5 (STANDARD) [id:10644161] | Shai Gilgeous-Alexander UNDER RA 11.5 (STANDARD) [id:10645034],0.0,0.0,0.0,0.0,0.0,0,0.0,0.918221467623502,"['ayo dosunmu', 'tyler herro', 'shai gilgeous-alexander']",1,Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117],Tyler Herro OVER PA 25.5 (STANDARD) [id:10644161],Shai Gilgeous-Alexander UNDER RA 11.5 (STANDARD) [id:10645034],0,
3,Norman Powell OVER PRA 24.5 (GOBLIN) [id:10644562] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Jaime Jaquez OVER PRA 23.5 (STANDARD) [id:10643940],0.15258430269062315,6.0,1.0,6.0,0.9155058161437388,6.0,atlas,0.5343654075509804,0.07022249617295966,Norman Powell OVER PRA 24.5 (GOBLIN) [id:10644562] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151] | Jaime Jaquez OVER PRA 23.5 (STANDARD) [id:10643940],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9155058161437388,"['norman powell', 'jordan goodwin', 'jaime jaquez']",1,Norman Powell OVER PRA 24.5 (GOBLIN) [id:10644562],Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151],Jaime Jaquez OVER PRA 23.5 (STANDARD) [id:10643940],0,
