team,outs,player,stat,games_used,rate_mean,role_ctx_mult,rate_mean_ctx,scenario_probe_player,scenario_cap_base,scenario_cap_adj,scenario_n_eff,scenario_removed_budget,scenario_redistributed,role_ctx_reason,role_ctx_removed_budget,role_ctx_redistributed,role_ctx_weight,role_ctx_bump,role_ctx_outs_used_pattern,role_ctx_team,role_ctx_stat,role_ctx_base_mean,role_ctx_cap_base,role_ctx_cap_adj,role_ctx_cap_adj_pre_clamp,role_ctx_n_eff,role_ctx_depth_top_mass_n,role_ctx_depth_conc_penalty,role_ctx_cfg_depth_ref_engines,role_ctx_cfg_depth_slope,role_ctx_cfg_depth_cap_min,role_ctx_cfg_depth_cap_max,role_ctx_cfg_depth_top_k,role_ctx_cfg_depth_conc_enabled,role_ctx_cfg_depth_conc_top_n,role_ctx_cfg_depth_conc_floor,role_ctx_cfg_depth_conc_span,role_ctx_cfg_depth_conc_max_penalty,role_ctx_outs,role_ctx_mult_pre_guardrails,role_ctx_guardrails_enabled,role_ctx_guardrails_applied,role_ctx_guardrails_trigger,role_ctx_guardrails_cap_mult,role_ctx_guardrails_softness,role_ctx_outs_used_pattern_effective,role_ctx_teamshare_rel_threshold,role_ctx_teamshare_rel_wmean,role_ctx_teamshare_rel_min,role_ctx_teamshare_rel_max,role_ctx_teamshare_supported_outs,role_ctx_teamshare_support_score,role_ctx_teamshare_alpha_mult,role_ctx_teamshare_alpha_eff,role_ctx_weight_mode,role_ctx_weight_mode_str,role_ctx_blend_alpha_raw,role_ctx_usage_power,role_ctx_weight_usage,role_ctx_weight_teamshare,role_ctx_rotation_enabled,role_ctx_rot_factor,role_ctx_weight_final_sum,role_ctx_candidate_count,role_ctx_usage_g_cur_team,role_ctx_usage_w_season_used,role_ctx_usage_w_recent_used,role_ctx_usage_score_season_used,role_ctx_usage_score_recent_used,role_ctx_usage_score_blend,role_ctx_usage_mode,role_ctx_usage_lb_legacy
PHX,"Cole Anthony, Devin Booker, Grayson Allen, Isaiah Livers, Jalen Green",Jamaree Bouyea,REB,20,0.13993908265647398,1.1709045920106453,0.16385531448422264,Oso Ighodaro,0.95,0.95,6.790226841577119,10.892857142857142,10.348214285714285,ok,10.892857142857142,10.348214285714285,0.03468227786100409,0.3588996432223548,4.0,PHX,REB,2.1,0.95,0.95,0.9642441125803514,6.790226841577119,0.5213401349172683,0.017121632380144382,3.0,0.04,0.75,0.95,8.0,1.0,3.0,0.45,0.25,0.06,5.0,1.1709045920106453,1.0,0.0,outs_and_removed,1.2,0.15,4.0,0.25,1.0,1.0,1.0,4.0,1.0,1.0,0.2,blend,"blend(alpha_eff=0.20, raw=0.20, support=1.00)|usage_power=1.60|rotation_reweight",0.2,1.6,0.022830260178384843,0.053200608105550794,1.0,0.9998156162021066,0.9999999999999999,17.0,28.0,0.7,0.3,1.9285714285714286,1.7,1.8599999999999999,0.0,15.0
PHX,"Cole Anthony, Devin Booker, Grayson Allen, Isaiah Livers, Jalen Green",Jared Butler,PTS,4,0.6698529411764705,1.0597321001174795,0.7098646641228116,Oso Ighodaro,0.9,0.8850758585109703,5.29037833767739,54.692857142857136,48.40732749013213,ok,54.692857142857136,48.40732749013213,0.01912618605126813,0.9258475518209334,4.0,PHX,PTS,15.5,0.9,0.8850758585109703,0.8850758585109703,5.29037833767739,0.6100087196184605,0.038402092708430514,3.0,0.04,0.75,0.95,8.0,1.0,3.0,0.45,0.25,0.06,5.0,1.0597321001174795,1.0,0.0,outs_and_removed,1.35,0.15,4.0,0.25,1.0,1.0,1.0,4.0,1.0,1.0,0.2,blend,"blend(alpha_eff=0.20, raw=0.20, support=1.00)|usage_power=1.60|rotation_reweight",0.2,1.6,0.16110835364185416,0.2677679347173137,1.0,0.08023747536253567,1.0000000000000002,17.0,4.0,0.7,0.3,15.603066176470588,15.603066176470588,15.603066176470588,0.0,15.0
PHX,"Cole Anthony, Devin Booker, Grayson Allen, Isaiah Livers, Jalen Green",Jared Butler,AST,4,0.18537289915966387,1.0679872207868308,0.19797588738272687,Oso Ighodaro,0.85,0.8449475129018567,5.898713633638711,13.535714285714285,11.436968121064416,ok,13.535714285714285,11.436968121064416,0.025264185865120647,0.28894568834403106,4.0,PHX,AST,4.25,0.85,0.8449475129018567,0.8449475129018567,5.898713633638711,0.5838345557750748,0.032120293386017955,3.0,0.04,0.75,0.95,8.0,1.0,3.0,0.45,0.25,0.06,5.0,1.0679872207868308,1.0,0.0,outs_and_removed,1.25,0.15,4.0,0.25,1.0,1.0,1.0,4.0,1.0,1.0,0.2,blend,"blend(alpha_eff=0.20, raw=0.20, support=1.00)|usage_power=1.60|rotation_reweight",0.2,1.6,0.21772073086121846,0.2430767704937315,1.0,0.08023747536253567,1.0,17.0,4.0,0.7,0.3,4.25,4.25,4.25,0.0,15.0
PHX,"Cole Anthony, Devin Booker, Grayson Allen, Isaiah Livers, Jalen Green",Jared Butler,REB,4,0.13272058823529412,1.0280480000920333,0.13644313530633237,Oso Ighodaro,0.95,0.95,6.790226841577119,10.892857142857142,10.348214285714285,ok,10.892857142857142,10.348214285714285,0.008808862841673934,0.09115600029910793,4.0,PHX,REB,3.25,0.95,0.95,0.9642441125803514,6.790226841577119,0.5213401349172683,0.017121632380144382,3.0,0.04,0.75,0.95,8.0,1.0,3.0,0.45,0.25,0.06,5.0,1.0280480000920333,1.0,0.0,outs_and_removed,1.2,0.15,4.0,0.25,1.0,1.0,1.0,4.0,1.0,1.0,0.2,blend,"blend(alpha_eff=0.20, raw=0.20, support=1.00)|usage_power=1.60|rotation_reweight",0.2,1.6,0.05575753011802039,0.23436107735985381,1.0,0.08023747536253567,0.9999999999999999,17.0,4.0,0.7,0.3,3.25,3.25,3.25,0.0,15.0
PHX,"Cole Anthony, Devin Booker, Grayson Allen, Isaiah Livers, Jalen Green",Jordan Goodwin,PTS,20,0.34787859784510183,1.3702179756324682,0.47666950810517694,Oso Ighodaro,0.9,0.8850758585109703,5.29037833767739,54.692857142857136,48.40732749013213,ok,54.692857142857136,48.40732749013213,0.09063334190579443,4.387317863158907,4.0,PHX,PTS,9.05,0.9,0.8850758585109703,0.8850758585109703,5.29037833767739,0.6100087196184605,0.038402092708430514,3.0,0.04,0.75,0.95,8.0,1.0,3.0,0.45,0.25,0.06,5.0,1.4847865042164539,1.0,1.0,outs_and_removed,1.35,0.15,4.0,0.25,1.0,1.0,1.0,4.0,1.0,1.0,0.2,blend,"blend(alpha_eff=0.20, raw=0.20, support=1.00)|usage_power=1.60|rotation_reweight",0.2,1.6,0.07661833254434758,0.04036737609165389,1.0,0.9999942932549823,1.0000000000000002,17.0,56.0,0.7,0.3,10.084186036826242,9.155183980736904,9.80548541999944,0.0,15.0
PHX,"Cole Anthony, Devin Booker, Grayson Allen, Isaiah Livers, Jalen Green",Jordan Goodwin,AST,20,0.10974284586284652,1.2884593921270955,0.14139920047074075,Oso Ighodaro,0.85,0.8449475129018567,5.898713633638711,13.535714285714285,11.436968121064416,ok,13.535714285714285,11.436968121064416,0.10183736344748438,1.1647106792821296,4.0,PHX,AST,2.3,0.85,0.8449475129018567,0.8449475129018567,5.898713633638711,0.5838345557750748,0.032120293386017955,3.0,0.04,0.75,0.95,8.0,1.0,3.0,0.45,0.25,0.06,5.0,1.5063959475139694,1.0,1.0,outs_and_removed,1.25,0.15,4.0,0.25,1.0,1.0,1.0,4.0,1.0,1.0,0.2,blend,"blend(alpha_eff=0.20, raw=0.20, support=1.00)|usage_power=1.60|rotation_reweight",0.2,1.6,0.07925943973211487,0.04325128033676242,1.0,0.9999942932549823,1.0,17.0,56.0,0.7,0.3,2.2857142857142856,2.2,2.26,0.0,15.0
PHX,"Cole Anthony, Devin Booker, Grayson Allen, Isaiah Livers, Jalen Green",Jordan Goodwin,REB,20,0.21497293430570177,1.2137625045068612,0.2609260871440775,Oso Ighodaro,0.95,0.95,6.790226841577119,10.892857142857142,10.348214285714285,ok,10.892857142857142,10.348214285714285,0.11418275550366566,1.1815876216852543,4.0,PHX,REB,4.05,0.95,0.95,0.9642441125803514,6.790226841577119,0.5213401349172683,0.017121632380144382,3.0,0.04,0.75,0.95,8.0,1.0,3.0,0.45,0.25,0.06,5.0,1.2917500300457416,1.0,1.0,outs_and_removed,1.2,0.15,4.0,0.25,1.0,1.0,1.0,4.0,1.0,1.0,0.2,blend,"blend(alpha_eff=0.20, raw=0.20, support=1.00)|usage_power=1.60|rotation_reweight",0.2,1.6,0.10293315222841373,0.06398388335629367,1.0,0.9999942932549823,0.9999999999999999,17.0,56.0,0.7,0.3,4.625,5.1,4.7675,0.0,15.0
PHX,"Cole Anthony, Devin Booker, Grayson Allen, Isaiah Livers, Jalen Green",Khaman Maluach,PTS,20,0.21166666666666667,1.350889002742501,0.28593817224716267,Oso Ighodaro,0.9,0.8850758585109703,5.29037833767739,54.692857142857136,48.40732749013213,ok,54.692857142857136,48.40732749013213,0.023161143482276915,1.121169057592518,4.0,PHX,PTS,3.15,0.9,0.8850758585109703,0.8850758585109703,5.29037833767739,0.6100087196184605,0.038402092708430514,3.0,0.04,0.75,0.95,8.0,1.0,3.0,0.45,0.25,0.06,5.0,1.3559266849500058,1.0,1.0,outs_and_removed,1.35,0.15,4.0,0.25,1.0,1.0,1.0,4.0,1.0,1.0,0.2,blend,"blend(alpha_eff=0.20, raw=0.20, support=1.00)|usage_power=1.60|rotation_reweight",0.2,1.6,0.005246722329415627,0.07774680589044418,1.0,0.8977061394059695,1.0000000000000002,17.0,27.0,0.7,0.3,2.148961451663961,1.1032000000000002,1.8352330161647723,0.0,15.0
PHX,"Cole Anthony, Devin Booker, Grayson Allen, Isaiah Livers, Jalen Green",Khaman Maluach,AST,20,0.017499999999999998,1.1518106130800052,0.02015668572890009,Oso Ighodaro,0.85,0.8449475129018567,5.898713633638711,13.535714285714285,11.436968121064416,ok,13.535714285714285,11.436968121064416,0.0039821029001664236,0.04554318392400154,4.0,PHX,AST,0.3,0.85,0.8449475129018567,0.8449475129018567,5.898713633638711,0.5838345557750748,0.032120293386017955,3.0,0.04,0.75,0.95,8.0,1.0,3.0,0.45,0.25,0.06,5.0,1.1518106130800052,1.0,0.0,outs_and_removed,1.25,0.15,4.0,0.25,1.0,1.0,1.0,4.0,1.0,1.0,0.2,blend,"blend(alpha_eff=0.20, raw=0.20, support=1.00)|usage_power=1.60|rotation_reweight",0.2,1.6,0.0017902482009877528,0.008532503438968247,1.0,0.8977061394059695,1.0,17.0,27.0,0.7,0.3,0.25925925925925924,0.1,0.21148148148148146,0.0,15.0
PHX,"Cole Anthony, Devin Booker, Grayson Allen, Isaiah Livers, Jalen Green",Khaman Maluach,REB,20,0.20833333333333331,1.1952261658799601,0.24900545122499168,Oso Ighodaro,0.95,0.95,6.790226841577119,10.892857142857142,10.348214285714285,ok,10.892857142857142,10.348214285714285,0.038674657192440745,0.400213640053918,4.0,PHX,REB,2.05,0.95,0.95,0.9642441125803514,6.790226841577119,0.5213401349172683,0.017121632380144382,3.0,0.04,0.75,0.95,8.0,1.0,3.0,0.45,0.25,0.06,5.0,1.1952261658799601,1.0,0.0,outs_and_removed,1.2,0.15,4.0,0.25,1.0,1.0,1.0,4.0,1.0,1.0,0.2,blend,"blend(alpha_eff=0.20, raw=0.20, support=1.00)|usage_power=1.60|rotation_reweight",0.2,1.6,0.018095552780044162,0.10710664411024007,1.0,0.8977061394059695,0.9999999999999999,17.0,27.0,0.7,0.3,1.7407407407407407,1.3,1.6085185185185185,0.0,15.0
