team,forced_out,player,stat,games_used,rate_mean,role_ctx_mult,rate_mean_ctx,role_ctx_reason,role_ctx_removed_budget,role_ctx_redistributed,role_ctx_weight,role_ctx_bump,role_ctx_outs_used_pattern
CLE,Donovan Mitchell,Nae'Qwan Tomlin,AST,20,0.06474162811850973,1.3696447529767792,0.08867303125169075,ok,5.15,4.3775,0.03799888951217603,0.1663401388395506,0.0
CLE,Donovan Mitchell,Thomas Bryant,AST,20,0.07669030969030968,1.2548576682630597,0.09623542319635393,ok,5.15,4.3775,0.02328796511826931,0.1019430673052239,0.0
CLE,Donovan Mitchell,Chris Livingston,AST,5,0.039285714285714285,1.234833137185248,0.04851130181799188,ok,5.15,4.3775,0.017881830358671073,0.07827771239508263,0.0
CLE,Donovan Mitchell,Tristan Enaruna,AST,5,0.09523809523809523,1.1956942809877065,0.113875645808353,ok,5.15,4.3775,0.017881830358671073,0.07827771239508263,0.0
CLE,Donovan Mitchell,Jarrett Allen,AST,20,0.07087458017019158,1.160886997808075,0.08227737859468141,ok,5.15,4.3775,0.06064272904244973,0.2654635463833237,0.0
CLE,Donovan Mitchell,Dean Wade,AST,20,0.06321968290052997,1.1431778335846914,0.072271340138139,ok,5.15,4.3775,0.05069689138921108,0.22192564205627152,0.0
CLE,Donovan Mitchell,Jaylon Tyson,AST,20,0.09974857368604809,1.1376178680640046,0.1134757597391473,ok,5.15,4.3775,0.06130321935461079,0.26835484272480875,0.0
CLE,Donovan Mitchell,Keon Ellis,AST,20,0.033266821986636226,1.1160187522998546,0.03712639716650713,ok,5.15,4.3775,0.0463809974928031,0.20303281652474559,0.0
CLE,Donovan Mitchell,Sam Merrill,AST,20,0.08260620020634327,1.1048733979229333,0.09126939311148459,ok,5.15,4.3775,0.05629982526987846,0.24645248511889298,0.0
CLE,Donovan Mitchell,Luke Travers,AST,16,0.06912878787878787,1.1048362219577,0.07637598882851523,ok,5.15,4.3775,0.020955269951567667,0.09173169421298748,0.0
CLE,Donovan Mitchell,De'Andre Hunter,AST,20,0.07740688347806161,1.102622289320084,0.08535055506971329,ok,5.15,4.3775,0.05743566164116633,0.25142460883420564,0.0
CLE,Donovan Mitchell,Larry Nance Jr.,AST,20,0.07059406529143371,1.0912154080228074,0.07703333176098054,ok,5.15,4.3775,0.030214127157754574,0.13226234163307066,0.0
CLE,Donovan Mitchell,Evan Mobley,AST,20,0.1213996048419634,1.0836995452882485,0.13156069656540878,ok,5.15,4.3775,0.07361353497652925,0.32224324935975684,0.0
CLE,Donovan Mitchell,Chaney Johnson,AST,1,0.14285714285714285,1.0782777123950826,0.1540396731992975,ok,5.15,4.3775,0.017881830358671073,0.07827771239508263,0.0
CLE,Donovan Mitchell,Killian Hayes,AST,3,0.10317460317460318,1.0782777123950826,0.11125087508838155,ok,5.15,4.3775,0.0238424404782281,0.10437028319344352,0.0
CLE,Donovan Mitchell,Craig Porter Jr.,AST,20,0.18614940263384794,1.0691409686804512,0.1990199526512395,ok,5.15,4.3775,0.04027629243521433,0.17630947013515075,0.0
CLE,Donovan Mitchell,Tyrese Proctor,AST,20,0.14357864357864356,1.0648176970149557,0.15288508059594239,ok,5.15,4.3775,0.024431570548184317,0.10694920007467686,0.0
CLE,Donovan Mitchell,Dennis Schröder,AST,20,0.18884009410026348,1.0515328273267628,0.198571558061902,ok,5.15,4.3775,0.04414576869796921,0.19324810247536026,0.0
