n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Coby White OVER PRA 17.5 (GOBLIN) [id:10645581] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Tyler Herro OVER PR 29.5 (DEMON) [id:10644591],0.1929422501465592,6.0,1.0,6.0,1.1576535008793551,6.0,atlas,0.5837220009745077,0.05359420301434653,Coby White OVER PRA 17.5 (GOBLIN) [id:10645581] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Tyler Herro OVER PR 29.5 (DEMON) [id:10644591],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1576535008793551,"['coby white', 'tristan silva', 'tyler herro']",1,Coby White OVER PRA 17.5 (GOBLIN) [id:10645581],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],Tyler Herro OVER PR 29.5 (DEMON) [id:10644591],0,
3,Brandon Miller OVER PRA 26.5 (GOBLIN) [id:10645572] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Donte DiVincenzo OVER RA 9.5 (DEMON) [id:10649246],0.19252711632331396,6.0,1.0,6.0,1.1551626979398837,6.0,atlas,0.5861690226877837,0.055229788132993285,Brandon Miller OVER PRA 26.5 (GOBLIN) [id:10645572] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Donte DiVincenzo OVER RA 9.5 (DEMON) [id:10649246],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1551626979398837,"['brandon miller', 'tristan silva', 'donte divincenzo']",1,Brandon Miller OVER PRA 26.5 (GOBLIN) [id:10645572],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],Donte DiVincenzo OVER RA 9.5 (DEMON) [id:10649246],0,
3,Coby White OVER PA 11.5 (GOBLIN) [id:10653362] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Jalen Green OVER RA 7.5 (DEMON) [id:10649352],0.18722049354556036,6.0,1.0,6.0,1.1233229612733622,6.0,atlas,0.578558775881124,0.05403758242077363,Coby White OVER PA 11.5 (GOBLIN) [id:10653362] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Jalen Green OVER RA 7.5 (DEMON) [id:10649352],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1233229612733622,"['coby white', 'tristan silva', 'jalen green']",1,Coby White OVER PA 11.5 (GOBLIN) [id:10653362],Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741],Jalen Green OVER RA 7.5 (DEMON) [id:10649352],0,
3,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.17465235410732746,6.0,1.0,6.0,1.0479141246439647,6.0,atlas,0.5601857025535687,0.04280281894463057,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0479141246439647,"['jaime jaquez', ""kel'el ware"", 'coby white']",1,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499],Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504],Coby White OVER PRA 20.5 (DEMON) [id:10643856],0,
3,Bam Adebayo OVER RA 10.5 (GOBLIN) [id:10645565] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Coby White OVER PR 19.5 (DEMON) [id:10644475],0.17293985422032257,6.0,1.0,6.0,1.0376391253219355,6.0,atlas,0.5596613714107518,0.053113895249054945,Bam Adebayo OVER RA 10.5 (GOBLIN) [id:10645565] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Coby White OVER PR 19.5 (DEMON) [id:10644475],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0376391253219355,"['bam adebayo', ""kel'el ware"", 'coby white']",1,Bam Adebayo OVER RA 10.5 (GOBLIN) [id:10645565],Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],Coby White OVER PR 19.5 (DEMON) [id:10644475],0,
3,Ryan Kalkbrenner OVER PR 9.5 (GOBLIN) [id:10650510] | Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053] | Tyler Herro OVER PTS 25.5 (DEMON) [id:10645669],0.16951571700305698,6.0,1.0,6.0,1.0170943020183418,6.0,atlas,0.5557362776274789,0.044959169336339755,Ryan Kalkbrenner OVER PR 9.5 (GOBLIN) [id:10650510] | Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053] | Tyler Herro OVER PTS 25.5 (DEMON) [id:10645669],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0170943020183418,"['ryan kalkbrenner', 'moussa diabaté', 'tyler herro']",1,Ryan Kalkbrenner OVER PR 9.5 (GOBLIN) [id:10650510],Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053],Tyler Herro OVER PTS 25.5 (DEMON) [id:10645669],0,
3,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Grayson Allen OVER PA 18.5 (DEMON) [id:10653370],0.1691271457123525,6.0,1.0,6.0,1.014762874274115,6.0,atlas,0.5554328122772411,0.04336261323546203,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Grayson Allen OVER PA 18.5 (DEMON) [id:10653370],0.0,0.0,0.0,0.0,0.0,0,0.0,1.014762874274115,"['davion mitchell', 'moussa diabaté', 'grayson allen']",1,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],Grayson Allen OVER PA 18.5 (DEMON) [id:10653370],0,
3,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Grayson Allen OVER PA 19.5 (DEMON) [id:10652205],0.1679491663886753,6.0,1.0,6.0,1.0076949983320518,6.0,atlas,0.5542470947416462,0.042780131120533284,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Grayson Allen OVER PA 19.5 (DEMON) [id:10652205],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0076949983320518,"['davion mitchell', 'moussa diabaté', 'grayson allen']",1,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10643873],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],Grayson Allen OVER PA 19.5 (DEMON) [id:10652205],0,
3,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Bam Adebayo OVER RA 14.5 (DEMON) [id:10645566],0.1677363416646657,6.0,1.0,6.0,1.0064180499879942,6.0,atlas,0.5542023938277035,0.04437109863996089,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Bam Adebayo OVER RA 14.5 (DEMON) [id:10645566],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0064180499879942,"['ryan kalkbrenner', 'moussa diabaté', 'bam adebayo']",1,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],Bam Adebayo OVER RA 14.5 (DEMON) [id:10645566],0,
3,Brandon Miller OVER PTS 18.5 (GOBLIN) [id:10645676] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Norman Powell OVER PTS 24.5 (DEMON) [id:10644077],0.16739242909772975,6.0,1.0,6.0,1.0043545745863784,6.0,atlas,0.5540991273093266,0.03479024856185405,Brandon Miller OVER PTS 18.5 (GOBLIN) [id:10645676] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Norman Powell OVER PTS 24.5 (DEMON) [id:10644077],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0043545745863784,"['brandon miller', ""kel'el ware"", 'norman powell']",1,Brandon Miller OVER PTS 18.5 (GOBLIN) [id:10645676],Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],Norman Powell OVER PTS 24.5 (DEMON) [id:10644077],0,
3,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | Kon Knueppel OVER PTS 22.5 (DEMON) [id:10645614],0.16671268437838394,6.0,1.0,6.0,1.0002761062703036,6.0,atlas,0.5531112377041353,0.032268704198212046,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | Kon Knueppel OVER PTS 22.5 (DEMON) [id:10645614],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0002761062703036,"['norman powell', ""kel'el ware"", 'kon knueppel']",1,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080],Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551],Kon Knueppel OVER PTS 22.5 (DEMON) [id:10645614],0,
