slip,high_confidence,hit_prob,payout_mult,ev,player,team,opp,stat,direction,tier,line,p_cal
3-leg,True,0.614,1.931,1.1856,Derik Queen,NOP,NYK,PTS,OVER,GOBLIN,4.5,0.8019
3-leg,True,0.614,1.931,1.1856,Dennis Schröder,CLE,ORL,REB,UNDER,STANDARD,1.5,0.8382
3-leg,True,0.614,1.931,1.1856,Malik Monk,SAC,CHA,PR,UNDER,STANDARD,17.5,0.7551
4-leg,True,0.3663,1.897,0.695,Jeremiah Fears,NOP,NYK,RA,OVER,GOBLIN,3.5,0.8474
4-leg,True,0.3663,1.897,0.695,LaMelo Ball,CHA,SAC,PRA,OVER,GOBLIN,24.5,0.8647
4-leg,True,0.3663,1.897,0.695,Miles Bridges,CHA,SAC,RA,UNDER,STANDARD,7.5,0.6596
4-leg,True,0.3663,1.897,0.695,Max Strus,CLE,ORL,PA,UNDER,STANDARD,10.5,0.8107
5-leg,True,0.2151,2.145,0.4612,Grayson Allen,PHX,DEN,PTS,OVER,GOBLIN,9.5,0.7475
5-leg,True,0.2151,2.145,0.4612,Herbert Jones,NOP,NYK,PA,OVER,GOBLIN,7.5,0.8315
5-leg,True,0.2151,2.145,0.4612,Mitchell Robinson,NYK,NOP,REB,UNDER,STANDARD,8.5,0.8136
5-leg,True,0.2151,2.145,0.4612,Sion James,CHA,SAC,RA,UNDER,STANDARD,5.5,0.8014
5-leg,True,0.2151,2.145,0.4612,Coby White,CHA,SAC,PR,OVER,DEMON,19.5,0.6129
