category,mode,n_legs,slip_count,mean_hit_prob,mean_ev_mult,strict_win_rate,mean_q_leg_count
system,ev,3,130,0.283767,1.993167,0.137626,0.0
system,ev,4,130,0.267401,1.926783,0.060714,0.0
system,ev,5,130,0.242178,2.208696,0.130952,0.0
system,winprob,3,130,0.559376,3.356256,0.364394,0.0
system,winprob,4,130,0.451335,4.513351,0.34228,0.0
system,winprob,5,130,0.365878,7.317558,0.244949,0.0
top,ev,3,130,0.283767,1.993167,0.137626,0.0
top,ev,4,130,0.267401,1.926783,0.060714,0.0
top,ev,5,130,0.242178,2.208696,0.130952,0.0
top,winprob,3,130,0.559376,3.356256,0.364394,0.0
top,winprob,4,130,0.451335,4.513351,0.34228,0.0
top,winprob,5,130,0.365878,7.317558,0.244949,0.0
windfall,ev,3,130,0.166468,1.152513,0.204004,0.0
windfall,ev,4,130,0.094015,1.397939,0.064394,0.0
windfall,ev,5,130,0.075026,1.47215,0.030303,0.0
windfall,winprob,3,130,0.473371,2.840228,0.371717,0.0
windfall,winprob,4,130,0.356447,3.564466,0.240657,0.0
windfall,winprob,5,130,0.292814,5.856286,0.118182,0.0
