run_id,mean_hit,mean_p_adj,mean_p_cal,brier_p_adj,brier_p_cal,games_used_lt5_share,role_ctx_outs_used_share
20260314_113758,0.428571,0.389432,0.401237,0.225167,0.228257,0.0,0.264402
20260314_114103,0.381176,0.382028,0.392369,0.206496,0.206286,0.002386,0.243359
20260314_114318,0.45552,0.391426,0.399585,0.205436,0.203659,0.0,0.163181
20260314_114628,0.413687,0.384072,0.394815,0.196673,0.197624,0.0,0.219811
20260314_115015,0.407324,0.383478,0.393975,0.203222,0.203041,0.006449,0.239802
20260314_115305,0.419082,0.379814,0.38267,0.213969,0.212953,0.0,0.059911
20260314_115821,0.412601,0.399979,0.414201,0.2138,0.214649,0.007025,0.324025
20260314_120124,0.395634,0.398374,0.399686,0.206237,0.205764,0.0,0.023433
20260314_120422,0.432706,0.393895,0.406068,0.225375,0.225952,0.013826,0.273948
20260314_120717,0.441871,0.407913,0.416755,0.201396,0.200108,0.009376,0.185895
20260314_121003,0.427598,0.388613,0.397363,0.217595,0.21722,0.006081,0.188507
20260314_121303,0.427282,0.410094,0.417913,0.207129,0.205723,0.014657,0.172224
20260314_121537,0.435122,0.360982,0.3648,0.228184,0.228249,0.0,0.080932
