slip,high_confidence,hit_prob,payout_mult,ev,player,team,opp,stat,direction,tier,line,p_cal
3-leg,True,0.583,1.931,1.1257,Aaron Gordon,DEN,MIN,RA,OVER,GOBLIN,5.5,0.8501
3-leg,True,0.583,1.931,1.1257,Naz Reid,MIN,DEN,REB,UNDER,STANDARD,6.0,0.7377
3-leg,True,0.583,1.931,1.1257,Mitchell Robinson,NYK,ATL,REB,UNDER,STANDARD,6.0,0.8392
4-leg,True,0.3919,1.897,0.7437,Ayo Dosunmu,MIN,DEN,PA,OVER,GOBLIN,19.5,0.8307
4-leg,True,0.3919,1.897,0.7437,Bones Hyland,MIN,DEN,PTS,OVER,GOBLIN,7.5,0.801
4-leg,True,0.3919,1.897,0.7437,Derrick White,BOS,PHI,PRA,UNDER,STANDARD,19.5,0.7657
4-leg,True,0.3919,1.897,0.7437,Jalen Johnson,ATL,NYK,PA,UNDER,STANDARD,25.5,0.7921
5-leg,True,0.1402,2.145,0.3006,Bruce Brown,DEN,MIN,PTS,OVER,GOBLIN,3.5,0.7542
5-leg,True,0.1402,2.145,0.3006,CJ McCollum,ATL,NYK,PR,OVER,GOBLIN,19.5,0.6773
5-leg,True,0.1402,2.145,0.3006,Quentin Grimes,PHI,BOS,PRA,UNDER,STANDARD,11.5,0.6758
5-leg,True,0.1402,2.145,0.3006,Tyrese Maxey,PHI,BOS,PR,UNDER,STANDARD,29.5,0.7809
5-leg,True,0.1402,2.145,0.3006,Cameron Johnson,DEN,MIN,PA,OVER,DEMON,16.5,0.6065
