_ep_player,_ep_stat,_ep_tier,_ep_dir,_ep_line,mu,edge_at_pp_line,implied_direction,apply_prior,external_prior_score,external_prior_n,external_prior_sources,delta_p
Jalen Johnson,PTS,STANDARD,OVER,22.5,20.933085664744013,-1.5669143352559871,UNDER,False,0.0,0,rotowire,0.0
Jalen Johnson,PTS,STANDARD,UNDER,22.5,20.933085664744013,-1.5669143352559871,UNDER,True,-0.4794768868988534,1,rotowire,-0.014384306606965602
Paolo Banchero,PRA,DEMON,OVER,49.5,37.64175933111143,-11.85824066888857,UNDER,False,0.0,0,rotowire,0.0
Paolo Banchero,PR,DEMON,OVER,44.5,33.20257204019296,-11.297427959807038,UNDER,False,0.0,0,rotowire,0.0
Paolo Banchero,PRA,DEMON,OVER,44.5,37.64175933111143,-6.85824066888857,UNDER,False,0.0,0,rotowire,0.0
Desmond Bane,PRA,DEMON,OVER,39.5,29.13631085528169,-10.363689144718311,UNDER,False,0.0,0,rotowire,0.0
Paolo Banchero,PA,DEMON,OVER,39.5,28.54126837956464,-10.958731620435358,UNDER,False,0.0,0,rotowire,0.0
Paolo Banchero,PR,DEMON,OVER,39.5,33.20257204019296,-6.297427959807038,UNDER,False,0.0,0,rotowire,0.0
Paolo Banchero,PRA,STANDARD,OVER,38.5,37.64175933111143,-0.8582406688885698,UNDER,False,0.0,0,rotowire,0.0
Paolo Banchero,PRA,STANDARD,UNDER,38.5,37.64175933111143,-0.8582406688885698,UNDER,True,-0.27852307434670354,1,rotowire,-0.008355692230401106
Desmond Bane,PRA,DEMON,OVER,35.5,29.13631085528169,-6.363689144718311,UNDER,False,0.0,0,rotowire,0.0
Paolo Banchero,PRA,GOBLIN,OVER,35.5,37.64175933111143,2.1417593311114302,OVER,True,0.6131289401120893,1,rotowire,0.018393868203362678
Desmond Bane,PA,DEMON,OVER,34.5,23.38848186912668,-11.111518130873321,UNDER,False,0.0,0,rotowire,0.0
Desmond Bane,PR,DEMON,OVER,34.5,24.985054283345672,-9.514945716654328,UNDER,False,0.0,0,rotowire,0.0
Desmond Bane,PRA,DEMON,OVER,34.5,29.13631085528169,-5.363689144718311,UNDER,False,0.0,0,rotowire,0.0
Jalen Suggs,PRA,DEMON,OVER,34.5,22.774397097429777,-11.725602902570223,UNDER,False,0.0,0,rotowire,0.0
Paolo Banchero,PA,DEMON,OVER,34.5,28.54126837956464,-5.958731620435358,UNDER,False,0.0,0,rotowire,0.0
Paolo Banchero,PRA,GOBLIN,OVER,34.5,37.64175933111143,3.1417593311114302,OVER,True,0.780736129440615,1,rotowire,0.02342208388321845
Paolo Banchero,PTS,DEMON,OVER,34.5,24.102081088646173,-10.397918911353827,UNDER,False,0.0,0,rotowire,0.0
Paolo Banchero,PR,STANDARD,OVER,33.5,33.20257204019296,-0.2974279598070382,UNDER,False,0.0,0,rotowire,0.0
Paolo Banchero,PR,STANDARD,UNDER,33.5,33.20257204019296,-0.2974279598070382,UNDER,True,-0.09881909219629298,1,rotowire,-0.0029645727658887894
Paolo Banchero,PA,DEMON,OVER,33.5,28.54126837956464,-4.958731620435358,UNDER,False,0.0,0,rotowire,0.0
Desmond Bane,PRA,STANDARD,OVER,31.5,29.13631085528169,-2.363689144718311,UNDER,False,0.0,0,rotowire,0.0
Desmond Bane,PRA,STANDARD,UNDER,31.5,29.13631085528169,-2.363689144718311,UNDER,True,-0.6572156902152764,1,rotowire,-0.01971647070645829
Desmond Bane,PA,DEMON,OVER,31.5,23.38848186912668,-8.111518130873321,UNDER,False,0.0,0,rotowire,0.0
Desmond Bane,PR,DEMON,OVER,31.5,24.985054283345672,-6.514945716654328,UNDER,False,0.0,0,rotowire,0.0
Desmond Bane,PTS,DEMON,OVER,29.5,19.237225297190665,-10.262774702809335,UNDER,False,0.0,0,rotowire,0.0
Paolo Banchero,PTS,DEMON,OVER,29.5,24.102081088646173,-5.397918911353827,UNDER,False,0.0,0,rotowire,0.0
Paolo Banchero,PA,STANDARD,OVER,29.5,28.54126837956464,-0.9587316204353584,UNDER,False,0.0,0,rotowire,0.0
Paolo Banchero,PA,STANDARD,UNDER,29.5,28.54126837956464,-0.9587316204353584,UNDER,True,-0.30912457929149084,1,rotowire,-0.009273737378744725
Desmond Bane,PA,DEMON,OVER,29.5,23.38848186912668,-6.111518130873321,UNDER,False,0.0,0,rotowire,0.0
Desmond Bane,PR,DEMON,OVER,29.5,24.985054283345672,-4.514945716654328,UNDER,False,0.0,0,rotowire,0.0
Desmond Bane,PRA,GOBLIN,OVER,29.5,29.13631085528169,-0.36368914471831104,UNDER,False,0.0,0,rotowire,0.0
Jalen Suggs,PA,DEMON,OVER,29.5,18.1414444286772,-11.3585555713228,UNDER,False,0.0,0,rotowire,0.0
Jalen Suggs,PRA,DEMON,OVER,29.5,22.774397097429777,-6.725602902570223,UNDER,False,0.0,0,rotowire,0.0
Paolo Banchero,PR,GOBLIN,OVER,29.5,33.20257204019296,3.702572040192962,OVER,True,0.8437905906100875,1,rotowire,0.025313717718302625
Trae Young,PRA,DEMON,OVER,29.5,,,,False,0.0,0,,0.0
Trae Young,PA,DEMON,OVER,29.5,,,,False,0.0,0,,0.0
Wendell Carter,PR,DEMON,OVER,29.5,20.39967858484112,-9.10032141515888,UNDER,False,0.0,0,rotowire,0.0
Jalen Suggs,PRA,DEMON,OVER,28.5,22.774397097429777,-5.725602902570223,UNDER,False,0.0,0,rotowire,0.0
Paolo Banchero,PR,GOBLIN,OVER,28.5,33.20257204019296,4.702572040192962,OVER,True,0.9166310262186725,1,rotowire,0.027498930786560176
Desmond Bane,PA,STANDARD,OVER,27.5,23.38848186912668,-4.111518130873321,UNDER,False,0.0,0,rotowire,0.0
Desmond Bane,PA,STANDARD,UNDER,27.5,23.38848186912668,-4.111518130873321,UNDER,True,-0.8788074694574277,1,rotowire,-0.02636422408372283
Desmond Bane,PR,STANDARD,OVER,27.5,24.985054283345672,-2.514945716654328,UNDER,False,0.0,0,rotowire,0.0
Desmond Bane,PR,STANDARD,UNDER,27.5,24.985054283345672,-2.514945716654328,UNDER,True,-0.6849156702642571,1,rotowire,-0.020547470107927714
Paolo Banchero,PTS,DEMON,OVER,27.5,24.102081088646173,-3.397918911353827,UNDER,False,0.0,0,rotowire,0.0
Paolo Banchero,PA,GOBLIN,OVER,27.5,28.54126837956464,1.0412683795646416,OVER,True,0.333791805188688,1,rotowire,0.01001375415566064
Desmond Bane,PTS,DEMON,OVER,26.5,19.237225297190665,-7.262774702809335,UNDER,False,0.0,0,rotowire,0.0
Wendell Carter,PRA,DEMON,OVER,26.5,22.49155050464967,-4.00844949535033,UNDER,False,0.0,0,rotowire,0.0
Desmond Bane,PTS,DEMON,OVER,24.5,19.237225297190665,-5.262774702809335,UNDER,False,0.0,0,rotowire,0.0
Jalen Suggs,PRA,STANDARD,OVER,24.5,22.774397097429777,-1.7256029025702233,UNDER,False,0.0,0,rotowire,0.0
Jalen Suggs,PRA,STANDARD,UNDER,24.5,22.774397097429777,-1.7256029025702233,UNDER,True,-0.5191686487380932,1,rotowire,-0.015575059462142795
Paolo Banchero,PTS,STANDARD,OVER,24.5,24.102081088646173,-0.39791891135382684,UNDER,False,0.0,0,rotowire,0.0
Paolo Banchero,PTS,STANDARD,UNDER,24.5,24.102081088646173,-0.39791891135382684,UNDER,True,-0.13186721728988895,1,rotowire,-0.003956016518696669
Desmond Bane,PA,GOBLIN,OVER,24.5,23.38848186912668,-1.1115181308733213,UNDER,False,0.0,0,rotowire,0.0
Desmond Bane,PR,GOBLIN,OVER,24.5,24.985054283345672,0.48505428334567213,OVER,True,0.1602904206612385,1,rotowire,0.004808712619837154
Desmond Bane,PRA,GOBLIN,OVER,24.5,29.13631085528169,4.636310855281689,OVER,True,0.9130294579139622,1,rotowire,0.027390883737418863
Jalen Suggs,PA,DEMON,OVER,24.5,18.1414444286772,-6.3585555713228,UNDER,False,0.0,0,rotowire,0.0
Jalen Suggs,PR,DEMON,OVER,24.5,18.39393804716161,-6.106061952838392,UNDER,False,0.0,0,rotowire,0.0
Paolo Banchero,PA,GOBLIN,OVER,24.5,28.54126837956464,4.041268379564642,OVER,True,0.8733645604666209,1,rotowire,0.026200936813998627
Wendell Carter,PR,DEMON,OVER,24.5,20.39967858484112,-4.100321415158881,UNDER,False,0.0,0,rotowire,0.0
Alex Sarr,PR,DEMON,OVER,24.5,26.07216544755936,1.5721654475593603,OVER,True,0.4808237190580014,1,rotowire,0.014424711571740042
Alex Sarr,PRA,DEMON,OVER,24.5,29.08438713669139,4.58438713669139,OVER,True,0.9101038770475913,1,rotowire,0.02730311631142774
Trae Young,PA,DEMON,OVER,24.5,,,,False,0.0,0,,0.0
Trae Young,PRA,DEMON,OVER,24.5,,,,False,0.0,0,,0.0
Will Riley,PR,DEMON,OVER,24.5,13.757516339749898,-10.742483660250102,UNDER,False,0.0,0,rotowire,0.0
Tristan Silva,PRA,DEMON,OVER,24.5,,,,False,0.0,0,,0.0
Wendell Carter,PRA,DEMON,OVER,24.5,22.49155050464967,-2.0084494953503302,UNDER,False,0.0,0,rotowire,0.0
Tristan Silva,PR,DEMON,OVER,24.5,,,,False,0.0,0,,0.0
Will Riley,PA,DEMON,OVER,24.5,12.068104807237106,-12.431895192762894,UNDER,False,0.0,0,rotowire,0.0
Trae Young,PR,DEMON,OVER,24.5,,,,False,0.0,0,,0.0
Will Riley,PRA,DEMON,OVER,23.5,15.436493951834136,-8.063506048165864,UNDER,False,0.0,0,rotowire,0.0
Desmond Bane,PA,GOBLIN,OVER,23.5,23.38848186912668,-0.1115181308733213,UNDER,False,0.0,0,rotowire,0.0
Desmond Bane,PR,GOBLIN,OVER,23.5,24.985054283345672,1.4850542833456721,OVER,True,0.45819014054964263,1,rotowire,0.013745704216489279
Jalen Suggs,PA,DEMON,OVER,23.5,18.1414444286772,-5.3585555713228,UNDER,False,0.0,0,rotowire,0.0
Desmond Bane,PTS,STANDARD,OVER,22.5,19.237225297190665,-3.2627747028093346,UNDER,False,0.0,0,rotowire,0.0
Desmond Bane,PTS,STANDARD,UNDER,22.5,19.237225297190665,-3.2627747028093346,UNDER,True,-0.7959974133489179,1,rotowire,-0.02387992240046754
