run_id,mean_hit,mean_p_adj,mean_p_cal,brier_p_adj,brier_p_cal,games_used_lt5_share,role_ctx_outs_used_share
20260312_194905,0.428571,0.389248,0.400412,0.225167,0.228027,0.0,0.264402
20260312_195145,0.381176,0.381805,0.391444,0.206529,0.206545,0.002386,0.243359
20260312_195350,0.45552,0.391269,0.398755,0.205442,0.203754,0.0,0.163181
20260312_195603,0.413687,0.383864,0.393907,0.196713,0.197643,0.0,0.219811
20260312_195847,0.407324,0.38328,0.39309,0.203201,0.203077,0.006449,0.239802
20260312_200101,0.419082,0.379596,0.38184,0.213953,0.212944,0.0,0.059911
20260312_200410,0.412601,0.39982,0.413353,0.213781,0.2146,0.007025,0.324025
20260312_200652,0.395634,0.398222,0.398901,0.206229,0.205878,0.0,0.023433
20260312_200951,0.432706,0.393747,0.405274,0.225337,0.225907,0.013826,0.273948
20260312_201259,0.441871,0.407797,0.415938,0.201391,0.200192,0.009376,0.185895
20260312_201538,0.427598,0.388429,0.396543,0.217547,0.217157,0.006081,0.188507
20260312_201810,0.427282,0.409976,0.417171,0.20713,0.2058,0.014657,0.172224
20260312_202020,0.435122,0.360715,0.363817,0.228052,0.228077,0.0,0.080932
