n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Coby White OVER PR 14.5 (GOBLIN) [id:10644474] | Norman Powell OVER PTS 17.5 (GOBLIN) [id:10644555] | Rudy Gobert OVER REB 11.5 (STANDARD) [id:10649561] | Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136],0.12064478150241256,10.0,1.0,10.0,1.2064478150241256,10.0,atlas,0.5893757217424187,0.0657634709501426,Coby White OVER PR 14.5 (GOBLIN) [id:10644474] | Norman Powell OVER PTS 17.5 (GOBLIN) [id:10644555] | Rudy Gobert OVER REB 11.5 (STANDARD) [id:10649561] | Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2064478150241256,"['coby white', 'norman powell', 'rudy gobert', 'ryan kalkbrenner']",1,Coby White OVER PR 14.5 (GOBLIN) [id:10644474],Norman Powell OVER PTS 17.5 (GOBLIN) [id:10644555],Rudy Gobert OVER REB 11.5 (STANDARD) [id:10649561],Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136],0,
4,LaMelo Ball OVER PTS 17.5 (GOBLIN) [id:10644522] | Collin Gillespie OVER PTS 8.5 (GOBLIN) [id:10650223] | Jaime Jaquez OVER PA 18.5 (STANDARD) [id:10643938] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],0.11777030386432467,10.0,1.0,10.0,1.1777030386432468,10.0,atlas,0.5858417601268934,0.07237249516322929,LaMelo Ball OVER PTS 17.5 (GOBLIN) [id:10644522] | Collin Gillespie OVER PTS 8.5 (GOBLIN) [id:10650223] | Jaime Jaquez OVER PA 18.5 (STANDARD) [id:10643938] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1777030386432468,"['lamelo ball', 'collin gillespie', 'jaime jaquez', 'grayson allen']",1,LaMelo Ball OVER PTS 17.5 (GOBLIN) [id:10644522],Collin Gillespie OVER PTS 8.5 (GOBLIN) [id:10650223],Jaime Jaquez OVER PA 18.5 (STANDARD) [id:10643938],Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],0,
4,Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10644137] | Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534] | Kel'el Ware OVER PTS 12 (STANDARD) [id:10650500] | LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003],0.1170419730025615,10.0,1.0,10.0,1.170419730025615,10.0,atlas,0.5850085698929205,0.07082865594476098,Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10644137] | Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534] | Kel'el Ware OVER PTS 12 (STANDARD) [id:10650500] | LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003],0.0,0.0,0.0,0.0,0.0,0,0.0,1.170419730025615,"['ryan kalkbrenner', 'miles bridges', ""kel'el ware"", 'lamelo ball']",1,Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10644137],Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10644534],Kel'el Ware OVER PTS 12 (STANDARD) [id:10650500],LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003],0,
4,Coby White OVER PA 14.5 (GOBLIN) [id:10644471] | Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Naz Reid OVER PR 21.5 (STANDARD) [id:10649429] | Kon Knueppel OVER PTS 19 (STANDARD) [id:10643966],0.11640785541892894,10.0,1.0,10.0,1.1640785541892893,10.0,atlas,0.5841901215940047,0.07641097834456308,Coby White OVER PA 14.5 (GOBLIN) [id:10644471] | Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Naz Reid OVER PR 21.5 (STANDARD) [id:10649429] | Kon Knueppel OVER PTS 19 (STANDARD) [id:10643966],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1640785541892893,"['coby white', 'jaime jaquez', 'naz reid', 'kon knueppel']",1,Coby White OVER PA 14.5 (GOBLIN) [id:10644471],Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499],Naz Reid OVER PR 21.5 (STANDARD) [id:10649429],Kon Knueppel OVER PTS 19 (STANDARD) [id:10643966],0,
4,Moussa Diabaté OVER REB 7.5 (GOBLIN) [id:10644062] | Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225] | Tyler Herro OVER PR 27 (STANDARD) [id:10644162] | Miles Bridges OVER PTS 15.5 (STANDARD) [id:10644026],0.11625308726182804,10.0,1.0,10.0,1.1625308726182804,10.0,atlas,0.5839669312964171,0.07544210750171407,Moussa Diabaté OVER REB 7.5 (GOBLIN) [id:10644062] | Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225] | Tyler Herro OVER PR 27 (STANDARD) [id:10644162] | Miles Bridges OVER PTS 15.5 (STANDARD) [id:10644026],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1625308726182804,"['moussa diabaté', 'collin gillespie', 'tyler herro', 'miles bridges']",1,Moussa Diabaté OVER REB 7.5 (GOBLIN) [id:10644062],Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225],Tyler Herro OVER PR 27 (STANDARD) [id:10644162],Miles Bridges OVER PTS 15.5 (STANDARD) [id:10644026],0,
4,Royce O'Neale OVER PA 7.5 (GOBLIN) [id:10652498] | Rudy Gobert OVER REB 10.5 (GOBLIN) [id:10649560] | Brandon Miller OVER PTS 21.5 (STANDARD) [id:10643825] | Norman Powell OVER PTS 21 (STANDARD) [id:10644079],0.11605195526250704,10.0,1.0,10.0,1.1605195526250704,10.0,atlas,0.5837340258971896,0.0628946009863024,Royce O'Neale OVER PA 7.5 (GOBLIN) [id:10652498] | Rudy Gobert OVER REB 10.5 (GOBLIN) [id:10649560] | Brandon Miller OVER PTS 21.5 (STANDARD) [id:10643825] | Norman Powell OVER PTS 21 (STANDARD) [id:10644079],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1605195526250704,"[""royce o'neale"", 'rudy gobert', 'brandon miller', 'norman powell']",1,Royce O'Neale OVER PA 7.5 (GOBLIN) [id:10652498],Rudy Gobert OVER REB 10.5 (GOBLIN) [id:10649560],Brandon Miller OVER PTS 21.5 (STANDARD) [id:10643825],Norman Powell OVER PTS 21 (STANDARD) [id:10644079],0,
4,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225] | Davion Mitchell OVER PTS 8 (STANDARD) [id:10643883] | Kel'el Ware OVER REB 10.5 (STANDARD) [id:10650505],0.11558586918612565,10.0,1.0,10.0,1.1558586918612566,10.0,atlas,0.5831746697926976,0.062173872849177976,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225] | Davion Mitchell OVER PTS 8 (STANDARD) [id:10643883] | Kel'el Ware OVER REB 10.5 (STANDARD) [id:10650505],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1558586918612566,"[""royce o'neale"", 'collin gillespie', 'davion mitchell', ""kel'el ware""]",1,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155],Collin Gillespie OVER PRA 16.5 (GOBLIN) [id:10650225],Davion Mitchell OVER PTS 8 (STANDARD) [id:10643883],Kel'el Ware OVER REB 10.5 (STANDARD) [id:10650505],0,
4,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | Collin Gillespie OVER FG3M 1.5 (GOBLIN) [id:10649127] | LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003] | Kel'el Ware OVER PTS 12 (STANDARD) [id:10650500],0.11555809607411462,10.0,1.0,10.0,1.1555809607411462,10.0,atlas,0.5831213409152836,0.06950009349642886,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | Collin Gillespie OVER FG3M 1.5 (GOBLIN) [id:10649127] | LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003] | Kel'el Ware OVER PTS 12 (STANDARD) [id:10650500],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1555809607411462,"['ryan kalkbrenner', 'collin gillespie', 'lamelo ball', ""kel'el ware""]",1,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753],Collin Gillespie OVER FG3M 1.5 (GOBLIN) [id:10649127],LaMelo Ball OVER PRA 32.5 (STANDARD) [id:10644003],Kel'el Ware OVER PTS 12 (STANDARD) [id:10650500],0,
4,Norman Powell OVER PTS 19.5 (GOBLIN) [id:10644383] | Devin Booker OVER PRA 29.5 (GOBLIN) [id:10652479] | Coby White OVER PR 15.5 (STANDARD) [id:10643855] | Kel'el Ware OVER PR 22.5 (STANDARD) [id:10650504],0.11554675581391279,10.0,1.0,10.0,1.1554675581391278,10.0,atlas,0.5830742451497279,0.08610716489088359,Norman Powell OVER PTS 19.5 (GOBLIN) [id:10644383] | Devin Booker OVER PRA 29.5 (GOBLIN) [id:10652479] | Coby White OVER PR 15.5 (STANDARD) [id:10643855] | Kel'el Ware OVER PR 22.5 (STANDARD) [id:10650504],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1554675581391278,"['norman powell', 'devin booker', 'coby white', ""kel'el ware""]",1,Norman Powell OVER PTS 19.5 (GOBLIN) [id:10644383],Devin Booker OVER PRA 29.5 (GOBLIN) [id:10652479],Coby White OVER PR 15.5 (STANDARD) [id:10643855],Kel'el Ware OVER PR 22.5 (STANDARD) [id:10650504],0,
4,Kel'el Ware OVER REB 8.5 (GOBLIN) [id:10650537] | Tyler Herro OVER PRA 29.5 (GOBLIN) [id:10644594] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364] | Jalen Green OVER PRA 29.5 (STANDARD) [id:10649341],0.11544195948334768,10.0,1.0,10.0,1.1544195948334768,10.0,atlas,0.5830256819739754,0.0758792457006322,Kel'el Ware OVER REB 8.5 (GOBLIN) [id:10650537] | Tyler Herro OVER PRA 29.5 (GOBLIN) [id:10644594] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364] | Jalen Green OVER PRA 29.5 (STANDARD) [id:10649341],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1544195948334768,"[""kel'el ware"", 'tyler herro', 'ryan kalkbrenner', 'jalen green']",1,Kel'el Ware OVER REB 8.5 (GOBLIN) [id:10650537],Tyler Herro OVER PRA 29.5 (GOBLIN) [id:10644594],Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],Jalen Green OVER PRA 29.5 (STANDARD) [id:10649341],0,
4,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | Coby White OVER PTS 10.5 (GOBLIN) [id:10653645] | LaMelo Ball OVER PR 25.5 (STANDARD) [id:10644002] | Tyler Herro OVER PA 25.5 (STANDARD) [id:10644161],0.11496790587479959,10.0,1.0,10.0,1.149679058747996,10.0,atlas,0.582382125969344,0.09116675199126292,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514] | Coby White OVER PTS 10.5 (GOBLIN) [id:10653645] | LaMelo Ball OVER PR 25.5 (STANDARD) [id:10644002] | Tyler Herro OVER PA 25.5 (STANDARD) [id:10644161],0.0,0.0,0.0,0.0,0.0,0,0.0,1.149679058747996,"['kon knueppel', 'coby white', 'lamelo ball', 'tyler herro']",1,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10644514],Coby White OVER PTS 10.5 (GOBLIN) [id:10653645],LaMelo Ball OVER PR 25.5 (STANDARD) [id:10644002],Tyler Herro OVER PA 25.5 (STANDARD) [id:10644161],0,
