run_id,mean_hit,mean_p_adj,mean_p_cal,brier_p_adj,brier_p_cal,games_used_lt5_share,role_ctx_outs_used_share
20260313_134558,0.428571,0.389248,0.401086,0.225167,0.228257,0.0,0.264402
20260313_134905,0.381176,0.381805,0.392209,0.206529,0.206318,0.002386,0.243359
20260313_135200,0.45552,0.391269,0.399435,0.205442,0.203654,0.0,0.163181
20260313_135503,0.413687,0.383864,0.394608,0.196713,0.19766,0.0,0.219811
20260313_135826,0.407324,0.38328,0.393816,0.203201,0.203016,0.006449,0.239802
20260313_140115,0.419082,0.379596,0.382464,0.213953,0.21294,0.0,0.059911
20260313_140530,0.412601,0.39982,0.414095,0.213781,0.214642,0.007025,0.324025
20260313_140829,0.395634,0.398222,0.39954,0.206229,0.20576,0.0,0.023433
20260313_141144,0.432706,0.393747,0.405947,0.225337,0.225912,0.013826,0.273948
20260313_141545,0.441871,0.407797,0.416657,0.201391,0.200107,0.009376,0.185895
20260313_141901,0.427598,0.388429,0.3972,0.217547,0.217183,0.006081,0.188507
20260313_142201,0.427282,0.409976,0.417819,0.20713,0.205725,0.014657,0.172224
20260313_142438,0.435122,0.360715,0.364543,0.228052,0.228128,0.0,0.080932
