projection_id,source_projection_id,player,team,stat,stat_raw,stat_is_canonical,line,direction,tier,more_allowed,less_allowed,main_line,alt_line,is_main,odds_type,start_time,updated_at,game_date,opp,home,minutes_s,p,p_close,fragility,fragility_abs,is_star,q_blowout,min_mean,min_std,rate_mean,rate_std,games_used,data_health_flag,p_adj,rpd_active,rpd_last10_hitrate,rpd_z,rpd_delta_p,telemetry_k_shrink,telemetry_under_penalty,telemetry_mult,prop_key,external_prior_score,external_prior_n,external_prior_sources,external_prior_epsilon
9869789|AJ Green|PRA|STANDARD|15.5|OVER,9869789,AJ Green,MIL,PRA,PTS+REBS+ASTS,1,15.5,OVER,STANDARD,1,0,15.5,0,0,standard,2026-02-12T19:40:00.000-05:00,2026-02-12T23:19:14.155000+00:00,2026-02-12,,0,1.0,0.46180763847230555,0.46060787842431516,0.0,0.0,False,0.0,32.2,5.853204250664759,0.46899403950039675,0.16291421028045813,20,OK,0.4732653469306139,0,0.6,,0.0,0.7,0.9,1.0,AJ Green|PRA|OVER|15.5|STANDARD,0.782423236043605,1,rotowire,0.03
9871577|AJ Green|PRA|DEMON|19.5|OVER,9871577,AJ Green,MIL,PRA,PTS+REBS+ASTS,1,19.5,OVER,DEMON,1,0,19.5,0,0,demon,2026-02-12T19:40:00.000-05:00,2026-02-12T19:33:13.265000+00:00,2026-02-12,,0,1.0,0.23665266946610677,0.22925414917016596,0.0,0.0,False,0.0,32.2,5.853204250664759,0.46899403950039675,0.16291421028045813,20,OK,0.3090305938812238,0,0.4,,0.0,0.7,0.9,1.0,AJ Green|PRA|OVER|19.5|DEMON,0.0,0,rotowire,0.03
9871578|AJ Green|PRA|DEMON|24.5|OVER,9871578,AJ Green,MIL,PRA,PTS+REBS+ASTS,1,24.5,OVER,DEMON,1,0,24.5,0,0,demon,2026-02-12T19:40:00.000-05:00,2026-02-12T19:33:13.260000+00:00,2026-02-12,,0,1.0,0.07408518296340731,0.07088582283543292,0.0,0.0,False,0.0,32.2,5.853204250664759,0.46899403950039675,0.16291421028045813,20,OK,0.1997852429514097,0,0.1,,0.0,0.7,0.9,1.0,AJ Green|PRA|OVER|24.5|DEMON,0.0,0,rotowire,0.03
9869789|AJ Green|PRA|STANDARD|15.5|UNDER,9869789,AJ Green,MIL,PRA,PTS+REBS+ASTS,1,15.5,UNDER,STANDARD,0,1,15.5,0,0,standard,2026-02-12T19:40:00.000-05:00,2026-02-12T23:19:14.155000+00:00,2026-02-12,,0,1.0,0.5381923615276945,0.5393921215756848,0.0022242817423539975,0.0011997600479903836,False,0.0,32.2,5.853204250664759,0.46899403950039675,0.16291421028045813,20,OK,0.4890611877624475,0,0.4,,0.0,0.7,0.9,1.0,AJ Green|PRA|UNDER|15.5|STANDARD,0.0,0,rotowire,0.03
9871653|AJ Green|PR|GOBLIN|11.5|OVER,9871653,AJ Green,MIL,PR,PTS+REBS,1,11.5,OVER,GOBLIN,1,0,11.5,0,0,goblin,2026-02-12T19:40:00.000-05:00,2026-02-12T23:17:48.277000+00:00,2026-02-12,,0,1.0,0.6079784043191362,0.5981803639272145,0.0,0.0,False,0.0,32.2,5.853204250664759,0.41105857246860256,0.165312106825879,20,OK,0.5755848830233954,0,0.6,,0.0,0.7,0.9,1.0,AJ Green|PR|OVER|11.5|GOBLIN,0.8663247184026689,1,rotowire,0.03
9869788|AJ Green|PR|STANDARD|13.5|OVER,9869788,AJ Green,MIL,PR,PTS+REBS,1,13.5,OVER,STANDARD,1,0,13.5,0,0,standard,2026-02-12T19:40:00.000-05:00,2026-02-12T19:05:34.057000+00:00,2026-02-12,,0,1.0,0.47440511897620474,0.46660667866426714,0.0,0.0,False,0.0,32.2,5.853204250664759,0.41105857246860256,0.165312106825879,20,OK,0.48208358328334333,0,0.6,,0.0,0.7,0.9,1.0,AJ Green|PR|OVER|13.5|STANDARD,0.5726719897952394,1,rotowire,0.03
9871526|AJ Green|PR|DEMON|19.5|OVER,9871526,AJ Green,MIL,PR,PTS+REBS,1,19.5,OVER,DEMON,1,0,19.5,0,0,demon,2026-02-12T19:40:00.000-05:00,2026-02-12T19:33:14.603000+00:00,2026-02-12,,0,1.0,0.15326934613077384,0.14867026594681063,0.0,0.0,False,0.0,32.2,5.853204250664759,0.41105857246860256,0.165312106825879,20,OK,0.25299700059988006,0,0.4,,0.0,0.7,0.9,1.0,AJ Green|PR|OVER|19.5|DEMON,0.0,0,rotowire,0.03
9871527|AJ Green|PR|GOBLIN|9.5|OVER,9871527,AJ Green,MIL,PR,PTS+REBS,1,9.5,OVER,GOBLIN,1,0,9.5,0,0,goblin,2026-02-12T19:40:00.000-05:00,2026-02-12T19:33:13.967000+00:00,2026-02-12,,0,1.0,0.734753049390122,0.7279544091181763,0.0,0.0,False,0.0,32.2,5.853204250664759,0.41105857246860256,0.165312106825879,20,OK,0.6643271345730853,0,0.7,,0.0,0.7,0.9,1.0,AJ Green|PR|OVER|9.5|GOBLIN,0.9629394806999472,1,rotowire,0.03
9869788|AJ Green|PR|STANDARD|13.5|UNDER,9869788,AJ Green,MIL,PR,PTS+REBS,1,13.5,UNDER,STANDARD,0,1,13.5,0,0,standard,2026-02-12T19:40:00.000-05:00,2026-02-12T19:05:34.057000+00:00,2026-02-12,,0,1.0,0.5255948810237953,0.5333933213357328,0.014620431115276358,0.007798440311937549,False,0.0,32.2,5.853204250664759,0.41105857246860256,0.165312106825879,20,OK,0.481124775044991,0,0.4,,0.0,0.7,0.9,1.0,AJ Green|PR|UNDER|13.5|STANDARD,0.0,0,rotowire,0.03
9869786|AJ Green|PTS|STANDARD|10.5|OVER,9869786,AJ Green,MIL,PTS,POINTS,1,10.5,OVER,STANDARD,1,0,10.5,0,0,standard,2026-02-12T19:40:00.000-05:00,2026-02-12T19:07:18.187000+00:00,2026-02-12,,0,0.6,0.5083983203359328,0.501999600079984,0.0,0.0,False,0.0,32.2,5.853204250664759,0.33325296568099777,0.15560954256631968,20,OK,0.505878824235153,0,0.6,,0.0,0.7,0.9,1.0,AJ Green|PTS|OVER|10.5|STANDARD,0.2890179178357773,1,rotowire,0.03
