n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Tyler Herro OVER PTS 19.5 (GOBLIN) [id:10644160] | Jaime Jaquez OVER PTS 12.5 (GOBLIN) [id:10645604] | Ryan Kalkbrenner OVER PR 10.5 (STANDARD) [id:10650365] | Coby White OVER PTS 13.5 (STANDARD) [id:10643852],0.12828503929834026,10.0,1.0,10.0,1.2828503929834025,10.0,atlas,0.5984968184747418,0.05197720929221814,Tyler Herro OVER PTS 19.5 (GOBLIN) [id:10644160] | Jaime Jaquez OVER PTS 12.5 (GOBLIN) [id:10645604] | Ryan Kalkbrenner OVER PR 10.5 (STANDARD) [id:10650365] | Coby White OVER PTS 13.5 (STANDARD) [id:10643852],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2828503929834025,"['tyler herro', 'jaime jaquez', 'ryan kalkbrenner', 'coby white']",1,Tyler Herro OVER PTS 19.5 (GOBLIN) [id:10644160],Jaime Jaquez OVER PTS 12.5 (GOBLIN) [id:10645604],Ryan Kalkbrenner OVER PR 10.5 (STANDARD) [id:10650365],Coby White OVER PTS 13.5 (STANDARD) [id:10643852],0,
4,Davion Mitchell OVER RA 6.5 (GOBLIN) [id:10645590] | Jaime Jaquez OVER PTS 11.5 (GOBLIN) [id:10644498] | Rudy Gobert OVER REB 11.5 (STANDARD) [id:10649561] | Coby White OVER PTS 13.5 (STANDARD) [id:10643852],0.12603638858521093,10.0,1.0,10.0,1.2603638858521093,10.0,atlas,0.5958417511937109,0.0497286540829471,Davion Mitchell OVER RA 6.5 (GOBLIN) [id:10645590] | Jaime Jaquez OVER PTS 11.5 (GOBLIN) [id:10644498] | Rudy Gobert OVER REB 11.5 (STANDARD) [id:10649561] | Coby White OVER PTS 13.5 (STANDARD) [id:10643852],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2603638858521093,"['davion mitchell', 'jaime jaquez', 'rudy gobert', 'coby white']",1,Davion Mitchell OVER RA 6.5 (GOBLIN) [id:10645590],Jaime Jaquez OVER PTS 11.5 (GOBLIN) [id:10644498],Rudy Gobert OVER REB 11.5 (STANDARD) [id:10649561],Coby White OVER PTS 13.5 (STANDARD) [id:10643852],0,
4,LaMelo Ball OVER PTS 17.5 (GOBLIN) [id:10644522] | Coby White OVER PRA 14.5 (GOBLIN) [id:10653364] | Davion Mitchell OVER RA 7.5 (STANDARD) [id:10643888] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],0.12440372323837064,10.0,1.0,10.0,1.2440372323837063,10.0,atlas,0.5939131232857061,0.06360735088168358,LaMelo Ball OVER PTS 17.5 (GOBLIN) [id:10644522] | Coby White OVER PRA 14.5 (GOBLIN) [id:10653364] | Davion Mitchell OVER RA 7.5 (STANDARD) [id:10643888] | Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2440372323837063,"['lamelo ball', 'coby white', 'davion mitchell', 'grayson allen']",1,LaMelo Ball OVER PTS 17.5 (GOBLIN) [id:10644522],Coby White OVER PRA 14.5 (GOBLIN) [id:10653364],Davion Mitchell OVER RA 7.5 (STANDARD) [id:10643888],Grayson Allen OVER PRA 20.5 (STANDARD) [id:10649271],0,
4,Devin Booker OVER PR 24.5 (GOBLIN) [id:10652325] | Coby White OVER PR 11.5 (GOBLIN) [id:10653363] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364] | Kon Knueppel OVER PA 22.5 (STANDARD) [id:10643968],0.1241975049791757,10.0,1.0,10.0,1.241975049791757,10.0,atlas,0.5936736296147004,0.06422322572877508,Devin Booker OVER PR 24.5 (GOBLIN) [id:10652325] | Coby White OVER PR 11.5 (GOBLIN) [id:10653363] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364] | Kon Knueppel OVER PA 22.5 (STANDARD) [id:10643968],0.0,0.0,0.0,0.0,0.0,0,0.0,1.241975049791757,"['devin booker', 'coby white', 'ryan kalkbrenner', 'kon knueppel']",1,Devin Booker OVER PR 24.5 (GOBLIN) [id:10652325],Coby White OVER PR 11.5 (GOBLIN) [id:10653363],Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],Kon Knueppel OVER PA 22.5 (STANDARD) [id:10643968],0,
4,Brandon Miller OVER PTS 14.5 (GOBLIN) [id:10643826] | Kel'el Ware OVER REB 8.5 (GOBLIN) [id:10650537] | Collin Gillespie OVER PA 15.5 (STANDARD) [id:10649144] | Norman Powell OVER PTS 21 (STANDARD) [id:10644079],0.12327830697817237,10.0,1.0,10.0,1.2327830697817237,10.0,atlas,0.5926289260424226,0.04954393236424368,Brandon Miller OVER PTS 14.5 (GOBLIN) [id:10643826] | Kel'el Ware OVER REB 8.5 (GOBLIN) [id:10650537] | Collin Gillespie OVER PA 15.5 (STANDARD) [id:10649144] | Norman Powell OVER PTS 21 (STANDARD) [id:10644079],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2327830697817237,"['brandon miller', ""kel'el ware"", 'collin gillespie', 'norman powell']",1,Brandon Miller OVER PTS 14.5 (GOBLIN) [id:10643826],Kel'el Ware OVER REB 8.5 (GOBLIN) [id:10650537],Collin Gillespie OVER PA 15.5 (STANDARD) [id:10649144],Norman Powell OVER PTS 21 (STANDARD) [id:10644079],0,
4,Collin Gillespie OVER FG3M 1.5 (GOBLIN) [id:10649127] | Kel'el Ware OVER REB 7.5 (GOBLIN) [id:10652727] | Rudy Gobert OVER PRA 26.5 (STANDARD) [id:10649552] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.12293333616125832,10.0,1.0,10.0,1.2293333616125832,10.0,atlas,0.5922181615919134,0.036294504190448953,Collin Gillespie OVER FG3M 1.5 (GOBLIN) [id:10649127] | Kel'el Ware OVER REB 7.5 (GOBLIN) [id:10652727] | Rudy Gobert OVER PRA 26.5 (STANDARD) [id:10649552] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2293333616125832,"['collin gillespie', ""kel'el ware"", 'rudy gobert', 'tristan silva']",1,Collin Gillespie OVER FG3M 1.5 (GOBLIN) [id:10649127],Kel'el Ware OVER REB 7.5 (GOBLIN) [id:10652727],Rudy Gobert OVER PRA 26.5 (STANDARD) [id:10649552],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0,
4,Collin Gillespie OVER PRA 17.5 (GOBLIN) [id:10649150] | Coby White OVER PTS 10.5 (GOBLIN) [id:10653645] | Miles Bridges OVER PTS 15.5 (STANDARD) [id:10644026] | Tyler Herro OVER PA 25.5 (STANDARD) [id:10644161],0.12290480964380202,10.0,1.0,10.0,1.2290480964380202,10.0,atlas,0.5921533524628602,0.05782603043868749,Collin Gillespie OVER PRA 17.5 (GOBLIN) [id:10649150] | Coby White OVER PTS 10.5 (GOBLIN) [id:10653645] | Miles Bridges OVER PTS 15.5 (STANDARD) [id:10644026] | Tyler Herro OVER PA 25.5 (STANDARD) [id:10644161],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2290480964380202,"['collin gillespie', 'coby white', 'miles bridges', 'tyler herro']",1,Collin Gillespie OVER PRA 17.5 (GOBLIN) [id:10649150],Coby White OVER PTS 10.5 (GOBLIN) [id:10653645],Miles Bridges OVER PTS 15.5 (STANDARD) [id:10644026],Tyler Herro OVER PA 25.5 (STANDARD) [id:10644161],0,
4,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | Brandon Miller OVER PTS 17.5 (GOBLIN) [id:10644457] | Norman Powell OVER PTS 21 (STANDARD) [id:10644079] | Collin Gillespie OVER PA 15.5 (STANDARD) [id:10649144],0.12227500954373302,10.0,1.0,10.0,1.2227500954373303,10.0,atlas,0.5914048808730271,0.050221391541923205,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753] | Brandon Miller OVER PTS 17.5 (GOBLIN) [id:10644457] | Norman Powell OVER PTS 21 (STANDARD) [id:10644079] | Collin Gillespie OVER PA 15.5 (STANDARD) [id:10649144],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2227500954373303,"['ryan kalkbrenner', 'brandon miller', 'norman powell', 'collin gillespie']",1,Ryan Kalkbrenner OVER PTS 4.5 (GOBLIN) [id:10649753],Brandon Miller OVER PTS 17.5 (GOBLIN) [id:10644457],Norman Powell OVER PTS 21 (STANDARD) [id:10644079],Collin Gillespie OVER PA 15.5 (STANDARD) [id:10649144],0,
4,Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578] | Jalen Green OVER REB 2.5 (GOBLIN) [id:10652818] | Brandon Miller OVER PTS 21.5 (STANDARD) [id:10643825] | Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937],0.12179986363886139,10.0,1.0,10.0,1.217998636388614,10.0,atlas,0.5908303835436701,0.0514866666052323,Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578] | Jalen Green OVER REB 2.5 (GOBLIN) [id:10652818] | Brandon Miller OVER PTS 21.5 (STANDARD) [id:10643825] | Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937],0.0,0.0,0.0,0.0,0.0,0,0.0,1.217998636388614,"['ryan kalkbrenner', 'jalen green', 'brandon miller', 'jaime jaquez']",1,Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578],Jalen Green OVER REB 2.5 (GOBLIN) [id:10652818],Brandon Miller OVER PTS 21.5 (STANDARD) [id:10643825],Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937],0,
4,Tyler Herro OVER PTS 17.5 (GOBLIN) [id:10644585] | Ryan Kalkbrenner OVER PR 9.5 (GOBLIN) [id:10650510] | Ayo Dosunmu OVER PA 20.5 (STANDARD) [id:10649101] | Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268],0.12176166683727538,10.0,1.0,10.0,1.2176166683727538,10.0,atlas,0.5908972257436369,0.0570651149433136,Tyler Herro OVER PTS 17.5 (GOBLIN) [id:10644585] | Ryan Kalkbrenner OVER PR 9.5 (GOBLIN) [id:10650510] | Ayo Dosunmu OVER PA 20.5 (STANDARD) [id:10649101] | Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268],0.0,0.0,0.0,0.0,0.0,0,0.0,1.2176166683727538,"['tyler herro', 'ryan kalkbrenner', 'ayo dosunmu', 'grayson allen']",1,Tyler Herro OVER PTS 17.5 (GOBLIN) [id:10644585],Ryan Kalkbrenner OVER PR 9.5 (GOBLIN) [id:10650510],Ayo Dosunmu OVER PA 20.5 (STANDARD) [id:10649101],Grayson Allen OVER PTS 13.5 (STANDARD) [id:10649268],0,
4,Davion Mitchell OVER PRA 12.5 (GOBLIN) [id:10653023] | Jalen Green OVER RA 6.5 (GOBLIN) [id:10649986] | Jaime Jaquez OVER PRA 23.5 (STANDARD) [id:10643940] | Norman Powell OVER PTS 21 (STANDARD) [id:10644079],0.1215146956883899,10.0,1.0,10.0,1.215146956883899,10.0,atlas,0.5904195622628454,0.0645331381777896,Davion Mitchell OVER PRA 12.5 (GOBLIN) [id:10653023] | Jalen Green OVER RA 6.5 (GOBLIN) [id:10649986] | Jaime Jaquez OVER PRA 23.5 (STANDARD) [id:10643940] | Norman Powell OVER PTS 21 (STANDARD) [id:10644079],0.0,0.0,0.0,0.0,0.0,0,0.0,1.215146956883899,"['davion mitchell', 'jalen green', 'jaime jaquez', 'norman powell']",1,Davion Mitchell OVER PRA 12.5 (GOBLIN) [id:10653023],Jalen Green OVER RA 6.5 (GOBLIN) [id:10649986],Jaime Jaquez OVER PRA 23.5 (STANDARD) [id:10643940],Norman Powell OVER PTS 21 (STANDARD) [id:10644079],0,
