n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,LaMelo Ball OVER PRA 24.5 (GOBLIN) [id:10644529] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496] | Davion Mitchell OVER PR 11.5 (DEMON) [id:10650526],0.10761277044519904,10.0,1.0,10.0,1.0761277044519904,10.0,atlas,0.5775568745540581,0.04159632507851828,LaMelo Ball OVER PRA 24.5 (GOBLIN) [id:10644529] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496] | Davion Mitchell OVER PR 11.5 (DEMON) [id:10650526],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0761277044519904,"['lamelo ball', 'tristan silva', ""royce o'neale"", 'davion mitchell']",1,LaMelo Ball OVER PRA 24.5 (GOBLIN) [id:10644529],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496],Davion Mitchell OVER PR 11.5 (DEMON) [id:10650526],0,
4,Ayo Dosunmu OVER PRA 19.5 (GOBLIN) [id:10652198] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Royce O'Neale UNDER PRA 15.5 (STANDARD) [id:10650250] | Coby White OVER PTS 15.5 (DEMON) [id:10645580],0.10754501014489569,10.0,1.0,10.0,1.0754501014489568,10.0,atlas,0.5769772940336761,0.03258618299133642,Ayo Dosunmu OVER PRA 19.5 (GOBLIN) [id:10652198] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Royce O'Neale UNDER PRA 15.5 (STANDARD) [id:10650250] | Coby White OVER PTS 15.5 (DEMON) [id:10645580],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0754501014489568,"['ayo dosunmu', 'tristan silva', ""royce o'neale"", 'coby white']",1,Ayo Dosunmu OVER PRA 19.5 (GOBLIN) [id:10652198],Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741],Royce O'Neale UNDER PRA 15.5 (STANDARD) [id:10650250],Coby White OVER PTS 15.5 (DEMON) [id:10645580],0,
4,LaMelo Ball OVER PR 19.5 (GOBLIN) [id:10644526] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Royce O'Neale UNDER PTS 7.5 (STANDARD) [id:10649509] | Jalen Green OVER RA 7.5 (DEMON) [id:10649352],0.09953133464324235,10.0,1.0,10.0,0.9953133464324235,10.0,atlas,0.5666071132480285,0.04105246931216172,LaMelo Ball OVER PR 19.5 (GOBLIN) [id:10644526] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Royce O'Neale UNDER PTS 7.5 (STANDARD) [id:10649509] | Jalen Green OVER RA 7.5 (DEMON) [id:10649352],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9953133464324235,"['lamelo ball', 'tristan silva', ""royce o'neale"", 'jalen green']",1,LaMelo Ball OVER PR 19.5 (GOBLIN) [id:10644526],Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741],Royce O'Neale UNDER PTS 7.5 (STANDARD) [id:10649509],Jalen Green OVER RA 7.5 (DEMON) [id:10649352],0,
4,Jalen Green OVER PR 24.5 (GOBLIN) [id:10652487] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Trendon Watford UNDER REB 3.5 (STANDARD) [id:10644896] | Ajay Mitchell OVER PTS 17.5 (DEMON) [id:10647313],0.09902895481731926,10.0,1.0,10.0,0.9902895481731926,10.0,atlas,0.5685393286519063,0.04701005236365777,Jalen Green OVER PR 24.5 (GOBLIN) [id:10652487] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979] | Trendon Watford UNDER REB 3.5 (STANDARD) [id:10644896] | Ajay Mitchell OVER PTS 17.5 (DEMON) [id:10647313],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9902895481731926,"['jalen green', 'tristan silva', 'trendon watford', 'ajay mitchell']",1,Jalen Green OVER PR 24.5 (GOBLIN) [id:10652487],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],Trendon Watford UNDER REB 3.5 (STANDARD) [id:10644896],Ajay Mitchell OVER PTS 17.5 (DEMON) [id:10647313],0,
4,LaMelo Ball OVER PR 19.5 (GOBLIN) [id:10644526] | Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Tyler Herro OVER PTS 24.5 (DEMON) [id:10644157],0.09810280556197333,10.0,1.0,10.0,0.9810280556197333,10.0,atlas,0.5644795677327655,0.04428424910738488,LaMelo Ball OVER PR 19.5 (GOBLIN) [id:10644526] | Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Tyler Herro OVER PTS 24.5 (DEMON) [id:10644157],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9810280556197333,"['lamelo ball', 'ryan kalkbrenner', 'tristan silva', 'tyler herro']",1,LaMelo Ball OVER PR 19.5 (GOBLIN) [id:10644526],Ryan Kalkbrenner OVER REB 4.5 (STANDARD) [id:10644136],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],Tyler Herro OVER PTS 24.5 (DEMON) [id:10644157],0,
4,LaMelo Ball OVER PRA 28.5 (GOBLIN) [id:10645623] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | Tyler Herro OVER PRA 34.5 (DEMON) [id:10644596],0.09771462650267647,10.0,1.0,10.0,0.9771462650267647,10.0,atlas,0.5608542486985425,0.04068775132750905,LaMelo Ball OVER PRA 28.5 (GOBLIN) [id:10645623] | Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | Tyler Herro OVER PRA 34.5 (DEMON) [id:10644596],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9771462650267647,"['lamelo ball', ""royce o'neale"", 'trendon watford', 'tyler herro']",1,LaMelo Ball OVER PRA 28.5 (GOBLIN) [id:10645623],Royce O'Neale UNDER AST 2.5 (STANDARD) [id:10649496],Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231],Tyler Herro OVER PRA 34.5 (DEMON) [id:10644596],0,
4,Brandon Miller OVER PTS 14.5 (GOBLIN) [id:10643826] | Karl-Anthony Towns UNDER PTS 20.5 (STANDARD) [id:10650134] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | Grayson Allen OVER PA 18.5 (DEMON) [id:10653370],0.09525642230795921,10.0,1.0,10.0,0.9525642230795921,10.0,atlas,0.5570053131909389,0.03272386257622504,Brandon Miller OVER PTS 14.5 (GOBLIN) [id:10643826] | Karl-Anthony Towns UNDER PTS 20.5 (STANDARD) [id:10650134] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | Grayson Allen OVER PA 18.5 (DEMON) [id:10653370],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9525642230795921,"['brandon miller', 'karl-anthony towns', ""kel'el ware"", 'grayson allen']",1,Brandon Miller OVER PTS 14.5 (GOBLIN) [id:10643826],Karl-Anthony Towns UNDER PTS 20.5 (STANDARD) [id:10650134],Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504],Grayson Allen OVER PA 18.5 (DEMON) [id:10653370],0,
4,Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863] | Davion Mitchell OVER RA 8.5 (DEMON) [id:10645591],0.0951575092515887,10.0,1.0,10.0,0.951575092515887,10.0,atlas,0.5570805971407058,0.03256116727912438,Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863] | Davion Mitchell OVER RA 8.5 (DEMON) [id:10645591],0.0,0.0,0.0,0.0,0.0,0,0.0,0.951575092515887,"['kon knueppel', 'trendon watford', ""de'aaron fox"", 'davion mitchell']",1,Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967],Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231],De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863],Davion Mitchell OVER RA 8.5 (DEMON) [id:10645591],0,
4,Brandon Miller OVER PTS 17.5 (GOBLIN) [id:10644457] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007] | Ryan Kalkbrenner OVER PTS 9.5 (DEMON) [id:10644132],0.09510495713884694,10.0,1.0,10.0,0.9510495713884694,10.0,atlas,0.5573855824585047,0.02560249244564035,Brandon Miller OVER PTS 17.5 (GOBLIN) [id:10644457] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007] | Ryan Kalkbrenner OVER PTS 9.5 (DEMON) [id:10644132],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9510495713884694,"['brandon miller', 'trendon watford', 'jared mccain', 'ryan kalkbrenner']",1,Brandon Miller OVER PTS 17.5 (GOBLIN) [id:10644457],Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231],Jared McCain UNDER PTS 7.5 (STANDARD) [id:10645007],Ryan Kalkbrenner OVER PTS 9.5 (DEMON) [id:10644132],0,
4,Grayson Allen OVER PA 14.5 (GOBLIN) [id:10652204] | Karl-Anthony Towns UNDER PTS 20.5 (STANDARD) [id:10650134] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | Davion Mitchell OVER AST 5.5 (DEMON) [id:10643872],0.09465305588017739,10.0,1.0,10.0,0.9465305588017738,10.0,atlas,0.5567009106381358,0.03203963852752511,Grayson Allen OVER PA 14.5 (GOBLIN) [id:10652204] | Karl-Anthony Towns UNDER PTS 20.5 (STANDARD) [id:10650134] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | Davion Mitchell OVER AST 5.5 (DEMON) [id:10643872],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9465305588017738,"['grayson allen', 'karl-anthony towns', ""kel'el ware"", 'davion mitchell']",1,Grayson Allen OVER PA 14.5 (GOBLIN) [id:10652204],Karl-Anthony Towns UNDER PTS 20.5 (STANDARD) [id:10650134],Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551],Davion Mitchell OVER AST 5.5 (DEMON) [id:10643872],0,
4,Tyler Herro OVER PRA 29.5 (GOBLIN) [id:10644594] | Shai Gilgeous-Alexander UNDER PTS 31.5 (STANDARD) [id:10645531] | Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500] | Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0.09415370211991353,10.0,1.0,10.0,0.9415370211991353,10.0,atlas,0.5556594449992067,0.03312103308682331,Tyler Herro OVER PRA 29.5 (GOBLIN) [id:10644594] | Shai Gilgeous-Alexander UNDER PTS 31.5 (STANDARD) [id:10645531] | Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500] | Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9415370211991353,"['tyler herro', 'shai gilgeous-alexander', ""kel'el ware"", 'jordan goodwin']",1,Tyler Herro OVER PRA 29.5 (GOBLIN) [id:10644594],Shai Gilgeous-Alexander UNDER PTS 31.5 (STANDARD) [id:10645531],Kel'el Ware UNDER PTS 12 (STANDARD) [id:10650500],Jordan Goodwin OVER REB 3.5 (DEMON) [id:10652152],0,
