slip,high_confidence,hit_prob,payout_mult,ev,player,team,opp,stat,direction,tier,line,p_cal
3-leg,True,0.6283,1.931,1.2133,Luke Kornet,SAS,MIN,PR,OVER,GOBLIN,4.5,0.8059
3-leg,True,0.6283,1.931,1.2133,Naz Reid,MIN,SAS,PTS,UNDER,STANDARD,12.5,0.7782
3-leg,True,0.6283,1.931,1.2133,Andre Drummond,PHI,NYK,REB,UNDER,STANDARD,3.0,0.7997
4-leg,True,0.324,1.897,0.6147,VJ Edgecombe,PHI,NYK,PA,OVER,GOBLIN,11.5,0.845
4-leg,True,0.324,1.897,0.6147,Quentin Grimes,PHI,NYK,PTS,OVER,GOBLIN,3.5,0.7749
4-leg,True,0.324,1.897,0.6147,Mitchell Robinson,NYK,PHI,PR,UNDER,STANDARD,12.5,0.6914
4-leg,True,0.324,1.897,0.6147,Anthony Edwards,MIN,SAS,REB,UNDER,STANDARD,4.0,0.7973
5-leg,True,0.1958,2.145,0.4198,Keldon Johnson,SAS,MIN,PTS,OVER,GOBLIN,5.5,0.7599
5-leg,True,0.1958,2.145,0.4198,Mikal Bridges,NYK,PHI,PR,OVER,GOBLIN,9.5,0.7318
5-leg,True,0.1958,2.145,0.4198,De'Aaron Fox,SAS,MIN,AST,UNDER,STANDARD,6.0,0.7329
5-leg,True,0.1958,2.145,0.4198,Tyrese Maxey,PHI,NYK,PA,UNDER,STANDARD,31.5,0.7893
5-leg,True,0.1958,2.145,0.4198,Jose Alvarado,NYK,PHI,AST,OVER,DEMON,2.5,0.7416
