n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Coby White OVER PRA 14.5 (GOBLIN) [id:10653364] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Tyler Herro OVER PR 29.5 (DEMON) [id:10644591],0.19370547589135573,6.0,1.0,6.0,1.1622328553481345,6.0,atlas,0.5844184729499526,0.0533495853306824,Coby White OVER PRA 14.5 (GOBLIN) [id:10653364] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Tyler Herro OVER PR 29.5 (DEMON) [id:10644591],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1622328553481345,"['coby white', 'tristan silva', 'tyler herro']",1,Coby White OVER PRA 14.5 (GOBLIN) [id:10653364],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],Tyler Herro OVER PR 29.5 (DEMON) [id:10644591],0,
3,Ryan Kalkbrenner OVER PRA 9.5 (GOBLIN) [id:10644581] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Devin Booker OVER PRA 39.5 (DEMON) [id:10649194],0.18800795925693484,6.0,1.0,6.0,1.128047755541609,6.0,atlas,0.5792787468874688,0.055406140528320234,Ryan Kalkbrenner OVER PRA 9.5 (GOBLIN) [id:10644581] | Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741] | Devin Booker OVER PRA 39.5 (DEMON) [id:10649194],0.0,0.0,0.0,0.0,0.0,0,0.0,1.128047755541609,"['ryan kalkbrenner', 'tristan silva', 'devin booker']",1,Ryan Kalkbrenner OVER PRA 9.5 (GOBLIN) [id:10644581],Tristan Silva UNDER PRA 17.5 (STANDARD) [id:10648741],Devin Booker OVER PRA 39.5 (DEMON) [id:10649194],0,
3,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.17576096486701787,6.0,1.0,6.0,1.0545657892021072,6.0,atlas,0.5613190010366376,0.04280281894463057,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499] | Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504] | Coby White OVER PRA 20.5 (DEMON) [id:10643856],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0545657892021072,"['jaime jaquez', ""kel'el ware"", 'coby white']",1,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10644499],Kel'el Ware UNDER PR 22.5 (STANDARD) [id:10650504],Coby White OVER PRA 20.5 (DEMON) [id:10643856],0,
3,Ayo Dosunmu OVER PR 14.5 (GOBLIN) [id:10652195] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Ryan Kalkbrenner OVER PTS 7.5 (DEMON) [id:10644577],0.17372794355031052,6.0,1.0,6.0,1.042367661301863,6.0,atlas,0.5604524345019313,0.04412689852480454,Ayo Dosunmu OVER PR 14.5 (GOBLIN) [id:10652195] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Ryan Kalkbrenner OVER PTS 7.5 (DEMON) [id:10644577],0.0,0.0,0.0,0.0,0.0,0,0.0,1.042367661301863,"['ayo dosunmu', ""kel'el ware"", 'ryan kalkbrenner']",1,Ayo Dosunmu OVER PR 14.5 (GOBLIN) [id:10652195],Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],Ryan Kalkbrenner OVER PTS 7.5 (DEMON) [id:10644577],0,
3,Norman Powell OVER PR 19.5 (GOBLIN) [id:10644559] | Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053] | LaMelo Ball OVER PA 29.5 (DEMON) [id:10644524],0.16995535035632905,6.0,1.0,6.0,1.0197321021379744,6.0,atlas,0.5561884056456164,0.054362941827956646,Norman Powell OVER PR 19.5 (GOBLIN) [id:10644559] | Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053] | LaMelo Ball OVER PA 29.5 (DEMON) [id:10644524],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0197321021379744,"['norman powell', 'moussa diabaté', 'lamelo ball']",1,Norman Powell OVER PR 19.5 (GOBLIN) [id:10644559],Moussa Diabaté UNDER PTS 8.5 (STANDARD) [id:10644053],LaMelo Ball OVER PA 29.5 (DEMON) [id:10644524],0,
3,Tyler Herro OVER PTS 19.5 (GOBLIN) [id:10644160] | Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054] | Ryan Kalkbrenner OVER PTS 9.5 (DEMON) [id:10644132],0.16941025148900946,6.0,1.0,6.0,1.0164615089340567,6.0,atlas,0.5553442023764948,0.03372379742205303,Tyler Herro OVER PTS 19.5 (GOBLIN) [id:10644160] | Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054] | Ryan Kalkbrenner OVER PTS 9.5 (DEMON) [id:10644132],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0164615089340567,"['tyler herro', 'moussa diabaté', 'ryan kalkbrenner']",1,Tyler Herro OVER PTS 19.5 (GOBLIN) [id:10644160],Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054],Ryan Kalkbrenner OVER PTS 9.5 (DEMON) [id:10644132],0,
3,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Grant Williams OVER PA 9.5 (DEMON) [id:10644494],0.1688508700238814,6.0,1.0,6.0,1.0131052201432884,6.0,atlas,0.5553717135414705,0.044673219453195474,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Grant Williams OVER PA 9.5 (DEMON) [id:10644494],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0131052201432884,"['ryan kalkbrenner', 'moussa diabaté', 'grant williams']",1,Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],Grant Williams OVER PA 9.5 (DEMON) [id:10644494],0,
3,Norman Powell OVER PRA 25.5 (GOBLIN) [id:10654224] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Grayson Allen OVER PA 19.5 (DEMON) [id:10652205],0.1682630347261094,6.0,1.0,6.0,1.0095782083566565,6.0,atlas,0.5545724669937041,0.053821884346096666,Norman Powell OVER PRA 25.5 (GOBLIN) [id:10654224] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Grayson Allen OVER PA 19.5 (DEMON) [id:10652205],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0095782083566565,"['norman powell', 'moussa diabaté', 'grayson allen']",1,Norman Powell OVER PRA 25.5 (GOBLIN) [id:10654224],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],Grayson Allen OVER PA 19.5 (DEMON) [id:10652205],0,
3,Kon Knueppel OVER PRA 26.5 (GOBLIN) [id:10653804] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Grant Williams OVER PTS 7.5 (DEMON) [id:10644491],0.16811404149511128,6.0,1.0,6.0,1.0086842489706678,6.0,atlas,0.554830391876747,0.04501127486704826,Kon Knueppel OVER PRA 26.5 (GOBLIN) [id:10653804] | Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505] | Grant Williams OVER PTS 7.5 (DEMON) [id:10644491],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0086842489706678,"['kon knueppel', ""kel'el ware"", 'grant williams']",1,Kon Knueppel OVER PRA 26.5 (GOBLIN) [id:10653804],Kel'el Ware UNDER REB 10.5 (STANDARD) [id:10650505],Grant Williams OVER PTS 7.5 (DEMON) [id:10644491],0,
3,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | Ayo Dosunmu OVER PRA 26.5 (DEMON) [id:10649105],0.16775985336876403,6.0,1.0,6.0,1.006559120212584,6.0,atlas,0.5542253600745051,0.04479118469944352,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | Ayo Dosunmu OVER PRA 26.5 (DEMON) [id:10649105],0.0,0.0,0.0,0.0,0.0,0,0.0,1.006559120212584,"['norman powell', ""kel'el ware"", 'ayo dosunmu']",1,Norman Powell OVER PTS 14.5 (GOBLIN) [id:10644080],Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551],Ayo Dosunmu OVER PRA 26.5 (DEMON) [id:10649105],0,
3,Grayson Allen OVER PRA 18.5 (GOBLIN) [id:10649764] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Davion Mitchell OVER PR 11.5 (DEMON) [id:10650526],0.16581565131980402,6.0,1.0,6.0,0.9948939079188241,6.0,atlas,0.5521119344250075,0.055433527379326226,Grayson Allen OVER PRA 18.5 (GOBLIN) [id:10649764] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056] | Davion Mitchell OVER PR 11.5 (DEMON) [id:10650526],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9948939079188241,"['grayson allen', 'moussa diabaté', 'davion mitchell']",1,Grayson Allen OVER PRA 18.5 (GOBLIN) [id:10649764],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],Davion Mitchell OVER PR 11.5 (DEMON) [id:10650526],0,
