rank,tier,player,team,opp,stat,direction,line,hit_probability_pct,p_cal,game_date,start_time,run_id,generated_at
1,GOBLIN,Jose Alvarado,NYK,PHI,AST,OVER,0.5,87.7,0.8766697541021672,2026-05-06,2026-05-06T19:00:00.000-04:00,20260506_180243,2026-05-06 18:02:52
2,GOBLIN,VJ Edgecombe,PHI,NYK,PA,OVER,12.5,84.1,0.8411675024451757,2026-05-06,2026-05-06T19:00:00.000-04:00,20260506_180243,2026-05-06 18:02:52
3,GOBLIN,Luke Kornet,SAS,MIN,PR,OVER,3.5,81.1,0.8112998354002611,2026-05-06,2026-05-06T21:30:00.000-04:00,20260506_180243,2026-05-06 18:02:52
4,GOBLIN,Dylan Harper,SAS,MIN,RA,OVER,4.5,80.4,0.8043283718626617,2026-05-06,2026-05-06T21:30:00.000-04:00,20260506_180243,2026-05-06 18:02:52
5,GOBLIN,Rudy Gobert,MIN,SAS,PTS,OVER,3.5,78.2,0.7819598170018589,2026-05-06,2026-05-06T21:30:00.000-04:00,20260506_180243,2026-05-06 18:02:52
6,GOBLIN,Keldon Johnson,SAS,MIN,PTS,OVER,4.5,77.4,0.774145982959356,2026-05-06,2026-05-06T21:30:00.000-04:00,20260506_180243,2026-05-06 18:02:52
7,GOBLIN,Dominick Barlow,PHI,NYK,REB,OVER,1.5,77.2,0.7715994239842304,2026-05-06,2026-05-06T19:00:00.000-04:00,20260506_180243,2026-05-06 18:02:52
8,GOBLIN,Quentin Grimes,PHI,NYK,PTS,OVER,3.5,76.7,0.7674990330397446,2026-05-06,2026-05-06T19:00:00.000-04:00,20260506_180243,2026-05-06 18:02:52
9,GOBLIN,Mikal Bridges,NYK,PHI,PR,OVER,9.5,72.8,0.7280466314089709,2026-05-06,2026-05-06T19:00:00.000-04:00,20260506_180243,2026-05-06 18:02:52
10,GOBLIN,Harrison Barnes,SAS,MIN,PTS,OVER,1.5,68.6,0.6859068414253017,2026-05-06,2026-05-06T21:30:00.000-04:00,20260506_180243,2026-05-06 18:02:52
1,STANDARD,Anthony Edwards,MIN,SAS,RA,UNDER,7.0,82.7,0.8265859276891675,2026-05-06,2026-05-06T21:30:00.000-04:00,20260506_180243,2026-05-06 18:02:52
2,STANDARD,Naz Reid,MIN,SAS,PA,UNDER,14.0,81.7,0.8172805952650134,2026-05-06,2026-05-06T21:30:00.000-04:00,20260506_180243,2026-05-06 18:02:52
3,STANDARD,Quentin Grimes,PHI,NYK,RA,UNDER,4.5,79.3,0.7934511976121504,2026-05-06,2026-05-06T19:00:00.000-04:00,20260506_180243,2026-05-06 18:02:52
4,STANDARD,De'Aaron Fox,SAS,MIN,PR,UNDER,21.0,77.7,0.7769003654215345,2026-05-06,2026-05-06T21:30:00.000-04:00,20260506_180243,2026-05-06 18:02:52
5,STANDARD,Miles McBride,NYK,PHI,FG3M,UNDER,1.5,76.6,0.7662977523836261,2026-05-06,2026-05-06T19:00:00.000-04:00,20260506_180243,2026-05-06 18:02:52
6,STANDARD,Keldon Johnson,SAS,MIN,RA,UNDER,4.5,76.0,0.7601348816530679,2026-05-06,2026-05-06T21:30:00.000-04:00,20260506_180243,2026-05-06 18:02:52
7,STANDARD,Tyrese Maxey,PHI,NYK,AST,UNDER,6.0,75.4,0.7540792226052799,2026-05-06,2026-05-06T19:00:00.000-04:00,20260506_180243,2026-05-06 18:02:52
8,STANDARD,Karl-Anthony Towns,NYK,PHI,PRA,OVER,36.5,74.3,0.742792344032578,2026-05-06,2026-05-06T19:00:00.000-04:00,20260506_180243,2026-05-06 18:02:52
9,STANDARD,Julius Randle,MIN,SAS,PRA,UNDER,29.5,72.2,0.7221195140547477,2026-05-06,2026-05-06T21:30:00.000-04:00,20260506_180243,2026-05-06 18:02:52
10,STANDARD,Mikal Bridges,NYK,PHI,PR,UNDER,14.5,71.1,0.7107698681174487,2026-05-06,2026-05-06T19:00:00.000-04:00,20260506_180243,2026-05-06 18:02:52
