rank,tier,player,team,opp,stat,direction,line,hit_probability_pct,p_cal,game_date,start_time,run_id,generated_at
1,GOBLIN,Jarrett Allen,CLE,DET,PTS,OVER,7.5,90.5,0.9047558299344344,2026-05-05,2026-05-05T19:00:00.000-04:00,20260505_173532,2026-05-05 17:35:39
2,GOBLIN,Jaxson Hayes,LAL,OKC,PTS,OVER,1.5,89.3,0.8933926759694478,2026-05-05,2026-05-05T20:30:00.000-04:00,20260505_173532,2026-05-05 17:35:39
3,GOBLIN,Jaylin Williams,OKC,LAL,REB,OVER,1.5,88.6,0.8860765604004498,2026-05-05,2026-05-05T20:30:00.000-04:00,20260505_173532,2026-05-05 17:35:39
4,GOBLIN,Evan Mobley,CLE,DET,PTS,OVER,11.5,85.7,0.8573619938618195,2026-05-05,2026-05-05T19:00:00.000-04:00,20260505_173532,2026-05-05 17:35:39
5,GOBLIN,Dean Wade,CLE,DET,RA,OVER,3.5,85.7,0.8570073332623175,2026-05-05,2026-05-05T19:00:00.000-04:00,20260505_173532,2026-05-05 17:35:39
6,GOBLIN,Sam Merrill,CLE,DET,PTS,OVER,2.5,85.3,0.8531642865437211,2026-05-05,2026-05-05T19:00:00.000-04:00,20260505_173532,2026-05-05 17:35:39
7,GOBLIN,Jake LaRavia,LAL,OKC,PR,OVER,4.5,84.0,0.8402289953991704,2026-05-05,2026-05-05T20:30:00.000-04:00,20260505_173532,2026-05-05 17:35:39
8,GOBLIN,Cason Wallace,OKC,LAL,RA,OVER,3.5,73.5,0.7354969586732425,2026-05-05,2026-05-05T20:30:00.000-04:00,20260505_173532,2026-05-05 17:35:39
9,GOBLIN,Jaylon Tyson,CLE,DET,PTS,OVER,2.5,70.5,0.7053479155654274,2026-05-05,2026-05-05T19:00:00.000-04:00,20260505_173532,2026-05-05 17:35:39
10,GOBLIN,Isaiah Stewart,DET,CLE,PR,OVER,4.5,68.2,0.6820701891546543,2026-05-05,2026-05-05T19:00:00.000-04:00,20260505_173532,2026-05-05 17:35:39
1,STANDARD,Dennis Schröder,CLE,DET,FG3M,UNDER,0.5,86.3,0.862714378210312,2026-05-05,2026-05-05T19:00:00.000-04:00,20260505_173532,2026-05-05 17:35:39
2,STANDARD,Isaiah Stewart,DET,CLE,PTS,UNDER,4.5,79.4,0.7938686993301379,2026-05-05,2026-05-05T19:00:00.000-04:00,20260505_173532,2026-05-05 17:35:39
3,STANDARD,Luguentz Dort,OKC,LAL,PA,UNDER,8.5,79.3,0.7931405498272123,2026-05-05,2026-05-05T20:30:00.000-04:00,20260505_173532,2026-05-05 17:35:39
4,STANDARD,Isaiah Hartenstein,OKC,LAL,REB,UNDER,8.0,78.9,0.7889323643138332,2026-05-05,2026-05-05T20:30:00.000-04:00,20260505_173532,2026-05-05 17:35:39
5,STANDARD,Javonte Green,DET,CLE,PR,UNDER,6.5,75.7,0.7568051232685618,2026-05-05,2026-05-05T19:00:00.000-04:00,20260505_173532,2026-05-05 17:35:39
6,STANDARD,Ajay Mitchell,OKC,LAL,PR,UNDER,19.5,73.7,0.7366513315760833,2026-05-05,2026-05-05T20:30:00.000-04:00,20260505_173532,2026-05-05 17:35:39
7,STANDARD,Jake LaRavia,LAL,OKC,PRA,UNDER,7.5,69.2,0.6921913492652956,2026-05-05,2026-05-05T20:30:00.000-04:00,20260505_173532,2026-05-05 17:35:39
8,STANDARD,Max Strus,CLE,DET,RA,UNDER,6.0,69.0,0.6902665785186494,2026-05-05,2026-05-05T19:00:00.000-04:00,20260505_173532,2026-05-05 17:35:39
9,STANDARD,Cason Wallace,OKC,LAL,RA,UNDER,5.0,68.5,0.6846949135311104,2026-05-05,2026-05-05T20:30:00.000-04:00,20260505_173532,2026-05-05 17:35:39
10,STANDARD,Austin Reaves,LAL,OKC,RA,UNDER,9.0,67.1,0.6709530188432519,2026-05-05,2026-05-05T20:30:00.000-04:00,20260505_173532,2026-05-05 17:35:39
1,DEMON,Jaxson Hayes,LAL,OKC,PTS,OVER,5.5,75.8,0.7577245638130421,2026-05-05,2026-05-05T20:30:00.000-04:00,20260505_173532,2026-05-05 17:35:39
2,DEMON,Jaylin Williams,OKC,LAL,PRA,OVER,9.5,72.7,0.7273584856460611,2026-05-05,2026-05-05T20:30:00.000-04:00,20260505_173532,2026-05-05 17:35:39
3,DEMON,Jarrett Allen,CLE,DET,PTS,OVER,13.5,71.4,0.7136050838508284,2026-05-05,2026-05-05T19:00:00.000-04:00,20260505_173532,2026-05-05 17:35:39
4,DEMON,Isaiah Joe,OKC,LAL,PTS,OVER,8.5,71.2,0.7117010716248521,2026-05-05,2026-05-05T20:30:00.000-04:00,20260505_173532,2026-05-05 17:35:39
5,DEMON,Sam Merrill,CLE,DET,PRA,OVER,10.5,71.1,0.710657733244347,2026-05-05,2026-05-05T19:00:00.000-04:00,20260505_173532,2026-05-05 17:35:39
6,DEMON,Jake LaRavia,LAL,OKC,PR,OVER,7.5,59.7,0.5969058273543867,2026-05-05,2026-05-05T20:30:00.000-04:00,20260505_173532,2026-05-05 17:35:39
7,DEMON,Isaiah Stewart,DET,CLE,RA,OVER,3.5,42.4,0.4235117236263645,2026-05-05,2026-05-05T19:00:00.000-04:00,20260505_173532,2026-05-05 17:35:39
8,DEMON,Cason Wallace,OKC,LAL,RA,OVER,5.5,39.5,0.3954923183094008,2026-05-05,2026-05-05T20:30:00.000-04:00,20260505_173532,2026-05-05 17:35:39
9,DEMON,Javonte Green,DET,CLE,PRA,OVER,8.5,36.3,0.3632291993604302,2026-05-05,2026-05-05T19:00:00.000-04:00,20260505_173532,2026-05-05 17:35:39
10,DEMON,Jaylon Tyson,CLE,DET,PTS,OVER,7.5,30.8,0.3080401629272321,2026-05-05,2026-05-05T19:00:00.000-04:00,20260505_173532,2026-05-05 17:35:39
