rank,tier,player,team,opp,stat,direction,line,hit_probability_pct,p_cal,game_date,start_time,run_id,generated_at
1,GOBLIN,Ajay Mitchell,OKC,LAL,AST,OVER,2.5,80.2,0.8019063200343985,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
2,GOBLIN,Isaiah Joe,OKC,LAL,FG3M,OVER,0.5,77.2,0.7720595633417126,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
3,GOBLIN,Chet Holmgren,OKC,LAL,AST,OVER,0.5,76.3,0.7629544195236982,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
4,GOBLIN,Jared McCain,OKC,LAL,FG3M,OVER,0.5,76.2,0.7617934415055284,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
5,GOBLIN,Cason Wallace,OKC,LAL,AST,OVER,1.5,74.2,0.7418433972233359,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
6,GOBLIN,Jaxson Hayes,LAL,OKC,PRA,OVER,4.5,73.6,0.7357093662351293,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
7,GOBLIN,Isaiah Hartenstein,OKC,LAL,AST,OVER,1.5,67.9,0.6793111757690835,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
8,GOBLIN,Alex Caruso,OKC,LAL,AST,OVER,1.5,64.9,0.6487532608190715,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
9,GOBLIN,Austin Reaves,LAL,OKC,AST,OVER,4.5,59.6,0.5964553414612193,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
10,GOBLIN,Deandre Ayton,LAL,OKC,FTA,OVER,1.5,43.4,0.4335941820583682,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
1,STANDARD,Isaiah Joe,OKC,LAL,AST,OVER,0.5,70.9,0.7088216126569806,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
2,STANDARD,Cason Wallace,OKC,LAL,PRA,OVER,11.5,69.9,0.6993172328410314,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
3,STANDARD,Jared McCain,OKC,LAL,AST,OVER,0.5,68.7,0.6865371942886089,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
4,STANDARD,Alex Caruso,OKC,LAL,PA,OVER,8.5,64.7,0.6471378399585218,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
5,STANDARD,Isaiah Hartenstein,OKC,LAL,PA,OVER,11.0,60.9,0.609225835192608,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
6,STANDARD,Ajay Mitchell,OKC,LAL,AST,OVER,4.5,59.8,0.5976623461909438,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
7,STANDARD,Deandre Ayton,LAL,OKC,AST,OVER,0.5,58.1,0.5813612744424843,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
8,STANDARD,Chet Holmgren,OKC,LAL,AST,OVER,1.5,51.8,0.5177257255334977,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
9,STANDARD,Adou Thiero,LAL,OKC,PTS,OVER,1.5,48.5,0.4845516316310065,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
10,STANDARD,Austin Reaves,LAL,OKC,AST,OVER,6.0,32.4,0.324325741476511,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
1,DEMON,Jared McCain,OKC,LAL,FG3M,OVER,1.5,63.4,0.6342152905626214,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
2,DEMON,Isaiah Joe,OKC,LAL,AST,OVER,1.5,59.6,0.5956339491474675,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
3,DEMON,Cason Wallace,OKC,LAL,AST,OVER,2.5,42.8,0.4282724001566099,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
4,DEMON,Ajay Mitchell,OKC,LAL,AST,OVER,5.5,40.9,0.408842674455971,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
5,DEMON,Alex Caruso,OKC,LAL,AST,OVER,2.5,35.6,0.3555362564590922,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
6,DEMON,Chet Holmgren,OKC,LAL,AST,OVER,2.5,19.8,0.1984201579842015,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
7,DEMON,Isaiah Hartenstein,OKC,LAL,AST,OVER,3.5,16.9,0.1686231376862313,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
8,DEMON,Deandre Ayton,LAL,OKC,AST,OVER,1.5,14.0,0.140493356417222,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
9,DEMON,Adou Thiero,LAL,OKC,PR,OVER,9.5,12.3,0.1233383638113131,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
10,DEMON,Austin Reaves,LAL,OKC,AST,OVER,10.5,3.6,0.0358920005941586,2026-05-11,2026-05-11T22:30:00.000-04:00,20260511_213028,2026-05-11 21:30:29
