rank,tier,player,team,opp,stat,direction,line,hit_probability_pct,p_cal,game_date,start_time,run_id,generated_at
1,GOBLIN,Jarrett Allen,CLE,TOR,PTS,OVER,8.5,90.2,0.901984142025332,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
2,GOBLIN,Evan Mobley,CLE,TOR,PA,OVER,14.5,86.5,0.8647724600978189,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
3,GOBLIN,Sam Merrill,CLE,TOR,PR,OVER,4.5,79.4,0.7941790665304824,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
4,GOBLIN,Dean Wade,CLE,TOR,REB,OVER,2.5,78.5,0.7852410653307039,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
5,GOBLIN,Jakob Poeltl,TOR,CLE,PR,OVER,9.5,76.0,0.7598752276953047,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
6,GOBLIN,Jaylon Tyson,CLE,TOR,PTS,OVER,4.5,71.3,0.7128983560117937,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
7,GOBLIN,James Harden,CLE,TOR,PRA,OVER,25.5,68.4,0.6838905433320768,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
8,GOBLIN,Sandro Mamukelashvili,TOR,CLE,REB,OVER,1.5,63.4,0.6338665372083161,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
9,GOBLIN,Donovan Mitchell,CLE,TOR,AST,OVER,2.5,54.4,0.5442502971723946,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
10,GOBLIN,RJ Barrett,TOR,CLE,AST,OVER,2.5,41.0,0.4102444909146762,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
1,STANDARD,Collin Murray-Boyles,TOR,CLE,PTS,OVER,12.5,86.4,0.8642126111675947,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
2,STANDARD,Scottie Barnes,TOR,CLE,PRA,UNDER,37.5,80.6,0.8057124110692615,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
3,STANDARD,Jamal Shead,TOR,CLE,RA,UNDER,8.0,78.1,0.780548528993028,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
4,STANDARD,Max Strus,CLE,TOR,PA,UNDER,10.5,76.8,0.7680066093701846,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
5,STANDARD,Ja'Kobe Walter,TOR,CLE,AST,UNDER,1.5,75.9,0.7594756355271486,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
6,STANDARD,Dean Wade,CLE,TOR,PRA,OVER,9.5,75.1,0.7513342397892674,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
7,STANDARD,Jaylon Tyson,CLE,TOR,PTS,UNDER,6.5,72.9,0.7291981873690467,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
8,STANDARD,Dennis Schröder,CLE,TOR,PTS,UNDER,6.0,72.6,0.725721981251293,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
9,STANDARD,Sandro Mamukelashvili,TOR,CLE,PR,UNDER,9.5,68.8,0.6878672194333416,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
10,STANDARD,Jakob Poeltl,TOR,CLE,PR,UNDER,13.0,62.8,0.628429815438409,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
1,DEMON,Sam Merrill,CLE,TOR,PRA,OVER,9.5,69.4,0.6943545507647885,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
2,DEMON,Dean Wade,CLE,TOR,PTS,OVER,5.5,61.1,0.61104382350056,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
3,DEMON,Jarrett Allen,CLE,TOR,PRA,OVER,23.5,59.6,0.5956927389607917,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
4,DEMON,Jakob Poeltl,TOR,CLE,PR,OVER,14.5,44.8,0.4479131866577085,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
5,DEMON,Jaylon Tyson,CLE,TOR,PTS,OVER,7.5,32.8,0.3283910511952114,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
6,DEMON,Sandro Mamukelashvili,TOR,CLE,REB,OVER,3.5,25.5,0.2550003706508444,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
7,DEMON,Evan Mobley,CLE,TOR,AST,OVER,3.5,22.0,0.2198935527092781,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
8,DEMON,Donovan Mitchell,CLE,TOR,AST,OVER,4.5,15.2,0.1523863375987458,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
9,DEMON,Dennis Schröder,CLE,TOR,REB,OVER,2.5,8.8,0.0875202032797621,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
10,DEMON,Ja'Kobe Walter,TOR,CLE,AST,OVER,2.5,8.1,0.0805846587608933,2026-05-03,2026-05-03T19:30:00.000-04:00,20260503_173637,2026-05-03 17:36:39
