rank,tier,player,team,opp,stat,direction,line,hit_probability_pct,p_cal,game_date,start_time,run_id,generated_at
1,GOBLIN,Joel Embiid,PHI,BOS,FG3M,OVER,0.5,88.1,0.8813058040304275,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
2,GOBLIN,Quentin Grimes,PHI,BOS,PTS,OVER,3.5,83.3,0.833296048667027,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
3,GOBLIN,VJ Edgecombe,PHI,BOS,PA,OVER,11.5,82.5,0.8248514442192106,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
4,GOBLIN,Neemias Queta,BOS,PHI,PTS,OVER,5.5,82.0,0.8201297004433323,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
5,GOBLIN,Sam Hauser,BOS,PHI,PR,OVER,7.5,81.4,0.8143203306370526,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
6,GOBLIN,Jaylen Brown,BOS,PHI,PA,OVER,27.5,74.4,0.7441160040088486,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
7,GOBLIN,Paul George,PHI,BOS,PA,OVER,14.5,73.5,0.7345438473295726,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
8,GOBLIN,Derrick White,BOS,PHI,RA,OVER,5.5,71.1,0.7112718812336555,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
9,GOBLIN,Payton Pritchard,BOS,PHI,AST,OVER,3.5,69.3,0.6932380481840106,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
10,GOBLIN,Andre Drummond,PHI,BOS,REB,OVER,2.5,53.8,0.5379918797573344,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
1,STANDARD,Baylor Scheierman,BOS,PHI,PRA,OVER,11.5,78.1,0.7814541277049173,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
2,STANDARD,Tyrese Maxey,PHI,BOS,PR,UNDER,28.0,77.9,0.7794290461463954,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
3,STANDARD,Derrick White,BOS,PHI,PR,UNDER,18.0,74.6,0.7458561282863531,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
4,STANDARD,Nikola Vučević,BOS,PHI,PR,UNDER,11.5,71.3,0.7127313830510745,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
5,STANDARD,Payton Pritchard,BOS,PHI,PRA,UNDER,27.5,70.9,0.70919110287356,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
6,STANDARD,Quentin Grimes,PHI,BOS,PRA,UNDER,11.0,67.4,0.6742011264516883,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
7,STANDARD,Andre Drummond,PHI,BOS,PRA,UNDER,6.0,63.3,0.6325901008461067,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
8,STANDARD,Jaylen Brown,BOS,PHI,PTS,OVER,30.5,63.2,0.6316672021000619,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
9,STANDARD,Sam Hauser,BOS,PHI,PA,UNDER,9.5,59.9,0.5989612709462255,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
10,STANDARD,Joel Embiid,PHI,BOS,RA,OVER,14.0,58.0,0.5797347769917897,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
1,DEMON,Baylor Scheierman,BOS,PHI,PTS,OVER,7.5,55.7,0.5569459709343522,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
2,DEMON,Quentin Grimes,PHI,BOS,PR,OVER,9.5,53.4,0.5342011258785682,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
3,DEMON,Jaylen Brown,BOS,PHI,AST,OVER,6.5,52.4,0.5241032719535214,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
4,DEMON,Neemias Queta,BOS,PHI,PTS,OVER,9.5,46.7,0.4671792014076738,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
5,DEMON,Jordan Walsh,BOS,PHI,AST,OVER,2.5,27.8,0.2775862183592266,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
6,DEMON,Derrick White,BOS,PHI,FG3M,OVER,2.5,22.4,0.2239601582695699,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
7,DEMON,Andre Drummond,PHI,BOS,REB,OVER,4.5,16.1,0.1610907800794478,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
8,DEMON,Justin Edwards,PHI,BOS,REB,OVER,1.5,12.6,0.1263429092589209,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
9,DEMON,Tyrese Maxey,PHI,BOS,PR,OVER,29.5,11.5,0.1152132354896159,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
10,DEMON,Joel Embiid,PHI,BOS,AST,OVER,5.5,9.6,0.0957109264133601,2026-05-02,2026-05-02T19:30:00.000-04:00,20260502_173644,2026-05-02 17:36:46
