rank,tier,player,team,opp,stat,direction,line,hit_probability_pct,p_cal,game_date,start_time,run_id,generated_at
1,GOBLIN,Keldon Johnson,SAS,MIN,AST,OVER,0.5,77.5,0.7751516221491908,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
2,GOBLIN,Devin Vassell,SAS,MIN,AST,OVER,1.5,76.2,0.7621553948682328,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
3,GOBLIN,Julian Champagnie,SAS,MIN,AST,OVER,0.5,73.7,0.737194102992606,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
4,GOBLIN,De'Aaron Fox,SAS,MIN,AST,OVER,3.5,71.7,0.716780940722398,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
5,GOBLIN,Jaden McDaniels,MIN,SAS,AST,OVER,1.5,66.3,0.6630085998098681,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
6,GOBLIN,Dylan Harper,SAS,MIN,AST,OVER,1.5,64.5,0.6446103457577629,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
7,GOBLIN,Ayo Dosunmu,MIN,SAS,AST,OVER,1.5,62.5,0.6253006794414275,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
8,GOBLIN,Luke Kornet,SAS,MIN,AST,OVER,0.5,55.9,0.5586234618153073,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
9,GOBLIN,Julius Randle,MIN,SAS,AST,OVER,2.5,48.8,0.4883068591186886,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
10,GOBLIN,Anthony Edwards,MIN,SAS,AST,OVER,2.5,44.9,0.4494233855560119,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
1,STANDARD,Luke Kornet,SAS,MIN,PRA,OVER,7.5,54.2,0.5417487197586899,2026-05-10,2026-05-10T19:30:00.000-04:00,20260510_174904,2026-05-10 17:49:10
