date,total_slips,total_won,win_rate
20260412,4,0,
20260410,5,0,
20260409,6,0,
20260408,8,1,0.125
20260407,5,0,
20260406,9,0,
20260405,9,0,
20260404,9,1,0.1111
20260403,9,0,
20260402,6,0,
20260401,0,0,
20260210,0,0,
