slip_label,n_legs,tier_mix,has_demon,hit_prob,hit_prob_pct,payout_mult_eff,ev_mult,family,leg_1,leg_2,leg_3,leg_4,leg_5,full_legs
3-leg (Safe Play),3,1G + 2S,False,0.3936,39.4%,6.0,2.3619,System,Desmond Bane OVER REB 2.5 (GOBLIN),Donovan Mitchell OVER REB 4 (STANDARD),Anthony Black UNDER PRA 20 (STANDARD),,,Desmond Bane OVER REB 2.5 (GOBLIN) [id:11785069] | Donovan Mitchell OVER REB 4 (STANDARD) [id:11800207] | Anthony Black UNDER PRA 20 (STANDARD) [id:11788501]
4-leg (Power Play),4,1G + 2S + 1D,True,0.2641,26.4%,10.0,2.641,Windfall,Donovan Mitchell OVER REB 2.5 (GOBLIN),Anthony Black UNDER PA 16.5 (STANDARD),Sandro Mamukelashvili OVER REB 3.5 (STANDARD),Jaylon Tyson OVER PTS 6.5 (DEMON),,Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11785156] | Anthony Black UNDER PA 16.5 (STANDARD) [id:11788858] | Sandro Mamukelashvili OVER REB 3.5 (STANDARD) [id:11790884] | Jaylon Tyson OVER PTS 6.5 (DEMON) [id:11808942]
5-leg (Jackpot),5,2G + 2S + 1D,True,0.2074,20.7%,20.0,4.1476,Windfall,Donovan Mitchell OVER REB 2.5 (GOBLIN),Jakob Poeltl OVER AST 0.5 (GOBLIN),Jabari Smith OVER FG3M 2.5 (STANDARD),Jamal Cain UNDER PR 12.5 (STANDARD),Sandro Mamukelashvili OVER PR 10.5 (DEMON),Donovan Mitchell OVER REB 2.5 (GOBLIN) [id:11785156] | Jakob Poeltl OVER AST 0.5 (GOBLIN) [id:11785179] | Jabari Smith OVER FG3M 2.5 (STANDARD) [id:11784803] | Jamal Cain UNDER PR 12.5 (STANDARD) [id:11798074] | Sandro Mamukelashvili OVER PR 10.5 (DEMON) [id:11808626]
