date,player,stat,line,direction,tier,hit,p_cal,product,n_legs
20260409,Tyrese Maxey,RA,10.5,UNDER,STANDARD,1,0.03,Windfall,3
20260409,Immanuel Quickley,REB,3.5,OVER,DEMON,0,0.1678,Windfall,3
20260409,De'Anthony Melton,REB,2.5,OVER,GOBLIN,1,0.1952,Windfall,4
20260409,Davion Mitchell,PTS,8.5,UNDER,STANDARD,0,0.03,Windfall,4
20260409,Amen Thompson,PRA,31.5,OVER,STANDARD,0,0.1172,Windfall,4
20260409,Jakob Poeltl,PRA,19.5,OVER,GOBLIN,0,0.1816,Windfall,5
20260409,Bub Carrington,RA,8.5,UNDER,STANDARD,1,0.03,Windfall,5
20260409,Amen Thompson,PTS,17.5,UNDER,STANDARD,0,0.03,Windfall,5
20260409,Jamal Shead,AST,6.5,OVER,DEMON,0,0.0925,Windfall,5
20260408,Cameron Johnson,RA,4.5,OVER,GOBLIN,1,0.7953,System,3
20260408,Dyson Daniels,PTS,10.5,OVER,STANDARD,1,0.5313,System,3
20260408,Tobias Harris,AST,2.5,OVER,STANDARD,1,0.6123,System,3
20260408,Nikola Jokić,PR,34.5,OVER,GOBLIN,0,0.6178,System,4
20260408,Ausar Thompson,REB,3.5,OVER,GOBLIN,1,0.7718,System,4
20260408,Kawhi Leonard,PTS,26.5,OVER,STANDARD,0,0.4397,System,4
20260408,Christian Braun,AST,2.5,OVER,STANDARD,0,0.6005,System,4
20260408,Duncan Robinson,FG3M,1.5,OVER,GOBLIN,1,0.786,System,5
20260408,Aaron Gordon,FG3M,0.5,OVER,GOBLIN,0,0.8087,System,5
20260408,Jalen Green,PRA,28.5,UNDER,STANDARD,1,0.3793,System,5
20260408,Devin Booker,PR,31.5,UNDER,STANDARD,0,0.4115,System,5
20260408,Cameron Johnson,PTS,9.5,OVER,GOBLIN,1,0.7118,Windfall,3
20260408,Ausar Thompson,RA,8.5,OVER,DEMON,0,0.4047,Windfall,3
20260408,Nikola Jokić,FG3M,0.5,OVER,GOBLIN,0,0.7586,Windfall,4
20260408,Ausar Thompson,PTS,9.5,UNDER,STANDARD,0,0.2953,Windfall,4
20260408,Dillon Brooks,PR,21.5,OVER,STANDARD,1,0.5951,Windfall,4
