rank,tier,player,team,opp,stat,direction,line,hit_probability_pct,p_cal,game_date,start_time,run_id,generated_at
1,GOBLIN,Jaxson Hayes,LAL,OKC,PTS,OVER,1.5,89.7,0.8969788669808609,2026-05-07,2026-05-07T21:30:00.000-04:00,20260507_161344,2026-05-07 16:13:54
2,GOBLIN,Isaiah Joe,OKC,LAL,PR,OVER,4.5,89.4,0.893521106815967,2026-05-07,2026-05-07T21:30:00.000-04:00,20260507_161344,2026-05-07 16:13:54
3,GOBLIN,Jarrett Allen,CLE,DET,PTS,OVER,6.5,87.8,0.8782861542595508,2026-05-07,2026-05-07T19:00:00.000-04:00,20260507_161344,2026-05-07 16:13:54
4,GOBLIN,Jaylin Williams,OKC,LAL,PTS,OVER,0.5,84.5,0.8452897589104243,2026-05-07,2026-05-07T21:30:00.000-04:00,20260507_161344,2026-05-07 16:13:54
5,GOBLIN,Evan Mobley,CLE,DET,PTS,OVER,9.5,80.7,0.8069470991795773,2026-05-07,2026-05-07T19:00:00.000-04:00,20260507_161344,2026-05-07 16:13:54
6,GOBLIN,Dean Wade,CLE,DET,REB,OVER,2.5,78.5,0.785419510376433,2026-05-07,2026-05-07T19:00:00.000-04:00,20260507_161344,2026-05-07 16:13:54
7,GOBLIN,Cason Wallace,OKC,LAL,PA,OVER,4.5,78.1,0.7810348773262474,2026-05-07,2026-05-07T21:30:00.000-04:00,20260507_161344,2026-05-07 16:13:54
8,GOBLIN,Jake LaRavia,LAL,OKC,PRA,OVER,4.5,73.8,0.73804291266651,2026-05-07,2026-05-07T21:30:00.000-04:00,20260507_161344,2026-05-07 16:13:54
9,GOBLIN,Isaiah Stewart,DET,CLE,PR,OVER,3.5,70.1,0.7011152525399924,2026-05-07,2026-05-07T19:00:00.000-04:00,20260507_161344,2026-05-07 16:13:54
10,GOBLIN,Isaiah Hartenstein,OKC,LAL,PTS,OVER,3.5,68.4,0.6841574106617062,2026-05-07,2026-05-07T21:30:00.000-04:00,20260507_161344,2026-05-07 16:13:54
1,STANDARD,Luguentz Dort,OKC,LAL,PTS,UNDER,6.5,77.2,0.7722803624277088,2026-05-07,2026-05-07T21:30:00.000-04:00,20260507_161344,2026-05-07 16:13:54
2,STANDARD,Jaylon Tyson,CLE,DET,RA,UNDER,4.5,76.5,0.7651072660890614,2026-05-07,2026-05-07T19:00:00.000-04:00,20260507_161344,2026-05-07 16:13:54
3,STANDARD,Jaylin Williams,OKC,LAL,REB,OVER,3.5,75.3,0.7533782008344526,2026-05-07,2026-05-07T21:30:00.000-04:00,20260507_161344,2026-05-07 16:13:54
4,STANDARD,Cason Wallace,OKC,LAL,PTS,UNDER,6.5,74.9,0.7494031668166414,2026-05-07,2026-05-07T21:30:00.000-04:00,20260507_161344,2026-05-07 16:13:54
5,STANDARD,Ajay Mitchell,OKC,LAL,FTA,UNDER,2.5,71.3,0.7134032936886965,2026-05-07,2026-05-07T21:30:00.000-04:00,20260507_161344,2026-05-07 16:13:54
6,STANDARD,Isaiah Hartenstein,OKC,LAL,PTS,UNDER,7.5,71.2,0.71208610027304,2026-05-07,2026-05-07T21:30:00.000-04:00,20260507_161344,2026-05-07 16:13:54
7,STANDARD,Isaiah Stewart,DET,CLE,PR,UNDER,6.5,69.9,0.6991813288498927,2026-05-07,2026-05-07T19:00:00.000-04:00,20260507_161344,2026-05-07 16:13:54
8,STANDARD,Austin Reaves,LAL,OKC,AST,UNDER,5.0,67.2,0.6721824221756376,2026-05-07,2026-05-07T21:30:00.000-04:00,20260507_161344,2026-05-07 16:13:54
9,STANDARD,Shai Gilgeous-Alexander,OKC,LAL,FTA,UNDER,9.0,66.0,0.6595818648987138,2026-05-07,2026-05-07T21:30:00.000-04:00,20260507_161344,2026-05-07 16:13:54
10,STANDARD,Jake LaRavia,LAL,OKC,PR,UNDER,6.5,61.4,0.6140476978055586,2026-05-07,2026-05-07T21:30:00.000-04:00,20260507_161344,2026-05-07 16:13:54
1,DEMON,Jaxson Hayes,LAL,OKC,PTS,OVER,5.5,78.0,0.7795995970096401,2026-05-07,2026-05-07T21:30:00.000-04:00,20260507_161344,2026-05-07 16:13:54
2,DEMON,Isaiah Joe,OKC,LAL,PR,OVER,9.5,75.0,0.7503326611276908,2026-05-07,2026-05-07T21:30:00.000-04:00,20260507_161344,2026-05-07 16:13:54
3,DEMON,Sam Merrill,CLE,DET,PRA,OVER,10.5,69.6,0.6957559168519508,2026-05-07,2026-05-07T19:00:00.000-04:00,20260507_161344,2026-05-07 16:13:54
4,DEMON,Jaylin Williams,OKC,LAL,AST,OVER,1.5,68.0,0.6803718199380293,2026-05-07,2026-05-07T21:30:00.000-04:00,20260507_161344,2026-05-07 16:13:54
5,DEMON,Jarrett Allen,CLE,DET,PR,OVER,19.5,67.7,0.6767078593534157,2026-05-07,2026-05-07T19:00:00.000-04:00,20260507_161344,2026-05-07 16:13:54
6,DEMON,Jake LaRavia,LAL,OKC,FTA,OVER,0.5,50.4,0.5037041858254155,2026-05-07,2026-05-07T21:30:00.000-04:00,20260507_161344,2026-05-07 16:13:54
7,DEMON,Cason Wallace,OKC,LAL,RA,OVER,5.5,34.9,0.3485233635044,2026-05-07,2026-05-07T21:30:00.000-04:00,20260507_161344,2026-05-07 16:13:54
8,DEMON,Caris LeVert,DET,CLE,PRA,OVER,5.5,30.5,0.3046877101650493,2026-05-07,2026-05-07T19:00:00.000-04:00,20260507_161344,2026-05-07 16:13:54
9,DEMON,Isaiah Stewart,DET,CLE,PR,OVER,7.5,29.7,0.2970217829768266,2026-05-07,2026-05-07T19:00:00.000-04:00,20260507_161344,2026-05-07 16:13:54
10,DEMON,Jaylon Tyson,CLE,DET,PR,OVER,11.5,28.5,0.28486694872439,2026-05-07,2026-05-07T19:00:00.000-04:00,20260507_161344,2026-05-07 16:13:54
