n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Tyler Herro OVER PR 19.5 (GOBLIN) [id:10652730] | Trendon Watford UNDER PRA 16.5 (STANDARD) [id:10644893] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.2261110945348425,6.0,1.0,6.0,1.356666567209055,6.0,atlas,0.6149095129554972,0.02610471128170092,Tyler Herro OVER PR 19.5 (GOBLIN) [id:10652730] | Trendon Watford UNDER PRA 16.5 (STANDARD) [id:10644893] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.0,0.0,0.0,0.0,0.0,0,0.0,1.356666567209055,"['tyler herro', 'trendon watford', 'tristan silva']",1,Tyler Herro OVER PR 19.5 (GOBLIN) [id:10652730],Trendon Watford UNDER PRA 16.5 (STANDARD) [id:10644893],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0,
3,Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10644454] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030],0.19306749442695217,6.0,1.0,6.0,1.158404966561713,6.0,atlas,0.5793234943321113,0.01502690126021866,Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10644454] | Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551] | Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030],0.0,0.0,0.0,0.0,0.0,0,0.0,1.158404966561713,"['bam adebayo', ""kel'el ware"", 'shai gilgeous-alexander']",1,Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10644454],Kel'el Ware UNDER RA 11.5 (STANDARD) [id:10653551],Shai Gilgeous-Alexander UNDER PRA 43.5 (STANDARD) [id:10645030],0,
3,LaMelo Ball OVER AST 5.5 (GOBLIN) [id:10643989] | Dennis Schröder UNDER RA 5.5 (STANDARD) [id:10653206] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.19023872951076107,6.0,1.0,6.0,1.1414323770645665,6.0,atlas,0.5841309783986516,0.015202434496347969,LaMelo Ball OVER AST 5.5 (GOBLIN) [id:10643989] | Dennis Schröder UNDER RA 5.5 (STANDARD) [id:10653206] | Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1414323770645665,"['lamelo ball', 'dennis schröder', 'tristan silva']",1,LaMelo Ball OVER AST 5.5 (GOBLIN) [id:10643989],Dennis Schröder UNDER RA 5.5 (STANDARD) [id:10653206],Tristan Silva UNDER PTS 10.5 (STANDARD) [id:10645979],0,
3,Collin Gillespie OVER PR 13.5 (GOBLIN) [id:10652983] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Grant Williams OVER PR 9 (STANDARD) [id:10643911],0.18877401899793436,6.0,1.0,6.0,1.1326441139876062,6.0,atlas,0.5798866573555742,0.053298387452441955,Collin Gillespie OVER PR 13.5 (GOBLIN) [id:10652983] | Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747] | Grant Williams OVER PR 9 (STANDARD) [id:10643911],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1326441139876062,"['collin gillespie', 'tristan silva', 'grant williams']",1,Collin Gillespie OVER PR 13.5 (GOBLIN) [id:10652983],Tristan Silva UNDER RA 6.5 (STANDARD) [id:10648747],Grant Williams OVER PR 9 (STANDARD) [id:10643911],0,
3,Coby White OVER PTS 10.5 (GOBLIN) [id:10653645] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Thomas Bryant OVER PTS 6.5 (STANDARD) [id:10653223],0.18734659274308652,6.0,1.0,6.0,1.124079556458519,6.0,atlas,0.5789289622041441,0.049995967403453044,Coby White OVER PTS 10.5 (GOBLIN) [id:10653645] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713] | Thomas Bryant OVER PTS 6.5 (STANDARD) [id:10653223],0.0,0.0,0.0,0.0,0.0,0,0.0,1.124079556458519,"['coby white', 'tristan silva', 'thomas bryant']",1,Coby White OVER PTS 10.5 (GOBLIN) [id:10653645],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10646713],Thomas Bryant OVER PTS 6.5 (STANDARD) [id:10653223],0,
3,Davion Mitchell OVER PRA 13.5 (GOBLIN) [id:10652257] | Julius Randle OVER PRA 34.5 (STANDARD) [id:10649386] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],0.18714373469035778,6.0,1.0,6.0,1.1228624081421468,6.0,atlas,0.5785319857377978,0.05593188163490065,Davion Mitchell OVER PRA 13.5 (GOBLIN) [id:10652257] | Julius Randle OVER PRA 34.5 (STANDARD) [id:10649386] | Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1228624081421468,"['davion mitchell', 'julius randle', 'tristan silva']",1,Davion Mitchell OVER PRA 13.5 (GOBLIN) [id:10652257],Julius Randle OVER PRA 34.5 (STANDARD) [id:10649386],Tristan Silva UNDER PA 12.5 (STANDARD) [id:10648740],0,
3,Collin Gillespie OVER RA 6.5 (GOBLIN) [id:10649160] | Kel'el Ware UNDER PRA 23.5 (STANDARD) [id:10653546] | Jett Howard UNDER PA 6.5 (STANDARD) [id:10648860],0.1871345611914879,6.0,1.0,6.0,1.1228073671489276,6.0,atlas,0.5735179569480673,0.026824199341560415,Collin Gillespie OVER RA 6.5 (GOBLIN) [id:10649160] | Kel'el Ware UNDER PRA 23.5 (STANDARD) [id:10653546] | Jett Howard UNDER PA 6.5 (STANDARD) [id:10648860],0.0,0.0,0.0,0.0,0.0,0,0.0,1.1228073671489276,"['collin gillespie', ""kel'el ware"", 'jett howard']",1,Collin Gillespie OVER RA 6.5 (GOBLIN) [id:10649160],Kel'el Ware UNDER PRA 23.5 (STANDARD) [id:10653546],Jett Howard UNDER PA 6.5 (STANDARD) [id:10648860],0,
3,Jalen Green OVER PR 19.5 (GOBLIN) [id:10652486] | De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862] | Trendon Watford UNDER PA 12.5 (STANDARD) [id:10644891],0.1797505064121121,6.0,1.0,6.0,1.0785030384726726,6.0,atlas,0.5652044079765847,0.02645534902895418,Jalen Green OVER PR 19.5 (GOBLIN) [id:10652486] | De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862] | Trendon Watford UNDER PA 12.5 (STANDARD) [id:10644891],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0785030384726726,"['jalen green', ""de'aaron fox"", 'trendon watford']",1,Jalen Green OVER PR 19.5 (GOBLIN) [id:10652486],De'Aaron Fox UNDER PTS 18.5 (STANDARD) [id:10649862],Trendon Watford UNDER PA 12.5 (STANDARD) [id:10644891],0,
3,Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578] | De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863] | Jett Howard UNDER PRA 9 (STANDARD) [id:10648866],0.17819586534205134,6.0,1.0,6.0,1.069175192052308,6.0,atlas,0.563613707578344,0.02659637430834724,Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578] | De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863] | Jett Howard UNDER PRA 9 (STANDARD) [id:10648866],0.0,0.0,0.0,0.0,0.0,0,0.0,1.069175192052308,"['ryan kalkbrenner', ""de'aaron fox"", 'jett howard']",1,Ryan Kalkbrenner OVER PA 4.5 (GOBLIN) [id:10644578],De'Aaron Fox UNDER PR 22.5 (STANDARD) [id:10649863],Jett Howard UNDER PRA 9 (STANDARD) [id:10648866],0,
3,Norman Powell OVER PRA 24.5 (GOBLIN) [id:10644562] | Coby White OVER PR 15.5 (STANDARD) [id:10643855] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],0.17704839666565916,6.0,1.0,6.0,1.062290379993955,6.0,atlas,0.5633944224191116,0.05352512754481808,Norman Powell OVER PRA 24.5 (GOBLIN) [id:10644562] | Coby White OVER PR 15.5 (STANDARD) [id:10643855] | Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],0.0,0.0,0.0,0.0,0.0,0,0.0,1.062290379993955,"['norman powell', 'coby white', 'moussa diabaté']",1,Norman Powell OVER PRA 24.5 (GOBLIN) [id:10644562],Coby White OVER PR 15.5 (STANDARD) [id:10643855],Moussa Diabaté UNDER PRA 20.5 (STANDARD) [id:10644056],0,
3,Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967] | Jaime Jaquez OVER PRA 23.5 (STANDARD) [id:10643940] | Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054],0.17570015960475857,6.0,1.0,6.0,1.0542009576285514,6.0,atlas,0.5615556330801005,0.04269813258225399,Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967] | Jaime Jaquez OVER PRA 23.5 (STANDARD) [id:10643940] | Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054],0.0,0.0,0.0,0.0,0.0,0,0.0,1.0542009576285514,"['kon knueppel', 'jaime jaquez', 'moussa diabaté']",1,Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967],Jaime Jaquez OVER PRA 23.5 (STANDARD) [id:10643940],Moussa Diabaté UNDER PA 10.5 (STANDARD) [id:10644054],0,
