n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Dennis Schröder OVER AST 2.5 (GOBLIN) [id:10645054] | Andrew Nembhard OVER PA 14.5 (GOBLIN) [id:10652058] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625] | Cameron Payne UNDER PR 12.5 (STANDARD) [id:10644833],0.09938625488250054,10.0,1.0,10.0,0.9938625488250054,10.0,atlas,0.5640395294919287,0.025183727241328502,Dennis Schröder OVER AST 2.5 (GOBLIN) [id:10645054] | Andrew Nembhard OVER PA 14.5 (GOBLIN) [id:10652058] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625] | Cameron Payne UNDER PR 12.5 (STANDARD) [id:10644833],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9938625488250054,"['dennis schröder', 'andrew nembhard', 'quentin grimes', 'cameron payne']",1,Dennis Schröder OVER AST 2.5 (GOBLIN) [id:10645054],Andrew Nembhard OVER PA 14.5 (GOBLIN) [id:10652058],Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],Cameron Payne UNDER PR 12.5 (STANDARD) [id:10644833],0,
4,Bub Carrington OVER PR 7.5 (GOBLIN) [id:10650481] | James Harden OVER PR 19.5 (GOBLIN) [id:10646928] | Cameron Payne UNDER PR 12.5 (STANDARD) [id:10644833] | Aaron Gordon UNDER PTS 16 (STANDARD) [id:10645825],0.09932503106773295,10.0,1.0,10.0,0.9932503106773295,10.0,atlas,0.5628804578051932,0.03063926368288316,Bub Carrington OVER PR 7.5 (GOBLIN) [id:10650481] | James Harden OVER PR 19.5 (GOBLIN) [id:10646928] | Cameron Payne UNDER PR 12.5 (STANDARD) [id:10644833] | Aaron Gordon UNDER PTS 16 (STANDARD) [id:10645825],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9932503106773295,"['bub carrington', 'james harden', 'cameron payne', 'aaron gordon']",1,Bub Carrington OVER PR 7.5 (GOBLIN) [id:10650481],James Harden OVER PR 19.5 (GOBLIN) [id:10646928],Cameron Payne UNDER PR 12.5 (STANDARD) [id:10644833],Aaron Gordon UNDER PTS 16 (STANDARD) [id:10645825],0,
4,Sam Merrill OVER PTS 5.5 (GOBLIN) [id:10646830] | Bub Carrington OVER PR 7.5 (GOBLIN) [id:10650481] | Miles Bridges UNDER PTS 15.5 (STANDARD) [id:10644026] | LaMelo Ball UNDER REB 4.5 (STANDARD) [id:10644382],0.09870151801393581,10.0,1.0,10.0,0.9870151801393581,10.0,atlas,0.5618437284009381,0.025115091705464138,Sam Merrill OVER PTS 5.5 (GOBLIN) [id:10646830] | Bub Carrington OVER PR 7.5 (GOBLIN) [id:10650481] | Miles Bridges UNDER PTS 15.5 (STANDARD) [id:10644026] | LaMelo Ball UNDER REB 4.5 (STANDARD) [id:10644382],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9870151801393581,"['sam merrill', 'bub carrington', 'miles bridges', 'lamelo ball']",1,Sam Merrill OVER PTS 5.5 (GOBLIN) [id:10646830],Bub Carrington OVER PR 7.5 (GOBLIN) [id:10650481],Miles Bridges UNDER PTS 15.5 (STANDARD) [id:10644026],LaMelo Ball UNDER REB 4.5 (STANDARD) [id:10644382],0,
4,Alex Sarr OVER RA 5.5 (GOBLIN) [id:10649653] | Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625] | Julian Champagnie UNDER PTS 10.5 (STANDARD) [id:10650272],0.09824033017939812,10.0,1.0,10.0,0.9824033017939813,10.0,atlas,0.5617133620094,0.023916927726156056,Alex Sarr OVER RA 5.5 (GOBLIN) [id:10649653] | Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625] | Julian Champagnie UNDER PTS 10.5 (STANDARD) [id:10650272],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9824033017939813,"['alex sarr', 'ryan kalkbrenner', 'quentin grimes', 'julian champagnie']",1,Alex Sarr OVER RA 5.5 (GOBLIN) [id:10649653],Ryan Kalkbrenner OVER PTS 3.5 (GOBLIN) [id:10655497],Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],Julian Champagnie UNDER PTS 10.5 (STANDARD) [id:10650272],0,
4,Andrew Nembhard OVER PA 14.5 (GOBLIN) [id:10652058] | Alex Sarr OVER PRA 14.5 (GOBLIN) [id:10648971] | Bilal Coulibaly UNDER AST 2.5 (STANDARD) [id:10648382] | Wendell Carter UNDER PTS 11 (STANDARD) [id:10648309],0.09808663460190845,10.0,1.0,10.0,0.9808663460190845,10.0,atlas,0.5607057965359354,0.031135703304890974,Andrew Nembhard OVER PA 14.5 (GOBLIN) [id:10652058] | Alex Sarr OVER PRA 14.5 (GOBLIN) [id:10648971] | Bilal Coulibaly UNDER AST 2.5 (STANDARD) [id:10648382] | Wendell Carter UNDER PTS 11 (STANDARD) [id:10648309],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9808663460190845,"['andrew nembhard', 'alex sarr', 'bilal coulibaly', 'wendell carter']",1,Andrew Nembhard OVER PA 14.5 (GOBLIN) [id:10652058],Alex Sarr OVER PRA 14.5 (GOBLIN) [id:10648971],Bilal Coulibaly UNDER AST 2.5 (STANDARD) [id:10648382],Wendell Carter UNDER PTS 11 (STANDARD) [id:10648309],0,
4,Alex Sarr OVER PA 11.5 (GOBLIN) [id:10650519] | Jaylon Tyson OVER PR 9.5 (GOBLIN) [id:10652949] | Pelle Larsson UNDER AST 3.5 (STANDARD) [id:10650476] | Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560],0.09766603955286549,10.0,1.0,10.0,0.9766603955286548,10.0,atlas,0.5612375647268748,0.03029890147555677,Alex Sarr OVER PA 11.5 (GOBLIN) [id:10650519] | Jaylon Tyson OVER PR 9.5 (GOBLIN) [id:10652949] | Pelle Larsson UNDER AST 3.5 (STANDARD) [id:10650476] | Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9766603955286548,"['alex sarr', 'jaylon tyson', 'pelle larsson', 'cameron payne']",1,Alex Sarr OVER PA 11.5 (GOBLIN) [id:10650519],Jaylon Tyson OVER PR 9.5 (GOBLIN) [id:10652949],Pelle Larsson UNDER AST 3.5 (STANDARD) [id:10650476],Cameron Payne UNDER PTS 10 (STANDARD) [id:10647560],0,
4,Alex Sarr OVER PRA 14.5 (GOBLIN) [id:10648971] | Brandon Miller OVER PTS 14.5 (GOBLIN) [id:10643826] | Jaime Jaquez UNDER REB 4.5 (STANDARD) [id:10643945] | Cameron Payne UNDER PRA 15.5 (STANDARD) [id:10644834],0.09729720334901024,10.0,1.0,10.0,0.9729720334901024,10.0,atlas,0.5602889016424171,0.02490652960267465,Alex Sarr OVER PRA 14.5 (GOBLIN) [id:10648971] | Brandon Miller OVER PTS 14.5 (GOBLIN) [id:10643826] | Jaime Jaquez UNDER REB 4.5 (STANDARD) [id:10643945] | Cameron Payne UNDER PRA 15.5 (STANDARD) [id:10644834],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9729720334901024,"['alex sarr', 'brandon miller', 'jaime jaquez', 'cameron payne']",1,Alex Sarr OVER PRA 14.5 (GOBLIN) [id:10648971],Brandon Miller OVER PTS 14.5 (GOBLIN) [id:10643826],Jaime Jaquez UNDER REB 4.5 (STANDARD) [id:10643945],Cameron Payne UNDER PRA 15.5 (STANDARD) [id:10644834],0,
4,Tim Hardaway OVER PR 9.5 (GOBLIN) [id:10645890] | Jaylon Tyson OVER PR 9.5 (GOBLIN) [id:10652949] | Bilal Coulibaly UNDER AST 2.5 (STANDARD) [id:10648382] | Miles Bridges UNDER REB 5.5 (STANDARD) [id:10644035],0.09693768783148624,10.0,1.0,10.0,0.9693768783148624,10.0,atlas,0.5596720106547743,0.029710465361419955,Tim Hardaway OVER PR 9.5 (GOBLIN) [id:10645890] | Jaylon Tyson OVER PR 9.5 (GOBLIN) [id:10652949] | Bilal Coulibaly UNDER AST 2.5 (STANDARD) [id:10648382] | Miles Bridges UNDER REB 5.5 (STANDARD) [id:10644035],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9693768783148624,"['tim hardaway', 'jaylon tyson', 'bilal coulibaly', 'miles bridges']",1,Tim Hardaway OVER PR 9.5 (GOBLIN) [id:10645890],Jaylon Tyson OVER PR 9.5 (GOBLIN) [id:10652949],Bilal Coulibaly UNDER AST 2.5 (STANDARD) [id:10648382],Miles Bridges UNDER REB 5.5 (STANDARD) [id:10644035],0,
4,Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642] | Andrew Nembhard OVER PRA 20.5 (GOBLIN) [id:10654296] | Mitchell Robinson UNDER PTS 5.5 (STANDARD) [id:10650955] | Chet Holmgren UNDER REB 8.5 (STANDARD) [id:10644991],0.09579877521036544,10.0,1.0,10.0,0.9579877521036544,10.0,atlas,0.5582102317148127,0.02741713030322189,Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642] | Andrew Nembhard OVER PRA 20.5 (GOBLIN) [id:10654296] | Mitchell Robinson UNDER PTS 5.5 (STANDARD) [id:10650955] | Chet Holmgren UNDER REB 8.5 (STANDARD) [id:10644991],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9579877521036544,"['jaylon tyson', 'andrew nembhard', 'mitchell robinson', 'chet holmgren']",1,Jaylon Tyson OVER PTS 5.5 (GOBLIN) [id:10652642],Andrew Nembhard OVER PRA 20.5 (GOBLIN) [id:10654296],Mitchell Robinson UNDER PTS 5.5 (STANDARD) [id:10650955],Chet Holmgren UNDER REB 8.5 (STANDARD) [id:10644991],0,
4,Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10653216] | Andrew Nembhard OVER PTS 9.5 (GOBLIN) [id:10650927] | Jalen Duren UNDER AST 1.5 (STANDARD) [id:10647471] | Rudy Gobert UNDER REB 11.5 (STANDARD) [id:10649561],0.09519387583836725,10.0,1.0,10.0,0.9519387583836725,10.0,atlas,0.5565679397359815,0.019945502286346253,Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10653216] | Andrew Nembhard OVER PTS 9.5 (GOBLIN) [id:10650927] | Jalen Duren UNDER AST 1.5 (STANDARD) [id:10647471] | Rudy Gobert UNDER REB 11.5 (STANDARD) [id:10649561],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9519387583836725,"['jaylon tyson', 'andrew nembhard', 'jalen duren', 'rudy gobert']",1,Jaylon Tyson OVER AST 0.5 (GOBLIN) [id:10653216],Andrew Nembhard OVER PTS 9.5 (GOBLIN) [id:10650927],Jalen Duren UNDER AST 1.5 (STANDARD) [id:10647471],Rudy Gobert UNDER REB 11.5 (STANDARD) [id:10649561],0,
4,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Ryan Kalkbrenner OVER PR 7.5 (GOBLIN) [id:10650594] | Aaron Gordon UNDER PTS 16 (STANDARD) [id:10645825] | Kyle Kuzma UNDER REB 4.5 (STANDARD) [id:10649056],0.09487932444657007,10.0,1.0,10.0,0.9487932444657008,10.0,atlas,0.5567386192981748,0.025102815679226183,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155] | Ryan Kalkbrenner OVER PR 7.5 (GOBLIN) [id:10650594] | Aaron Gordon UNDER PTS 16 (STANDARD) [id:10645825] | Kyle Kuzma UNDER REB 4.5 (STANDARD) [id:10649056],0.0,0.0,0.0,0.0,0.0,0,0.0,0.9487932444657008,"[""royce o'neale"", 'ryan kalkbrenner', 'aaron gordon', 'kyle kuzma']",1,Royce O'Neale OVER PTS 4.5 (GOBLIN) [id:10652155],Ryan Kalkbrenner OVER PR 7.5 (GOBLIN) [id:10650594],Aaron Gordon UNDER PTS 16 (STANDARD) [id:10645825],Kyle Kuzma UNDER REB 4.5 (STANDARD) [id:10649056],0,
