n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,role_ctx_bonus,role_ctx_on_legs,role_ctx_on_share,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Julius Randle OVER PRA 29.5 (GOBLIN) [id:10652218] | Jaden McDaniels UNDER PRA 22.5 (STANDARD) [id:10650234] | Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861],0.14832639961453462,6.0,1.0,6.0,0.8899583976872076,6.0,atlas,0.5312864371694795,0.026698006580471587,Julius Randle OVER PRA 29.5 (GOBLIN) [id:10652218] | Jaden McDaniels UNDER PRA 22.5 (STANDARD) [id:10650234] | Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8899583976872076,"['julius randle', 'jaden mcdaniels', 'jett howard']",1,Julius Randle OVER PRA 29.5 (GOBLIN) [id:10652218],Jaden McDaniels UNDER PRA 22.5 (STANDARD) [id:10650234],Jett Howard UNDER PR 7.5 (STANDARD) [id:10648861],0,
3,Oso Ighodaro OVER PR 9.5 (GOBLIN) [id:10652494] | VJ Edgecombe UNDER PTS 18.5 (STANDARD) [id:10644634] | Julius Randle UNDER FG3M 1.5 (STANDARD) [id:10649361],0.14692367784455512,6.0,1.0,6.0,0.8815420670673307,6.0,atlas,0.528045041048371,0.02663818849375108,Oso Ighodaro OVER PR 9.5 (GOBLIN) [id:10652494] | VJ Edgecombe UNDER PTS 18.5 (STANDARD) [id:10644634] | Julius Randle UNDER FG3M 1.5 (STANDARD) [id:10649361],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8815420670673307,"['oso ighodaro', 'vj edgecombe', 'julius randle']",1,Oso Ighodaro OVER PR 9.5 (GOBLIN) [id:10652494],VJ Edgecombe UNDER PTS 18.5 (STANDARD) [id:10644634],Julius Randle UNDER FG3M 1.5 (STANDARD) [id:10649361],0,
3,Precious Achiuwa OVER REB 5.5 (GOBLIN) [id:10651822] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | Bam Adebayo OVER PR 30.5 (STANDARD) [id:10643799],0.14648372869217485,6.0,1.0,6.0,0.8789023721530491,6.0,atlas,0.531241407196206,0.07453068279511536,Precious Achiuwa OVER REB 5.5 (GOBLIN) [id:10651822] | Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231] | Bam Adebayo OVER PR 30.5 (STANDARD) [id:10643799],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8789023721530491,"['precious achiuwa', 'trendon watford', 'bam adebayo']",1,Precious Achiuwa OVER REB 5.5 (GOBLIN) [id:10651822],Trendon Watford UNDER PTS 8.5 (STANDARD) [id:10648231],Bam Adebayo OVER PR 30.5 (STANDARD) [id:10643799],0,
3,Collin Gillespie OVER RA 6.5 (GOBLIN) [id:10649160] | Julius Randle UNDER FG3M 1.5 (STANDARD) [id:10649361] | Grayson Allen OVER PR 16.5 (STANDARD) [id:10649270],0.14551489888741334,6.0,1.0,6.0,0.8730893933244801,6.0,atlas,0.5263990916367525,0.05430875949943276,Collin Gillespie OVER RA 6.5 (GOBLIN) [id:10649160] | Julius Randle UNDER FG3M 1.5 (STANDARD) [id:10649361] | Grayson Allen OVER PR 16.5 (STANDARD) [id:10649270],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8730893933244801,"['collin gillespie', 'julius randle', 'grayson allen']",1,Collin Gillespie OVER RA 6.5 (GOBLIN) [id:10649160],Julius Randle UNDER FG3M 1.5 (STANDARD) [id:10649361],Grayson Allen OVER PR 16.5 (STANDARD) [id:10649270],0,
3,Tyler Herro OVER PR 19.5 (GOBLIN) [id:10652730] | Shai Gilgeous-Alexander UNDER FG3M 1.5 (STANDARD) [id:10645019] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],0.14370718223173987,6.0,1.0,6.0,0.8622430933904393,6.0,atlas,0.5245061097977691,0.03327110996966284,Tyler Herro OVER PR 19.5 (GOBLIN) [id:10652730] | Shai Gilgeous-Alexander UNDER FG3M 1.5 (STANDARD) [id:10645019] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8622430933904393,"['tyler herro', 'shai gilgeous-alexander', 'quentin grimes']",1,Tyler Herro OVER PR 19.5 (GOBLIN) [id:10652730],Shai Gilgeous-Alexander UNDER FG3M 1.5 (STANDARD) [id:10645019],Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],0,
3,Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117] | Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937] | Jared McCain UNDER PR 8.5 (STANDARD) [id:10649850],0.14335526772033597,6.0,1.0,6.0,0.8601316063220158,6.0,atlas,0.5234565266713226,0.03622951158413403,Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117] | Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937] | Jared McCain UNDER PR 8.5 (STANDARD) [id:10649850],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8601316063220158,"['ayo dosunmu', 'jaime jaquez', 'jared mccain']",1,Ayo Dosunmu OVER PTS 11.5 (GOBLIN) [id:10652117],Jaime Jaquez OVER PTS 14 (STANDARD) [id:10643937],Jared McCain UNDER PR 8.5 (STANDARD) [id:10649850],0,
3,Norman Powell OVER PRA 25.5 (GOBLIN) [id:10654224] | Jared McCain UNDER PR 8.5 (STANDARD) [id:10649850] | Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10644627],0.14280820001585878,6.0,1.0,6.0,0.8568492000951526,6.0,atlas,0.5227790544781054,0.033847971319047515,Norman Powell OVER PRA 25.5 (GOBLIN) [id:10654224] | Jared McCain UNDER PR 8.5 (STANDARD) [id:10649850] | Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10644627],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8568492000951526,"['norman powell', 'jared mccain', 'quentin grimes']",1,Norman Powell OVER PRA 25.5 (GOBLIN) [id:10654224],Jared McCain UNDER PR 8.5 (STANDARD) [id:10649850],Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10644627],0,
3,Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967] | Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161] | Grayson Allen OVER PA 17.5 (STANDARD) [id:10649269],0.1416111584850963,6.0,1.0,6.0,0.8496669509105779,6.0,atlas,0.521289632522456,0.04667183295161934,Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967] | Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161] | Grayson Allen OVER PA 17.5 (STANDARD) [id:10649269],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8496669509105779,"['kon knueppel', 'justin edwards', 'grayson allen']",1,Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10643967],Justin Edwards UNDER PTS 12.5 (STANDARD) [id:10647161],Grayson Allen OVER PA 17.5 (STANDARD) [id:10649269],0,
3,Norman Powell OVER PR 22.5 (GOBLIN) [id:10652900] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625] | Tyler Herro UNDER REB 5 (STANDARD) [id:10651046],0.14158435264604324,6.0,1.0,6.0,0.8495061158762595,6.0,atlas,0.5218972678270144,0.03379894283336849,Norman Powell OVER PR 22.5 (GOBLIN) [id:10652900] | Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625] | Tyler Herro UNDER REB 5 (STANDARD) [id:10651046],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8495061158762595,"['norman powell', 'quentin grimes', 'tyler herro']",1,Norman Powell OVER PR 22.5 (GOBLIN) [id:10652900],Quentin Grimes UNDER PTS 20.5 (STANDARD) [id:10644625],Tyler Herro UNDER REB 5 (STANDARD) [id:10651046],0,
3,Grayson Allen OVER PRA 18.5 (GOBLIN) [id:10649764] | Norman Powell OVER PTS 21 (STANDARD) [id:10644079] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151],0.13856605514605824,6.0,1.0,6.0,0.8313963308763495,6.0,atlas,0.5174971283052665,0.0633342055749085,Grayson Allen OVER PRA 18.5 (GOBLIN) [id:10649764] | Norman Powell OVER PTS 21 (STANDARD) [id:10644079] | Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8313963308763495,"['grayson allen', 'norman powell', 'jordan goodwin']",1,Grayson Allen OVER PRA 18.5 (GOBLIN) [id:10649764],Norman Powell OVER PTS 21 (STANDARD) [id:10644079],Jordan Goodwin OVER PTS 5.5 (STANDARD) [id:10652151],0,
3,Oso Ighodaro OVER PRA 12.5 (GOBLIN) [id:10650241] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364] | Jaime Jaquez OVER PRA 23.5 (STANDARD) [id:10643940],0.1384886578217776,6.0,1.0,6.0,0.8309319469306656,6.0,atlas,0.5173872587829069,0.07977559764084326,Oso Ighodaro OVER PRA 12.5 (GOBLIN) [id:10650241] | Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364] | Jaime Jaquez OVER PRA 23.5 (STANDARD) [id:10643940],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8309319469306656,"['oso ighodaro', 'ryan kalkbrenner', 'jaime jaquez']",1,Oso Ighodaro OVER PRA 12.5 (GOBLIN) [id:10650241],Ryan Kalkbrenner OVER PTS 5.5 (STANDARD) [id:10650364],Jaime Jaquez OVER PRA 23.5 (STANDARD) [id:10643940],0,
3,Royce O'Neale OVER REB 3.5 (GOBLIN) [id:10649517] | Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159] | Collin Gillespie OVER PRA 19.5 (STANDARD) [id:10649146],0.13775768570662195,6.0,1.0,6.0,0.8265461142397317,6.0,atlas,0.5164950800376665,0.06345234005888055,Royce O'Neale OVER REB 3.5 (GOBLIN) [id:10649517] | Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159] | Collin Gillespie OVER PRA 19.5 (STANDARD) [id:10649146],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8265461142397317,"[""royce o'neale"", 'tyler herro', 'collin gillespie']",1,Royce O'Neale OVER REB 3.5 (GOBLIN) [id:10649517],Tyler Herro OVER PTS 21.5 (STANDARD) [id:10644159],Collin Gillespie OVER PRA 19.5 (STANDARD) [id:10649146],0,
3,Kon Knueppel OVER PTS 16.5 (GOBLIN) [id:10645613] | Jaden McDaniels UNDER PTS 15.5 (STANDARD) [id:10649294] | Coby White OVER PR 15.5 (STANDARD) [id:10643855],0.1373324406583075,6.0,1.0,6.0,0.8239946439498449,6.0,atlas,0.5159526727099649,0.05374064745735104,Kon Knueppel OVER PTS 16.5 (GOBLIN) [id:10645613] | Jaden McDaniels UNDER PTS 15.5 (STANDARD) [id:10649294] | Coby White OVER PR 15.5 (STANDARD) [id:10643855],0.0,0.0,0.0,0.0,0.0,0,0.0,0.8239946439498449,"['kon knueppel', 'jaden mcdaniels', 'coby white']",1,Kon Knueppel OVER PTS 16.5 (GOBLIN) [id:10645613],Jaden McDaniels UNDER PTS 15.5 (STANDARD) [id:10649294],Coby White OVER PR 15.5 (STANDARD) [id:10643855],0,
