slip,high_confidence,hit_prob,payout_mult,ev,player,team,opp,stat,direction,tier,line,p_cal
5-leg,True,0.1524,2.145,0.3268,Andre Drummond,PHI,NYK,REB,OVER,GOBLIN,1.5,0.7253
5-leg,True,0.1524,2.145,0.3268,Anthony Edwards,MIN,SAS,REB,OVER,GOBLIN,2.5,0.7944
5-leg,True,0.1524,2.145,0.3268,Ayo Dosunmu,MIN,SAS,PTS,OVER,STANDARD,11.5,0.7493
5-leg,True,0.1524,2.145,0.3268,Luke Kornet,SAS,MIN,PR,OVER,STANDARD,6.5,0.6939
5-leg,True,0.1524,2.145,0.3268,Karl-Anthony Towns,NYK,PHI,AST,OVER,DEMON,4.5,0.6404
4-leg,False,0.2229,1.897,0.423,De'Aaron Fox,SAS,MIN,FG3M,OVER,GOBLIN,0.5,0.7284
4-leg,False,0.2229,1.897,0.423,Devin Vassell,SAS,MIN,PTS,OVER,GOBLIN,7.5,0.7562
4-leg,False,0.2229,1.897,0.423,Mike Conley,MIN,SAS,PA,OVER,STANDARD,8.0,0.6519
4-leg,False,0.2229,1.897,0.423,Jose Alvarado,NYK,PHI,PRA,OVER,STANDARD,6.0,0.6961
3-leg,False,0.3818,1.931,0.7373,Dylan Harper,SAS,MIN,PTS,OVER,GOBLIN,6.5,0.7259
3-leg,False,0.3818,1.931,0.7373,Naz Reid,MIN,SAS,RA,OVER,STANDARD,8.0,0.6848
3-leg,False,0.3818,1.931,0.7373,Jaden McDaniels,MIN,SAS,PTS,OVER,STANDARD,14.5,0.6108
