slip,high_confidence,hit_prob,payout_mult,ev,player,team,opp,stat,direction,tier,line,p_cal
3-leg,True,0.7481,1.931,1.4445,VJ Edgecombe,PHI,NYK,PA,OVER,GOBLIN,11.5,0.8278
3-leg,True,0.7481,1.931,1.4445,Terrence Shannon,MIN,SAS,PTS,OVER,STANDARD,10.0,0.8449
3-leg,True,0.7481,1.931,1.4445,Anthony Edwards,MIN,SAS,PRA,UNDER,STANDARD,32.5,0.8127
4-leg,True,0.3657,1.897,0.6938,Keldon Johnson,SAS,MIN,PTS,OVER,GOBLIN,4.5,0.7934
4-leg,True,0.3657,1.897,0.6938,Luke Kornet,SAS,MIN,PRA,OVER,GOBLIN,7.5,0.7846
4-leg,True,0.3657,1.897,0.6938,Naz Reid,MIN,SAS,PRA,UNDER,STANDARD,20.5,0.8635
4-leg,True,0.3657,1.897,0.6938,Mitchell Robinson,NYK,PHI,PTS,UNDER,STANDARD,4.5,0.7225
5-leg,True,0.2481,2.145,0.5321,Ayo Dosunmu,MIN,SAS,PTS,OVER,GOBLIN,5.5,0.8819
5-leg,True,0.2481,2.145,0.5321,Quentin Grimes,PHI,NYK,PTS,OVER,GOBLIN,3.5,0.7819
5-leg,True,0.2481,2.145,0.5321,De'Aaron Fox,SAS,MIN,PRA,UNDER,STANDARD,26.5,0.7629
5-leg,True,0.2481,2.145,0.5321,Tyrese Maxey,PHI,NYK,AST,UNDER,STANDARD,6.0,0.7613
5-leg,True,0.2481,2.145,0.5321,Jose Alvarado,NYK,PHI,AST,OVER,DEMON,2.5,0.7523
