projection_id,player,stat,line,direction,tier,more_allowed,less_allowed,main_line,start_time,updated_at,alt_line,is_main,odds_type,team,game_date,opp,home,minutes_s,p,p_close,fragility,fragility_abs,is_star,q_blowout,min_mean,min_std,rate_mean,rate_std,games_used,data_health_flag,p_adj,external_prior_score,external_prior_n,external_prior_sources,external_prior_epsilon
9817596,Reed Sheppard,PRA,14.5,OVER,STANDARD,1,0,14.5,2026-02-10T20:10:00.000-05:00,2026-02-10T20:37:05.640000+00:00,0,0,standard,HOU,2026-02-10,,0,1.0,0.5183963207358528,0.5139972005598881,0.0,0.0,False,0.0,22.65,5.012733785071775,0.6616030187596508,0.15153023315965888,20,OK,0.5183963207358528,0.0,0,,0.03
9817596,Reed Sheppard,PRA,14.5,UNDER,STANDARD,0,1,14.5,2026-02-10T20:10:00.000-05:00,2026-02-10T20:37:05.640000+00:00,0,0,standard,HOU,2026-02-10,,0,1.0,0.48160367926414716,0.486002799440112,0.00905163546595356,0.004399120175964832,False,0.0,22.65,5.012733785071775,0.6616030187596508,0.15153023315965888,20,OK,0.43344331133773245,0.0,0,,0.03
9817422,Amen Thompson,PRA,27.5,OVER,STANDARD,1,0,27.5,2026-02-10T20:10:00.000-05:00,2026-02-10T20:37:04.596000+00:00,0,0,standard,HOU,2026-02-10,,0,1.0,0.7189562087582484,0.7099580083983204,0.0,0.0,True,0.0,37.95,3.4853263835686894,0.8278043297140227,0.1616464537757666,20,OK,0.7189562087582484,0.0,0,,0.03
9817422,Amen Thompson,PRA,27.5,UNDER,STANDARD,0,1,27.5,2026-02-10T20:10:00.000-05:00,2026-02-10T20:37:04.596000+00:00,0,0,standard,HOU,2026-02-10,,0,1.0,0.28104379124175166,0.29004199160167965,0.031023784901757924,0.008998200359927988,True,0.0,37.95,3.4853263835686894,0.8278043297140227,0.1616464537757666,20,OK,0.2529394121175765,0.0,0,,0.03
9821239,Jalen Brunson,PA,44.5,OVER,DEMON,1,0,44.5,2026-02-10T19:40:00.000-05:00,2026-02-10T20:36:10.457000+00:00,0,0,demon,NYK,2026-02-10,,0,1.0,0.04909018196360728,0.04709058188362328,0.0,0.0,True,0.0,33.25,7.46240577829965,0.8765880778636485,0.16192202470176897,20,OK,0.04712657468506299,0.0,0,rotowire,0.03
9817218,Daniel Gafford,PTS,8.5,OVER,STANDARD,1,0,8.5,2026-02-10T21:10:00.000-05:00,2026-02-10T20:36:02.272000+00:00,0,0,standard,DAL,2026-02-10,,0,0.6,0.4386122775444911,0.4402119576084783,0.00363388598682715,0.0015996800639871966,False,0.0,20.55,5.499772722576816,0.39319117234114204,0.19527692349239759,20,OK,0.4386122775444911,0.8568413169865984,1,rotowire,0.03
9817218,Daniel Gafford,PTS,8.5,UNDER,STANDARD,0,1,8.5,2026-02-10T21:10:00.000-05:00,2026-02-10T20:36:02.272000+00:00,0,0,standard,DAL,2026-02-10,,0,0.6,0.5613877224555089,0.5597880423915217,0.0,0.0,False,0.0,20.55,5.499772722576816,0.39319117234114204,0.19527692349239759,20,OK,0.5052489502099581,0.0,0,rotowire,0.03
9829641,Cooper Flagg,PTS,22.5,OVER,STANDARD,1,0,22.5,2026-02-10T19:00:00.000-05:00,2026-02-10T20:35:30.110000+00:00,0,0,standard,DAL,2026-02-10,,0,0.6,0.45500899820035995,0.4542091581683663,0.0,0.0,True,0.0,33.7,5.728001396647874,0.6436904781061127,0.24030397787090224,20,OK,0.45500899820035995,0.0,0,rotowire,0.03
9829641,Cooper Flagg,PTS,22.5,UNDER,STANDARD,0,1,22.5,2026-02-10T19:00:00.000-05:00,2026-02-10T20:35:30.110000+00:00,0,0,standard,DAL,2026-02-10,,0,0.6,0.5449910017996401,0.5457908418316336,0.0014654698662757168,0.0007998400319935151,True,0.0,33.7,5.728001396647874,0.6436904781061127,0.24030397787090224,20,OK,0.4904919016196761,-0.6615529957547693,1,rotowire,0.03
9829463,Marcus Smart,PR,15.5,OVER,DEMON,1,0,15.5,2026-02-10T22:40:00.000-05:00,2026-02-10T20:35:03.353000+00:00,0,0,demon,LAL,2026-02-10,,0,1.0,0.3802239552089582,0.36942611477704457,0.0,0.0,False,0.0,29.55,4.043204174908807,0.44943602475525213,0.22991590654864885,20,OK,0.36501499700059986,0.0,0,rotowire,0.03
9829474,Clint Capela,PA,3.5,OVER,GOBLIN,1,0,3.5,2026-02-10T20:10:00.000-05:00,2026-02-10T20:34:44.909000+00:00,0,0,goblin,HOU,2026-02-10,,0,1.0,0.6073785242951409,0.5961807638472305,0.0,0.0,False,0.0,12.55,5.210326285368316,0.43720870088517144,0.40146796154651654,20,OK,0.6073785242951409,0.0,0,,0.03
9821764,Dorian Finney-Smith,PTS,3.5,OVER,STANDARD,1,0,3.5,2026-02-10T20:10:00.000-05:00,2026-02-10T20:34:35.851000+00:00,0,0,standard,HOU,2026-02-10,,0,0.6,0.3962207558488302,0.383623275344931,0.0,0.0,False,0.0,15.473684210526315,1.8458608333421243,0.1875718708536046,0.1325160733197925,19,OK,0.3962207558488302,0.0,0,,0.03
9821764,Dorian Finney-Smith,PTS,3.5,UNDER,STANDARD,0,1,3.5,2026-02-10T20:10:00.000-05:00,2026-02-10T20:34:35.851000+00:00,0,0,standard,HOU,2026-02-10,,0,0.6,0.6037792441511698,0.616376724655069,0.02043795620437952,0.012597480503899194,False,0.0,15.473684210526315,1.8458608333421243,0.1875718708536046,0.1325160733197925,19,OK,0.5434013197360529,0.0,0,,0.03
9817420,Amen Thompson,PA,21.5,OVER,STANDARD,1,0,21.5,2026-02-10T20:10:00.000-05:00,2026-02-10T20:34:16.076000+00:00,0,0,standard,HOU,2026-02-10,,0,1.0,0.6389722055588882,0.6291741651669666,0.0,0.0,True,0.0,37.95,3.4853263835686894,0.6175948429391449,0.13542475667014686,20,OK,0.6389722055588882,0.0,0,,0.03
