source,league,player,stat,asof_ts,projection,confidence,over_prob,under_prob,over_rating,under_rating,opp_rank,notes
bettingpros,NBA,Evan Mobley,PRA,2026-05-01 22:30:22,30.9,0.2,None,None,None,None,7,side=over; rating=0; diff=2.4; line=28.5; L10=4o/6u/10g; streak=1o; opp_rank=7
bettingpros,NBA,Duncan Robinson,PR,2026-05-01 22:30:22,14.8,0.2,None,None,None,None,12,side=over; rating=0; diff=2.3; line=12.5; L10=6o/4u/10g; streak=1o; opp_rank=12
bettingpros,NBA,Ausar Thompson,PRA,2026-05-01 22:30:22,22.8,0.2,None,None,None,None,12,side=over; rating=0; diff=2.3; line=20.5; L10=4o/6u/10g; streak=1o; opp_rank=12
bettingpros,NBA,Jaxson Hayes,PA,2026-05-01 22:30:22,7.7,0.2,None,None,None,None,4,side=over; rating=0; diff=2.2; line=5.5; L10=6o/4u/10g; streak=2u; opp_rank=4
bettingpros,NBA,Alperen Sengun,PR,2026-05-01 22:30:22,34.7,0.2,None,None,None,None,9,side=over; rating=0; diff=2.2; line=31.5; L10=1o/9u/10g; streak=2u; opp_rank=9
bettingpros,NBA,Sam Merrill,PRA,2026-05-01 22:30:22,12.7,0.2,None,None,None,None,7,side=over; rating=0; diff=2.2; line=10; L10=6o/3u/10g; streak=2o; opp_rank=7
bettingpros,NBA,Duncan Robinson,PRA,2026-05-01 22:30:22,16.7,0.2,None,None,None,None,12,side=over; rating=0; diff=2.2; line=14.5; L10=6o/4u/10g; streak=1o; opp_rank=12
bettingpros,NBA,Goga Bitadze,PTS,2026-05-01 22:30:22,5.6,0.2,None,None,None,None,3,side=over; rating=0; diff=2.1; line=3.5; L10=5o/5u/10g; streak=4u; opp_rank=3
bettingpros,NBA,Isaiah Stewart,PR,2026-05-01 22:30:22,11.6,0.2,None,None,None,None,12,side=over; rating=0; diff=2.1; line=9.5; L10=6o/4u/10g; streak=2o; opp_rank=12
bettingpros,NBA,Jalen Suggs,PR,2026-05-01 22:30:22,20.6,0.2,None,None,None,None,4,side=over; rating=0; diff=2.1; line=18.5; L10=3o/7u/10g; streak=3u; opp_rank=4
bettingpros,NBA,Paolo Banchero,PR,2026-05-01 22:30:22,34.6,0.2,None,None,None,None,4,side=over; rating=0; diff=2.1; line=32.5; L10=3o/7u/10g; streak=1o; opp_rank=4
bettingpros,NBA,Austin Reaves,PRA,2026-05-01 22:30:22,31.4,0.2,None,None,None,None,3,side=under; rating=0; diff=-2.1; line=33.5; L10=3o/7u/10g; streak=4u; opp_rank=3
bettingpros,NBA,Brandon Ingram,PTS,2026-05-01 22:30:22,21.5,0.2,None,None,None,None,14,side=over; rating=0; diff=2; line=19.5; L10=4o/6u/10g; streak=1u; opp_rank=14
bettingpros,NBA,Isaiah Stewart,PTS,2026-05-01 22:30:22,7.5,0.2,None,None,None,None,12,side=over; rating=0; diff=2; line=5.5; L10=6o/4u/10g; streak=1u; opp_rank=12
bettingpros,NBA,Alperen Sengun,PTS,2026-05-01 22:30:22,24.5,0.2,None,None,None,None,11,side=over; rating=0; diff=2; line=21.5; L10=3o/7u/10g; streak=2u; opp_rank=11
bettingpros,NBA,Evan Mobley,PR,2026-05-01 22:30:22,27.5,0.2,None,None,None,None,8,side=over; rating=0; diff=2; line=25.5; L10=4o/6u/10g; streak=1o; opp_rank=8
bettingpros,NBA,Jaxson Hayes,PR,2026-05-01 22:30:22,10.5,0.2,None,None,None,None,2,side=over; rating=0; diff=2; line=8.5; L10=6o/4u/10g; streak=2u; opp_rank=2
bettingpros,NBA,Jaylon Tyson,PR,2026-05-01 22:30:22,10.4,0.2,None,None,None,None,8,side=over; rating=0; diff=1.9; line=8.5; L10=7o/3u/10g; streak=3o; opp_rank=8
bettingpros,NBA,Tobias Harris,PR,2026-05-01 22:30:22,21.6,0.2,None,None,None,None,12,side=under; rating=0; diff=-1.9; line=23.5; L10=5o/5u/10g; streak=4o; opp_rank=12
bettingpros,NBA,Jamal Cain,PR,2026-05-01 22:30:22,14.4,0.2,None,None,None,None,4,side=over; rating=0; diff=1.9; line=11.5; L10=2o/8u/10g; streak=1u; opp_rank=4
bettingpros,NBA,Max Strus,PRA,2026-05-01 22:30:22,17.4,0.2,None,None,None,None,7,side=over; rating=0; diff=1.9; line=15.5; L10=5o/5u/10g; streak=2u; opp_rank=7
bettingpros,NBA,Evan Mobley,PTS,2026-05-01 22:30:22,18.3,0.2,None,None,None,None,9,side=over; rating=0; diff=1.8; line=15.5; L10=5o/5u/10g; streak=1o; opp_rank=9
bettingpros,NBA,Deandre Ayton,PTS,2026-05-01 22:30:22,13.3,0.2,None,None,None,None,5,side=over; rating=0; diff=1.8; line=11.5; L10=6o/4u/10g; streak=2o; opp_rank=5
bettingpros,NBA,Javonte Green,PRA,2026-05-01 22:30:22,10.3,0.2,None,None,None,None,12,side=over; rating=0; diff=1.8; line=8.5; L10=4o/6u/10g; streak=1u; opp_rank=12
bettingpros,NBA,Jaxson Hayes,PRA,2026-05-01 22:30:22,11.3,0.2,None,None,None,None,3,side=over; rating=0; diff=1.8; line=9.5; L10=6o/4u/10g; streak=2u; opp_rank=3
bettingpros,NBA,Dennis Schroder,PTS,2026-05-01 22:30:22,8.2,0.2,None,None,None,None,9,side=over; rating=0; diff=1.7; line=6.5; L10=5o/5u/10g; streak=2o; opp_rank=9
bettingpros,NBA,Jalen Suggs,PTS,2026-05-01 22:30:22,16.2,0.2,None,None,None,None,3,side=over; rating=0; diff=1.7; line=14.5; L10=4o/6u/10g; streak=2u; opp_rank=3
bettingpros,NBA,Caris LeVert,PR,2026-05-01 22:30:22,10.2,0.2,None,None,None,None,12,side=over; rating=0; diff=1.7; line=8.5; L10=3o/7u/10g; streak=7u; opp_rank=12
bettingpros,NBA,Ausar Thompson,PR,2026-05-01 22:30:22,19.2,0.2,None,None,None,None,12,side=over; rating=0; diff=1.7; line=17.5; L10=4o/6u/10g; streak=1o; opp_rank=12
bettingpros,NBA,Anthony Black,RA,2026-05-01 22:30:22,8.2,0.2,None,None,None,None,2,side=over; rating=0; diff=1.7; line=6.5; L10=4o/6u/10g; streak=1o; opp_rank=2
bettingpros,NBA,Duncan Robinson,PTS,2026-05-01 22:30:22,12.1,0.2,None,None,None,None,12,side=over; rating=0; diff=1.6; line=9.5; L10=7o/3u/10g; streak=1o; opp_rank=12
bettingpros,NBA,Aaron Holiday,PTS,2026-05-01 22:30:22,6.1,0.2,None,None,None,None,11,side=over; rating=0; diff=1.6; line=4.5; L10=6o/4u/10g; streak=2o; opp_rank=11
bettingpros,NBA,Jalen Duren,REB,2026-05-01 22:30:22,11.1,0.2,None,None,None,None,14,side=over; rating=0; diff=1.6; line=9.5; L10=1o/9u/10g; streak=9u; opp_rank=14
